alignment_code,search algorithm,original name variant matched to,match type,taxonomic dataset aligned to,taxon_rank of alignment,notes about sequence
match_01a,"Detect `genus sp. `, `genus ssp.` and `genus spp.`","first word (""genus"")",exact,"APC accepted taxon concepts, other APC taxon concepts, APNI",genus,First goal is to align 2-word strings that indicate an unknown species within a genus (or family)
match_01b,"Detect `genus sp. `, `genus ssp.` and `genus spp.`","first word (""genus"")",fuzzy,APC accepted taxon concepts,genus,
match_01c,"Detect `genus sp. `, `genus ssp.` and `genus spp.`","first word (""genus"")",fuzzy,other APC taxon concepts,genus,
match_02a,"Detect `family sp. `, `family ssp.` and `family spp.`","first word (""genus"")",exact,APC accepted taxon concepts,family,
match_03a,"Detect ` -- `, `--` (intergrade taxa) and align to genus","first word (""genus"")",exact,"APC accepted taxon concepts, other APC taxon concepts, APNI",genus,Next find strings that indicate a name reflects an intergrade between two taxa. These names can only be aligned to a genus.
match_03b,"Detect ` -- `, `--` (intergrade taxa) and align to genus","first word (""genus"")",fuzzy,APC accepted taxon concepts,genus,
match_03c,"Detect ` -- `, `--` (intergrade taxa) and align to genus","first word (""genus"")",fuzzy,other APC taxon concepts,genus,
match_03d,"Detect ` -- `, `--` (intergrade taxa) and align to genus","first word (""genus"")",fuzzy,APNI,genus,
match_03e,"Detect ` -- `, `--` (intergrade taxa), but fail to align to genus",NA,no match,NA,genus,
match_04a,Detect ` \` (indecision between taxa) and align to genus.,"first word (""genus"")",exact,"APC accepted taxon concepts, other APC taxon concepts, APNI",genus,Next find strings that indicate a name reflects a data collector's indecision about which of two (or more) taxa is the appropriate taxon. These names can only be aligned to a genus.
match_04b,Detect ` \` (indecision between taxa) and align to genus.,"first word (""genus"")",fuzzy,APC accepted taxon concepts,genus,
match_04c,Detect ` \` (indecision between taxa) and align to genus.,"first word (""genus"")",fuzzy,other APC taxon concepts,genus,
match_04d,Detect ` \` (indecision between taxa) and align to genus.,"first word (""genus"")",fuzzy,APNI,genus,
match_04e,"Detect ` \` (indecision between taxa), but fail to align to genus",NA,no match,NA,genus,
match_05a,"Detect scientific names, including authorship",original_name,exact,APC accepted taxon concepts,species/infraspecific,"Check if strings are full scientific names, including authorship."
match_05b,"Detect scientific names, including authorship",original_name,exact,other APC taxon concepts,species/infraspecific,
match_06a,"Detect canonical names, lacking authorship",cleaned_name,exact,APC accepted taxon concepts,species/infraspecific,"Check if strings are taxon names, lacking authorship."
match_06b,"Detect canonical names, lacking authorship",cleaned_name,exact,other APC taxon concepts,species/infraspecific,
match_07a,"Detect canonical names, lacking authorship",stripped_name,fuzzy,APC accepted taxon concepts,species/infraspecific,
match_07b,"Detect canonical names, lacking authorship",stripped_name,fuzzy,other APC taxon concepts,species/infraspecific,
match_08a,"Detect canonical names, lacking authorship",cleaned_name,exact,APNI,species/infraspecific,
match_09a,"Detect `aff`, `affinis` (affinity to) and align to genus","first word (""genus"")",exact,"APC accepted taxon concepts, other APC taxon concepts, APNI",genus,"Find strings that indicate a name that indicates an affinity to a specific taxon, but the name itself is not that taxon. Such names, unless documented in APC (i.e. matches 6, 7 above) can only be aligned to genus."
match_09b,"Detect `aff`, `affinis` (affinity to) and align to genus","first word (""genus"")",fuzzy,APC accepted taxon concepts,genus,
match_09c,"Detect `aff`, `affinis` (affinity to) and align to genus","first word (""genus"")",fuzzy,other APC taxon concepts,genus,
