"","r","V1","gw","ensembl_gene"
"1","A2M-AS1","T_cells","5.14903833977264","ENSG00000245105"
"2","ABCB4","B_cell","5.16248789428082","ENSG00000005471"
"3","ADAM28","B_cell","5.1853135683448","ENSG00000042980"
"4","ADAMTS2","Fibroblasts","5.23313468195671","ENSG00000087116"
"5","ADAMTS9","Endothelial_cells","5.6230930725672","ENSG00000163638"
"6","ADGRE2","Macrophage","8.07074807471733","ENSG00000127507"
"7","ADGRF5","Endothelial_cells","7.36408470952619","ENSG00000069122"
"8","ADGRG6","Endothelial_cells","7.48431733196353","ENSG00000112414"
"9","AIM2","B_cell","5.49892341016873","ENSG00000163568"
"10","ARHGAP29","Endothelial_cells","5.99299186423353","ENSG00000137962"
"11","ASPN","Fibroblasts","7.0300093748044","ENSG00000106819"
"12","BANK1","B_cell","8.91996178496688","ENSG00000153064"
"13","BCL11B","T_cells","6.5950129570877","ENSG00000127152"
"14","BICC1","Fibroblasts","8.29526182344732","ENSG00000122870"
"15","BLK","B_cell","7.63409849577971","ENSG00000136573"
"16","BMX","Endothelial_cells","8.81233175875461","ENSG00000102010"
"17","BTNL9","B_cell","6.53351768784886","ENSG00000165810"
"18","C1QA","Macrophage","10.1587472396988","ENSG00000173372"
"19","C1QB","Macrophage","10.5585102889469","ENSG00000173369"
"20","C1R","Fibroblasts","6.54650888647696","ENSG00000159403"
"21","C3AR1","Macrophage","5.12019392812638","ENSG00000171860"
"22","C5AR1","Macrophage","9.42985696124116","ENSG00000197405"
"23","CALCRL","Endothelial_cells","8.07169994220768","ENSG00000064989"
"24","CAV2","Endothelial_cells","5.12441455844194","ENSG00000105971"
"25","CD160","NK_cell","5.05312313324093","ENSG00000117281"
"26","CD19","B_cell","9.53508658778661","ENSG00000177455"
"27","CD2","T_cells","6.03561099395741","ENSG00000116824"
"28","CD22","B_cell","6.15885225866204","ENSG00000012124"
"29","CD28","T_cells","5.0987524219215","ENSG00000178562"
"30","CD300LF","Macrophage","6.82908145800006","ENSG00000186074"
"31","CD3D","T_cells","7.94692643575034","ENSG00000167286"
"32","CD3E","T_cells","5.82055395007469","ENSG00000198851"
"33","CD3G","T_cells","8.5275875134438","ENSG00000160654"
"34","CD68","Macrophage","7.46608153283186","ENSG00000129226"
"35","CD79A","B_cell","8.84153964449592","ENSG00000105369"
"36","CD8A","T_cells","7.01701945802736","ENSG00000153563"
"37","CD8B","T_cells","8.26241557550882","ENSG00000172116"
"38","CD93","Endothelial_cells","6.53720609118682","ENSG00000125810"
"39","CDH5","Endothelial_cells","11.7511600160492","ENSG00000179776"
"40","CGNL1","Endothelial_cells","6.54075238010487","ENSG00000128849"
"41","CLEC14A","Endothelial_cells","7.43863261337937","ENSG00000176435"
"42","CNFN","B_cell","5.22004107779901","ENSG00000105427"
"43","COL12A1","Fibroblasts","8.78746614220908","ENSG00000111799"
"44","COL15A1","Fibroblasts","7.28531003198344","ENSG00000204291"
"45","COL16A1","Fibroblasts","7.26154756296959","ENSG00000084636"
"46","COL18A1","Endothelial_cells","5.14115229996075","ENSG00000182871"
"47","COL1A1","Fibroblasts","7.17971341096294","ENSG00000108821"
"48","COL1A2","Fibroblasts","7.91602304719914","ENSG00000164692"
"49","COL6A2","Fibroblasts","5.72421181029358","ENSG00000142173"
"50","COL6A3","Fibroblasts","7.31373343081239","ENSG00000163359"
"51","CPNE5","B_cell","6.39732828805473","ENSG00000124772"
"52","CSF1R","Macrophage","6.52366271925021","ENSG00000182578"
"53","CXCL16","Macrophage","7.26048461711952","ENSG00000161921"
