"","V1","r","gw","ensembl_gene"
"1","B cells","Ms4a1","9.48564936363658","ENSMUSG00000024673"
"2","B cells","Cr2","8.71320809011929","ENSMUSG00000026616"
"3","B cells","Cd19","8.27183641099013","ENSMUSG00000030724"
"4","B cells","Pax5","8.08592224422765","ENSMUSG00000014030"
"5","B cells","Fcer2a","8.04313144656004","ENSMUSG00000005540"
"6","B cells","Fcmr","7.85273682789938","ENSMUSG00000042474"
"7","B cells","Cd79a","7.6516569677037","ENSMUSG00000003379"
"8","B cells","Ighd","7.22792513544762","ENSMUSG00000104213"
"9","B cells","Pou2af1","6.73916693131756","ENSMUSG00000032053"
"10","B cells","Blk","6.71729364075604","ENSMUSG00000014453"
"11","B cells","Cd79b","6.52846288529269","ENSMUSG00000040592"
"12","B cells","Chst3","6.49870026161279","ENSMUSG00000057337"
"13","B cells","Cecr2","6.24180685554093","ENSMUSG00000071226"
"14","B cells","Vpreb3","5.86997563954141","ENSMUSG00000000903"
"15","B cells","S100a8","5.82511004006839","ENSMUSG00000056054"
"16","B cells","Hbb-bt","5.78324174508394","ENSMUSG00000073940"
"17","B cells","Scd1","5.65072134015104","ENSMUSG00000037071"
"18","B cells","Cd22","5.59575243431419","ENSMUSG00000030577"
"19","B cells","Fcrl5","5.57747854048163","ENSMUSG00000048031"
"20","B cells","Il5ra","5.34687223083818","ENSMUSG00000005364"
"21","B cells","Iglv3","5.3068025863559","ENSMUSG00000076939"
"22","B cells","Rgs13","5.26736609425923","ENSMUSG00000051079"
"23","B cells","Cxcr5","5.09097159571288","ENSMUSG00000047880"
"24","B cells","Ebf1","5.08638636783745","ENSMUSG00000057098"
"25","B cells","Ms4a1","9.48564936363658","ENSMUSG00000024673"
"26","B cells","Cr2","8.71320809011929","ENSMUSG00000026616"
"27","B cells","Cd19","8.27183641099013","ENSMUSG00000030724"
"28","B cells","Pax5","8.08592224422765","ENSMUSG00000014030"
"29","B cells","Fcer2a","8.04313144656004","ENSMUSG00000005540"
"30","B cells","Fcmr","7.85273682789938","ENSMUSG00000042474"
"31","B cells","Cd79a","7.6516569677037","ENSMUSG00000003379"
