list name,name,label::English,label::French,label::Bahasa
,,,,
age_group,neonate,Neonate,nouveau-né,Neonatal
age_group,child,Child,enfant,Anak
age_group,adult,Adult,adulte,Dewasa
,,,,
YES_NO_REF,yes,Yes,Oui,Ya
YES_NO_REF,no,No,Non,Tidak
YES_NO_REF,ref,Refused to answer,Refus de repondre,Menolak Menjawab
,,,,
YES_NO,yes,Yes,Oui,Ya
YES_NO,no,No,Non,Tidak
,,,,
HIGH_LOW_VERY,high,High,Haut,
HIGH_LOW_VERY,low,Low,Bas,
HIGH_LOW_VERY,veryl,Very low,Très bas,
,,,,
YES_NO_DK_REF,yes,Yes,Oui,Ya
YES_NO_DK_REF,no,No,Non,Tidak
YES_NO_DK_REF,dk,Doesn't know,Ne sait pas,Tidak Tahu
YES_NO_DK_REF,ref,Refused to answer,Refus de repondre,Menolak Menjawab
,,,,
units,days,Days,Jour,Hari
units,months,Months,mois,Bulan
units,years,Years,année,Tahun
,,,,
select_2,female,female,Féminin ,Perempuan
select_2,male,male,Masculin ,Laki-laki
,,,,
select_18,hospital,hospital,hôpital,Rumah Sakit
select_18,other_health_facility,other health facility,autre établissement de santé,Fasilitas Kesehatan Lain
select_18,home,home,à domicile,Rumah
select_18,on_route_to_hospital_or_facility,on route to hospital or facility,sur la route de hôpital ou de établissement,Dalam perjalanan menuju Rumah Sakit atau Fasilitas Kesehatan
select_18,other,other,autres,Lainnya
select_18,DK,Doesn't know,Ne sait pas,Tidak Tahu
select_18,Ref,Refused to answer,Refus de repondre,Menolak Menjawab
,,,,
select_19,single,single,Célibataire,Belum Menikah
select_19,married,married,Marié(e) ,Menikah
select_19,partner,life partner,Vie avec un Partenaire,life partner
select_19,divorced,divorced,Divorcé(e),Bercerai
select_19,widowed,widowed,Veuf (ve),Janda
select_19,too_young_to_be_married,too young to be married,Trop jeune pour être marié(e),Terlalu muda untuk menikah
select_19,DK,Doesn't know,Ne sait pas,Tidak Tahu
select_19,Ref,Refused to answer,Refus de repondre,Menolak Menjawab
,,,,
select_23,no_formal_education,no_formal_education,Aucune éducation formelle ,Tidak Sekolah
select_23,primary_school,primary_school,école primaire,SD
select_23,secondary_school,secondary_school,Ne sait pas,Tidak Tahu
select_23,higher_than_secondary_school,higher_than_secondary_school,Refus de repondre,Menolak Menjawab
select_23,DK,DK,,
select_23,Ref,Ref,,
,,,,
select_25,mainly_unemployed,mainly unemployed,Principalement au chômage,Tidak Bekerja
select_25,mainly_employed,mainly employed,Employé,Bekerja
select_25,home-maker,home-maker,Auxiliaire familial,Wiraswasta
select_25,pensioner,pensioner,Pensionné,Pensiunan
select_25,student,student,Etudiant,Mahasiswa
select_25,other,other,Autres,Lainnya
select_25,DK,Doesn't know,Ne sait pas,Tidak Tahu
select_25,Ref,Refused to answer,Refus de repondre,Menolak Menjawab
,,,,
select_32,parent,parent,Parent,Orang Tua
select_32,child,child,Enfant,Anak
select_32,other,other,,
select_32,family_member,family member,Autre membre de la famille,Keluarga
select_32,friend,friend,Ami,Teman
select_32,health_worker,health worker,Soignant,Petugas Kesehatan
select_32,public_official,public official,Agent Public,Pegawai Negeri
select_32,another_relationship,another relationship,une autre relation,Hubungan Lainnya
,,,,
select_58,wet,wet,HUMIDE,Hujan
select_58,dry,dry,SÈCHE,Panas
select_58,DK,Doesn't know,,
,,,,
select_63,mild,mild,Légère,Ringan
select_63,moderate,moderate,modérée,Sedang
select_63,severe,severe,grave,Berat
,,,,
select_64,continuous,continuous,Continue,
select_64,on_and_off,on and off,Des hauts et des bas,
select_64,nightly,only at night,Seul la nuit,
select_64,DK,Doesn't know,Ne sait pas,
select_64,Ref,Refused to answer,Refus de repondre,
,,,,
,,,,
select_80,continuous,continuous,Continue,Terus-Menerus
select_80,on_and_off,on and off,Des hauts et des bas,Datang dan Pergi
select_80,DK,Doesn't know,Ne sait pas,
select_80,Ref,Refused to answer,Refus de repondre,
,,,,
select_100,upper_abdomen,upper abdomen,abdomen supérieur,Perut atas
select_100,lower_abdomen,lower abdomen,abdomen inférieur,Perut bawah
select_100,upper_lower_abdomen,upper and lower abdomen,,
select_100,DK,Doesn't know,,
,,,,
select_103,rapidly,rapidly,Rapidement,Secara Cepat
select_103,slowly,slowly,lentement,Perlahan-lahan
,,,,
select_135,face,face,Visage,Wajah
select_135,trunk,trunk or abdomen,,
select_135,extremities,extremities,Extrémités,Lengan atau Kaki
select_135,everywhere,everywhere,partout,Seluruh Tubuh
,,,,
select_161,right_side,right side,Côté droit,Sisi Kanan
select_161,left_side,left side,côté gauche,Sisi Kiri
select_161,lower_part_of_body,lower part of body,Partie inférieure du corps ,Bagian Bawah Tubuh
select_161,upper_part_of_body,upper part of body,partie supérieure du corps ,Bagian Atas Tubuh
select_161,one_leg_only,one leg only,Une jambe seulement,Hanya Satu Kaki
