type;name;label::English;hint::English;relevant;required;notes;appearance;calculation;default;constraint;constraint_message::English;read_only
begin group;presets;Preset HIV-Malaria mortality and season.;;;;;;;;;;
select_one HIGH_LOW_VERY;Id10002;(Id10002) [Is this a region of high HIV/AIDS mortality?];Should be completed by the central office.HIGH corresponds to more than 1% of deaths due to HIV/AIDS, LOW around 0.1%, VERY LOW  less than 0.01%. Filling in during the interview is not mandatory. Usually the value is predetermined for the region. ;;yes;;;;;;;
select_one HIGH_LOW_VERY;Id10003;(Id10003) [Is this a region of high malaria mortality?];Should be completed by the central office.HIGH corresponds to more than 1% of deaths due to malaria, LOW around 0.1%, VERY LOW less than 0.01%. Filling in during the interview is not mandatory. Usually the value is predetermined for the region.;;yes;;;;;;;
select_one select_58;Id10004;(Id10004) [During which season did (s)he die?];;;yes;;;;;;;
end group;;;;;;;;;;;;
begin group;respondent_backgr;Information on the respondent and background about interview;;;;;;;;;;
text;Id10007;(Id10007) [What is the name of VA respondent?];;;;;;;;;;
select_one select_32;Id10008;(Id10008) What is your/the respondent's relationship to the deceased?;First verify if the respondent is a family member, and only if it is not a family member choose the other categories like health worker or public official.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10009;(Id10009) Did you/the respondent live with the deceased in the period leading to her/his death?;;;;;;;;;;
text;Id10010;(Id10010) [Name of VA interviewer];;;;;;;;;;
today;Id10012;(Id10012) ;;;;;;;;;;
select_one YES_NO;Id10013;(Id10013) [Did the respondent give consent?];;;yes;;;;;;;
start;Id10011;;;;;;;;;;;
end group;;;;;;;;;;;;
begin group;consented;Skip to end if not consented;;selected(${Id10013}, 'yes');;;;;;;;
begin group;deceased_CRVS;Information about the deceased and vital registration;;;;;;;;;;
begin group;info_on_deceased;Information on the Deceased;;;;;;;;;;
text;Id10017;(Id10017) What was the first or given name(s) of the deceased?;;;;;;;;;;
text;Id10018;"(Id10018) What was the surname (or family name)
 of the deceased?";;;;;;;;;;
select_one select_2;Id10019;(Id10019) What was the sex of the deceased?;;;yes;;;;;;;
select_one YES_NO_REF;Id10020;(Id10020) Is the date of birth known?;;;yes;;;;;;;
date;Id10021;(Id10021) When was the deceased born?;To select previous years, click or tap the month name, then click or tap the year.;selected(${Id10020}, 'yes');yes;;;;;;;
select_one YES_NO_REF;Id10022;(Id10022) Is the date of death known?;;;yes;;;;;;;
date;Id10023_a;(Id10023_a) When did (s)he die?;;selected(${Id10022}, 'yes') and selected(${Id10020}, 'yes');yes;;;;;.>=${Id10021};;
date;Id10023_b;(Id10023_b) When did (s)he die?;;selected(${Id10022}, 'yes') and (selected(${Id10020}, 'no') or selected(${Id10020}, 'dk'));yes;;;;;;;
calculate;Id10023;(Id10023) When did (s)he die?;;;;;;if(selected(${Id10022}, 'yes') and selected(${Id10020}, 'yes'),${Id10023_a},${Id10023_b});;;;
date;Id10024;(Id10024) Please indicate the year of death.;;selected(${Id10022}, 'no') or selected(${Id10022}, 'ref');yes;;year;;;. <= today() and .>= date(date('1915-01-01'));Year of Death can not be in the future;
calculate;ageInDays;;;;;;;(${Id10023} - ${Id10021});;;;
calculate;ageInYears;;;;;;;int(${ageInDays} div 365.25);;;;
calculate;ageInYearsRemain;;;;;;;${ageInDays} mod 365.25;;;;
calculate;ageInMonths;;;;;;;int(${ageInYearsRemain} div 30.4);;;;
calculate;ageInMonthsRemain;;;;;;;int(${ageInYearsRemain} mod 30.4);;;;
calculate;isNeonatal1;;;;;;;if(${ageInDays} <=27, '1', '0');;;;
calculate;isChild1;;;;;;;if(${ageInDays} >27 and ${ageInDays} <=11*365.25, '1', '0');;;;
calculate;isAdult1;;;;;;;if(${ageInDays} >11*365.25, '1', '0');;;;
