list name,name,label::English,label::French
,,,
age_group,neonate,Neonate,nouveau-né
age_group,child,Child,enfant
age_group,adult,Adult,adulte
,,,
YES_NO_REF,yes,Yes,Oui
YES_NO_REF,no,No,Non
YES_NO_REF,ref,Refused to answer,Refus de repondre
,,,
YES_NO,yes,Yes,Oui
YES_NO,no,No,Non
,,,
HIGH_LOW_VERY,high,High,Haut
HIGH_LOW_VERY,low,Low,Bas
HIGH_LOW_VERY,veryl,Very low,Très bas
,,,
YES_NO_DK_REF,yes,Yes,Oui
YES_NO_DK_REF,no,No,Non
YES_NO_DK_REF,dk,Doesn't know,Ne sait pas
YES_NO_DK_REF,ref,Refused to answer,Refus de repondre
,,,
YES_NO_DK_REF2,yes," Yes (SHE WAS NOT PREGNANT; AND SHE DID NOT RECENTLY DELIVER, HAVE ABORTION, OR MISCARRY)"," Yes (SHE WAS NOT PREGNANT; AND SHE DID NOT RECENTLY DELIVER, HAVE ABORTION, OR MISCARRY)"
YES_NO_DK_REF2,no,"No (SHE WAS PREGNANT OR SHE RECENTLY DELIVERED, HAD AN ABORTION OR MISCARRIED)","No (SHE WAS PREGNANT OR SHE RECENTLY DELIVERED, HAD AN ABORTION OR MISCARRIED)"
YES_NO_DK_REF2,dk,Doesn't know,Ne sait pas
YES_NO_DK_REF2,ref,Refused to answer,Refus de repondre
,,,
M_H_D_DK,minutes,Minutes,Minutes
M_H_D_DK,hours,Hours,Heures
M_H_D_DK,days,Days,Jour
M_H_D_DK,DK,Doesn't know,Ne sait pas
M_H_D_DK,ref,Refused to answer,Refus de repondre
,,,
D_M_DK_REF,days,Days,Jour
D_M_DK_REF,months,Months,Mois
D_M_DK_REF,DK,Doesn't know,Ne sait pas
D_M_DK_REF,ref,Refused to answer,Refus de repondre
,,,
H_D_DK_REF,hours,Hours,Heures
H_D_DK_REF,days,Days,Jour
H_D_DK_REF,DK,Doesn't know,Ne sait pas
H_D_DK_REF,ref,Refused to answer,Refus de repondre
,,,
H_D_M_DK,hours,Hours,Heures
H_D_M_DK,days,Days,Jour
H_D_M_DK,months,Months,Mois
H_D_M_DK,DK,Doesn't know,Ne sait pas
H_D_M_DK,ref,Refused to answer,Refus de repondre
,,,
M_H_M_DK,minutes,Minutes,Minutes
M_H_M_DK,hours,Hours,Heures
M_H_M_DK,months,Months,Mois
M_H_M_DK,DK,Doesn't know,Ne sait pas
,,,
units,days,Days,Jour
units,months,Months,mois
units,years,Years,année
units,DK,Doesn't know,Ne sait pas
units,ref,Refused to answer,Refus de repondre
,,,
units_1,days,Days,Jour
units_1,months,Months,mois
units_1,years,Years,année
units_1,DK,Doesn't know,Ne sait pas
units_1,ref,Refused to answer,Refus de repondre
,,,
units_2,days,Days,Jour
units_2,months,Months,mois
units_2,DK,Doesn't know,Ne sait pas
units_2,ref,Refused to answer,Refus de repondre
,,,
units_3,hours,Hours,Heures
units_3,days,Days,Jour
units_3,DK,Doesn't know,Ne sait pas
units_3,ref,Refused to answer,Refus de repondre
,,,
units_4,months,Months,mois
units_4,years,Years,année
units_4,DK,Doesn't know,Ne sait pas
units_4,ref,Refused to answer,Refus de repondre
,,,
units_5,days,Days,Jour
units_5,weeks,Weeks,Semaine
units_5,months,Months,mois
units_5,DK,Doesn't know,Ne sait pas
units_5,ref,Refused to answer,Refus de repondre
,,,
select_2,female,female,Féminin 
select_2,male,male,Masculin 
select_2,undetermined,Ambiguous/intersex,Ambiguous/intersex
,,,
select_18,hospital,hospital,hôpital
select_18,other_health_facility,other health facility,autre établissement de santé
select_18,home,home,à domicile
select_18,on_route_to_hospital_or_facility,on route to hospital or facility,sur la route de hôpital ou de établissement
select_18,other,other,autres
select_18,DK,Doesn't know,Ne sait pas
select_18,Ref,Refused to answer,Refus de repondre
,,,
select_19,single,single,Célibataire
select_19,married,married,Marié(e) 
select_19,partner,life partner,Vie avec un Partenaire
select_19,divorced,divorced,Divorcé(e)
select_19,widowed,widowed,Veuf (ve)
select_19,too_young_to_be_married,too young to be married,Trop jeune pour être marié(e)
select_19,DK,Doesn't know,Ne sait pas
select_19,Ref,Refused to answer,Refus de repondre
,,,
select_23,no_formal_education,No formal education,Aucune éducation formelle 
select_23,primary_school,Primary school,école primaire
select_23,secondary_school,Secondary school,Secondary school
select_23,higher_than_secondary_school,Higher than secondary school,Higher than secondary school
select_23,DK,Doesn't know,Ne sait pas
