 001 MESOP_PERU  Mesoplodon peruvianus                   Pygmy beaked whale                                                    
 002 OFFSH_SPOT  Stenella  attenuata (offshore)          Offshore pantropical spotted dolphin, offshore spotter                                                    
 003 UNID_SPINR  Stenella longirostris (unid. subsp.)    Unidentified spinner dolphin, spinner porpoise                                                    
 004 CLYMENE     Stenella clymene                        Clymene dolphin, short-snouted spinner dolphin                                                    
 005 UNID_COMM   Delphinus sp.                           Unidentified common dolphin, saddleback dolphin, whitebelly porpoise                                                    
 006 COAST_SPOT  Stenella attenuata graffmani            Coastal spotted dolphin, spotter, silverbacks                                                    
 007 SOTALIA     Sotalia fluviatilis                     Tucuxi, Guiana dolphin                                                    
 008 ORCAELLA    Orcaella brevirostris                   Irrawaddy dolphin, Lumbalumba                                                    
 009 SPECTACLED  Phocoena dioptrica                      Spectacled porpoise                                                    
 010 EAST_SPINR  Stenella longirostris orientalis        Eastern spinner dolphin                                                    
 011 WBEL_SPINR  Stenella longirostris (whitebelly)      Whitebelly spinner dolphin                                                    
 012 WHITE-BEAK  Lagenorhynchus albirostris              White-beaked dolphin                                                    
 013 STRIPED     Stenella coeruleoalba                   Striped dolphin, streaker porpoise, euphrosyne dolphin                                                    
 014 A_WHT_SIDE  Lagenorhynchus acutus                   Atlantic white-sided dolphin                                                    
 015 STENO       Steno bredanensis                       Rough-toothed dolphin, Steno                                                    
 016 LONGB_COMM  Delphinus capensis                      Long-beaked common dolphin, Baja neritic common dolphin                                                    
 017 SHRTB_COMM  Delphinus delphis                       Short-beaked common dolphin, offshore common dolphin                                                    
 018 TURSIOPS    Tursiops truncatus                      Bottlenose dolphin, black porpoise, common porpoise                                                    
 019 HEAVISIDES  Cephalorhynchus heavisidii              Heaviside's dolphin                                                    
 020 HECTORS     Cephalorhynchus hectori                 Hector's dolphin, pied dolphin, white front dolphin                                                    
 021 GRAMPUS     Grampus griseus                         Risso's dolphin, gray grampus                                                    
 022 P_WHT_SIDE  Lagenorhynchus obliquidens              Pacific white-sided dolphin, lag, hookfin porpoise                                                    
 023 PEALES      Lagenorhynchus australis                Peale's dolphin, blackchin dolphin                                                    
 024 HOURGLASS   Lagenorhynchus cruciger                 Hourglass dolphin                                                    
 025 DUSKY       Lagenorhynchus obscurus                 Dusky dolphin                                                    
 026 FRASERS     Lagenodelphis hosei                     Fraser's dolphin, Sarawak dolphin                                                    
 027 LISSO_BOR   Lissodelphis borealis                   Northern right whale dolphin                                                    
 028 LISSO_PER   Lissodelphis peronii                    Southern right whale dolphin                                                    
 029 BLACK_DOL   Cephalorhynchus eutropia                Black dolphin, Chilean dolphin                                                    
 030 COMMERSONS  Cephalorhynchus commersonii             Commerson's dolphin, piebald dolphin                                                    
 031 MELON_HEAD  Peponocephala electra                   Melon-headed whale, Hawaiian/many-toothed blackfish, electra dolphin                                                    
 032 PYGMY_KLLR  Feresa attenuata                        Pygmy killer whale, slender blackfish                                                    
 033 FALSE_KLLR  Pseudorca crassidens                    False killer whale                                                    
 034 GLOBI_SPP   Globicephala sp.                        Unidentified pilot whale                                                    
 035 LONG_PILOT  Globicephala melas                      Long-finned pilot whale, Atlantic pilot whale, blackfish, pothead                                                    
 036 SHRT_PILOT  Globicephala macrorhynchus              Short-finned pilot whale, blackfish, pothead                                                    
 037 KILLER_WHA  Orcinus orca                            Killer whale                                                    
 038 SOUSA_CHIN  Sousa chinensis                         Indo-Pacific hump-backed dolphin, white dolphin                                                    
 039 SOUSA_TEUS  Sousa teuszii                           Atlantic hump-backed dolphin                                                    
 040 HARBR_PORP  Phocoena phocoena                       Harbor porpoise, herring hog                                                    
 041 VAQUITA     Phocoena sinus                          Vaquita, Gulf of California harbor porpoise                                                    
 042 BURMEISTER  Phocoena spinipinnis                    Burmeister's porpoise, black porpoise                                                    
 043 BL_FINLESS  Neophocaena phocaenoides                Black finless porpoise                                                    
 044 DALLS_PORP  Phocoenoides dalli                      Dall's porpoise                                                    
 045 BELUGA      Delphinapterus leucas                   Beluga, white whale, belukha, sea canary                                                    
 046 SPERM_WHAL  Physeter macrocephalus                  Sperm whale                                                    
 047 PYGMYSPERM  Kogia breviceps                         Pygmy sperm whale                                                    
 048 DWARFSPERM  Kogia sima                              Dwarf sperm whale                                                    
 049 ZIPHIID_WH  Ziphiid whale                           Unidentified beaked whale                                                    
 050 HYPERO_PLN  Hyperoodon planifrons                   Southern bottlenose whale, flathead bottlenose whale                                                    
 051 MESOP_SPP   Mesoplodon sp.                          Unidentified Mesoplodon                                                    
 052 MESOP_CARL  Mesoplodon carlhubbsi                   Hubb's beaked whale, archbeak whale                                                    
 053 MESOP_HECT  Mesoplodon hectori                      Hector's beaked whale                                                    
 054 MESOP_BOWD  Mesoplodon bowdoini                     Andrew's beaked whale, deepcrest whale                                                    
 055 MESOP_EURO  Mesoplodon europaeus                    Gervais' beaked whale, Antillean beaked whale                                                    
 056 MESOP_BDNS  Mesoplodon bidens                       Sowerby's beaked whale                                                    
 057 MESOP_GNKO  Mesoplodon ginkgodens                   Ginkgo-toothed beaked whale                                                    
 058 MESOP_GRAY  Mesoplodon grayi                        Gray's beaked whale                                                    
 059 MESOP_DENS  Mesoplodon densirostris                 Blaineville's beaked whale, dense-beaked, tropical beaked whale                                                    
 060 MESOP_LAYA  Mesoplodon layardii                     Strap-toothed whale                                                    
 061 ZIPHI_CAVI  Ziphius cavirostris                     Cuvier's beaked whale, goose-beaked whale                                                    
 062 BERARD_ARN  Berardius arnuxii                       Arnoux's beaked whale, southern giant bottlenose whale                                                    
 063 BERARD_BAI  Berardius bairdii                       Baird's beaked whale, northern giant bottlenose whale                                                    
 064 TASMA_SHEP  Tasmacetus shepherdi                    Shepherd's beaked whale                                                    
 065 INDOPAC_PAC Indopacetus pacificus                   Longman's beaked whale                                                    
 066 NPAC_RT_WH  Eubalaena japonica                      North Pacific right whale                                                    
 067 BOWHEAD_WH  Balaena mysticetus                      Bowhead whale                                                    
 068 PYGMY_RGHT  Caperea marginata                       Pygmy right whale                                                    
 069 GRAY_WHALE  Eschrichtius robustus                   Gray whale                                                    
 070 UNID_RORQL  Balaenopterid sp                        Unidentified rorqual (Balaenoptera, Megaptera)                                                    
 071 MINKE_WHAL  Balaenoptera acutorostrata              Common minke whale                                                    
 072 BRYDES_WHL  Balaenoptera edeni                      Bryde's whale                                                    
 073 SEI_WHALE   Balaenoptera borealis                   Sei whale                                                    
 074 FIN_WHALE   Balaenoptera physalus                   Fin whale                                                    
 075 BLUE_WHALE  Balaenoptera musculus                   Blue whale                                                    
 076 HUMPBACK_W  Megaptera novaeangliae                  Humpback whale                                                    
 077 UNID_DOLPH                                          Unidentified dolphin or porpoise                                                    
 078 UNID_SM_WH                                          Unidentified small whale                                                    
 079 UNID_LG_WH                                          Unidentified large whale                                                    
 080 KOGIA_SPP   Kogia sp.                               Unidentified Kogia - dwarf or pygmy sperm whale                                                    
 081 MESOP_STEJ  Mesoplodon stejnegeri                   Steinger's beaked whale, sabertooth, Bering Sea beaked whale                                                    
 082 MESOP_MIRU  Mesoplodon mirus                        True's beaked whale                                                    
 083 MESOP_SP_A  Mesoplodon sp. A                        Unnamed beaked whale                                                    
 084 HYPERO_AMP  Hyperoodon ampullatus                   Northern bottlenose whale, North Atlantic bottlenose whale                                                    
 085 NARWHAL     Monodon monoceros                       Narwhal, sea unicorn                                                    
 086 S_RIGHT_WH  Eubalaena australis                     Southern right whale                                                    
 087 FRANCISCAN  Pontoporia blainvillei                  Franciscana, La Plata dolphin                                                    
 088 C_A_SPINNR  Stenella longirostris centroamericana   Central American spinner dolphin, Costa Rican spinner dolphin                                                    
 089 UNID_SPOT   Stenella attenuata/plagidon             Unidentified spotted dolphin in Atlantic                                                    
 090 UNID_SPOT   Stenella attenuata (unid. subsp.)       Unidentified pantropical spotted dolphin, spotter porpoise                                                    
 091 AT_SPOTTED  Stenella frontalis                      Atlantic spotted dolphin, spotter porpoise                                                    
 092 GANGES_DOL  Platanista gangetica gangetica          Ganges river dolphin                                                    
 093 INDUS_DOL   Platanista gangetica minor              Indus river dolphin                                                    
 094 INIA        Inia geoffrensis                        Boto, Amazon river dolphin                                                    
 095 LIPOTES     Lipotes vexillifer                      Baiji, Chinese river dolphin, whitefin dolphin                                                    
 096 UNID_CETAC                                          Unidentified cetacean                                                    
 097 UNID_OBJCT                                          Unidentified object, possible marine mammal                                                    
 098 UNID_WHALE                                          Unidentified whale                                                    
 099 SEI/BRYDES  Balaenoptera borealis/edeni             Rorqual identified as a Sei or Bryde's whale                                                    
 100 TRESMARIAS  Stenella longirostris (Tres Marias)     Tres Marias spinner dolphin                                                    
 101 SW_SPINNER  Stenella longirostris (southwestern)    Southwestern spinner dolphin                                                    
 102 GRAYS_SPIN  Stenella longirostris (Gray's)          Gray's spinner dolphin, pantropical spinner dolphin                                                    
 103 E/CA_SPIN   Stenella longirostris orient/centroam   Undetermined eastern or Central American spinner dolphin                                                    
 104 ANTC_MINKE  Balaenoptera bonaerensis                Antarctic minke whale                                                    
 105 IO_BTLNOSE  Tursiops aduncas                        Indian Ocean bottlenose dolphin                                                    
 106             Mesoplodon traversii                    spade-toothed whale                                                    
 107 DWF_SPINNR  Stenella longirostris roseiventris      Dwarf spinner dolphin                                                    
 108 NATL_RT_WH  Eubalaena glacialis                     North Atlantic right whale                                                    
 109             Mesoplodon perrini                      Perrin's beaked whale                                                    
 110             Orcinus orca                            Transient killer whale                                                    
 111             Orcinus orca                            Resident killer whale                                                    
 112             Orcinus orca                            Offshore killer whale                                                    
 113             Orcinus orca                            Type A Antarctic killer whale                                                    
 114             Orcinus orca                            Type B Antarctic killer whale                                                    
 115             Orcinus orca                            Type C Antarctic killer whale                                                    
 116             Tursiops truncatus                      California coastal bottlenose dolphin                                                    
 117             Tursiops truncatus                      California offshore bottlenose dolphin                                                    
 118             Balaenoptera omurai                     Omura's whale                                                    
 119             Sotalia guianensis                      Costero                                                    
 120             Orcaella heinsohni                      Australian snubfin dolphin                                                    
 149                                                     Unidentified small beaked whale (includes Mesoplodon and Ziphius; excludes Berardius; since 4/2007)                                                    
 177 UNID_S_DEL  unid. small delphinid                   Unidentified small delphinid (Delphinus, Lagenorhynchus, Lissodelphis or Stenella)                                                    
 189             Mesoplodon hotaula
 197                                                     Unidentified marine mammal (since 4/2007)                                                    
 199             Balaenoptera physalus/borealis/edeni    Rorqual identified as Fin, Sei, or Bryde's
 277 UNID_M_DEL  unid. medium delphinid                  Unidentified medium delphinid (Feresa, Grampus, Steno or Tursiops)                                                    
 377 UNID_L_DEL  unid. large delphinid                   Unidentified large delphinid (Pseudorca, Orca or Globicephala)                           U                        
 477 UNID_PORP   unid. porpoise                          Unidentified porpoise (Phocoena or Phocoenoides)                                                    
 800                                                     Wooly mammoth (in temporary use only, 9/20/2004)                                                    
 801                                                     Bison species (in temporary use only, 9/20/2004)                                                    
  AP             Arctocephalus pusillus                  Tasmanian and Cape fur seals                                                    
  AR             Arctocephalus tropicalis                Subantarctic fur seal                                                    
  AH             Arctocephalus philippii                 Juan Fernandez fur seal                                                    
  AA             Arctocephalus australis                 South American fur seal                                                    
  AF             Arctocephalus forsteri                  New Zealand fur seal                                                    
  AG             Arctocephalus galapagoensis             Galapagos fur seal                                                    
  AT GUAD_FURSL  Arctocephalus townsendi                 Guadalupe fur seal                                                    
  AZ             Arctocephalus gazella                   Antarctic fur seal                                                    
  CT             Cystophora cristata                     Hooded seal                                                    
  CU NO_FURSEAL  Callorhinus ursinus                     Northern fur seal                                                    
  EB             Erignathus barbatus                     Bearded seal                                                    
  EJ STELLAR_SL  Eumetopias jubatus                      Steller sea lion                                                    
  HP             Halichoerus grypus                      Gray seal                                                    
  MA N_ELEPHN_S  Mirounga angustirostris                 Northern elephant seal                                                    
  ML S_ELEPHN_S  Mirounga leonina                        Southern elephant seal                                                    
  MS             Monachus schauinslandi                  Hawaiian monk seal                                                    
  MP             Monochus tropicalis                     Caribbean or West Indian monk seal
  OB SA_SEALION  Otaria flavescens                       South American sea lion                                                    
  OR             Odobenus rosmarus                       Pacific walrus                                                    
  OS             Ommatophoca rossii                      Ross Seal                                                    
  PC CASPN_SEAL  Pusa caspica                            Caspian seal                                                    
  PF             Histriophoca fasciata                   Ribbon seal                                                    
  PG             Pagophilus groenlandicus                Harp seal                                                    
  PH             Pusa hispida                            Ringed seal                                                    
  PL             Phoca largha                            Spotted seal                                                    
  PS             Pusa sibirica                           Baikal seal                                                    
  MO             Monachus monachus                       Mediterranean monk seal                                                    
  LE             Leptonychotes weddellii                 Weddell seal                                                    
  LC             Lobodon carcinophaga                    Crabeater seal                                                    
  HL             Hydrurga leptonyx                       Leopard seal                                                    
  PU UNID_PINNI  unid. pinniped                          Unidentified Pinniped                                                    
  PV HARBR_SEAL  Phoca vitulina                          Harbor seal                                                    
  UA UNID_FURSL  unid. fur seal                          Unidentified fur seal                                                    
  UO UNID_OTARI  unid. sea lion                          Unidentified sea lion                                                    
  US UNID_SEAL   unid. seal                              Unidentified seal                                                    
  ZC CA_SEALION  Zalophus californianus                  California sea lion                                                    
  ZJ             Zalophus japonicus                      Japanese sea lion                                                    
  ZW             Zalophus wollebaeki                     Galapagos sea lion                                                    
  PK             Phocarctos hookeri                      New Zealand sea lion, Hooker's sea lion                                                    
  NC             Neophoca cinerea                        Australian sea lion                                                    
  EL             Enhydra lutris                          Sea otter                                                    
  LF             Lontra felina                           Marine otter, chungungo                                                    
  HG             Hydrodamalis gigas                      Stellar sea cow                                                    
  TI             Trichechus inunguis                     Amazon manatee                                                    
  TM             Trichechus manatus                      West Indian manatee                                                    
  TS             Trichechus senegalensis                 African manatee, West African manatee                                                    
  DG             Dugong dugon                            Dugong, sea cow                                                    
  UM             Ursus maritimus                         Polar bear                                                    
  CC             Caretta Caretta                         Loggerhead sea turtle                                                    
