"treat_rep1","treat_rep2","control_rep1","control_rep2"
"ENSMUSG00000002104",1030,1155,63,149
"ENSMUSG00000002205",13435,10650,1617,1599
"ENSMUSG00000002968",5315,4013,3329,4517
"ENSMUSG00000006335",1453,1737,4682,6484
"ENSMUSG00000018470",52,29,1,10
"ENSMUSG00000021254",4643,3229,9108,10256
"ENSMUSG00000021565",47,177,83,61
"ENSMUSG00000022262",65,164,7,13
"ENSMUSG00000022387",8718,11623,33311,38025
"ENSMUSG00000024218",2,3,2,2
"ENSMUSG00000025487",9356,10930,1571,1750
"ENSMUSG00000025538",413,591,63,32
"ENSMUSG00000025592",151,193,3,43
"ENSMUSG00000027333",6293,5085,17777,15479
"ENSMUSG00000028071",2650,2420,366,10
"ENSMUSG00000028444",31464,31744,4613,5078
"ENSMUSG00000028879",882,1272,733,1115
"ENSMUSG00000029614",0,0,0,0
"ENSMUSG00000029781",0,0,0,0
"ENSMUSG00000031604",13506,12551,46938,61334
"ENSMUSG00000034219",15609,17870,30539,34165
"ENSMUSG00000034310",4490,5478,913,730
"ENSMUSG00000035370",586,659,122,98
"ENSMUSG00000036644",7666,8708,1243,1017
"ENSMUSG00000037278",2348,2768,9259,9109
"ENSMUSG00000037364",19717,30513,93223,79454
"ENSMUSG00000038055",1,1,1,1
"ENSMUSG00000038498",19667,17281,1536,1530
"ENSMUSG00000040610",4802,3936,8915,9608
"ENSMUSG00000041625",8672,8430,27886,29284
"ENSMUSG00000042292",10521,8837,821,685
"ENSMUSG00000042353",1132,661,629,914
"ENSMUSG00000043800",41,37,156,152
"ENSMUSG00000043962",19954,23226,1435,1623
"ENSMUSG00000045237",947,1261,1771,2380
"ENSMUSG00000045394",4539,4727,499,574
"ENSMUSG00000046671",13,6,0,15
"ENSMUSG00000047514",8174,4550,535,500
"ENSMUSG00000049553",4160,2090,8162,6789
"ENSMUSG00000052865",2732,3536,494,156
"ENSMUSG00000053216",0,0,0,0
"ENSMUSG00000054932",3612,3610,311,564
"ENSMUSG00000057497",2968,3008,163,480
"ENSMUSG00000057899",163,155,27,16
"ENSMUSG00000059901",46,49,10,0
"ENSMUSG00000061292",1429,1367,4734,3223
"ENSMUSG00000062040",1033,846,3789,3285
"ENSMUSG00000063388",2884,3291,8275,7805
"ENSMUSG00000064507",7709,6751,1101,962
"ENSMUSG00000073072",14,9,6,14
"ENSMUSG00000073643",3705,4508,324,556
"ENSMUSG00000074446",1133,1476,2918,3710
"ENSMUSG00000074781",9606,10607,892,873
"ENSMUSG00000076474",28531,37019,5184,5786
"ENSMUSG00000076902",9277,7872,28661,33277
"ENSMUSG00000078186",0,0,0,0
"ENSMUSG00000078607",357,609,11,62
"ENSMUSG00000079029",31025,33335,112055,130186
"ENSMUSG00000080877",0,21,9,3
"ENSMUSG00000081687",14753,15509,1490,2688
"ENSMUSG00000081950",6941,7816,698,1193
"ENSMUSG00000082415",18467,13597,1228,1369
"ENSMUSG00000082670",0,0,0,0
"ENSMUSG00000082773",0,0,0,0
"ENSMUSG00000083200",19938,14744,2630,3342
"ENSMUSG00000083527",608,344,42,109
"ENSMUSG00000083727",102,106,301,163
"ENSMUSG00000084133",172,198,284,360
"ENSMUSG00000085938",4,0,4,0
"ENSMUSG00000086004",3134,2072,309,166
"ENSMUSG00000086335",16642,14277,64674,62786
"ENSMUSG00000086459",691,1776,146,68
"ENSMUSG00000087204",49,74,3,9
"ENSMUSG00000087307",11311,7969,1317,599
"ENSMUSG00000087644",284,225,808,751
"ENSMUSG00000088848",16131,12337,1230,2334
"ENSMUSG00000089396",309,374,57,44
"ENSMUSG00000090374",778,322,1632,1934
"ENSMUSG00000091176",15196,12380,23858,25758
"ENSMUSG00000091193",7012,5989,681,868
"ENSMUSG00000091896",13128,14979,1033,1694
"ENSMUSG00000092247",3603,4181,7084,8694
"ENSMUSG00000092661",0,0,1,0
"ENSMUSG00000092837",303,317,232,272
"ENSMUSG00000093134",24168,18061,71710,78728
"ENSMUSG00000093219",4404,5372,381,585
"ENSMUSG00000093663",2369,2751,389,485
"ENSMUSG00000094007",84,65,147,182
"ENSMUSG00000094403",3338,1719,291,295
"ENSMUSG00000094462",32885,32183,4765,3710
"ENSMUSG00000094557",1219,1481,3659,5763
"ENSMUSG00000094986",124,283,1150,399
"ENSMUSG00000094989",144,73,296,461
"ENSMUSG00000095467",13846,17980,48825,43642
"ENSMUSG00000095640",2208,2373,3210,5000
"ENSMUSG00000096679",600,791,2019,1856
"ENSMUSG00000096875",8,10,7,8
"ENSMUSG00000097506",3647,6301,222,521
"ENSMUSG00000097596",271,225,669,627
"ENSMUSG00000097628",0,4,1,1
