Date;G;Tmed;Urmed;Rgacum;uzmed;Patm;Kc
24/07/2016;0;22.09583333;56;21.4849;2.216666667;963.4041667;0.26
25/07/2016;0;24.55416667;52.04166667;23.3057;2.691666667;961.1666667;0.26
26/07/2016;0;23.77083333;52.29166667;17.44647;2.895833333;961.6625;0.26
27/07/2016;0;15.67083333;60.875;23.8859;3.783333333;966.2083333;0.26
28/07/2016;0;15.95833333;63.70833333;17.02207;2.15;965.3458333;0.26
29/07/2016;0;20.30833333;59.79166667;22.4286;2.470833333;964.5083333;0.26
30/07/2016;0;21.84166667;60.70833333;26.6862;3.183333333;963.8666667;0.26
31/07/2016;0;22.95;53;25.4093;2.908333333;963.0875;0.26
01/08/2016;0;23.30416667;47.41666667;23.0696;1.945833333;964.075;0.26
02/08/2016;0;24.63333333;43.25;24.73059;1.9;965.2;0.26
