DOID	DOTerm	p	p.adjust	geneRatio	bgRatio	cg
DOID:10652	Alzheimer's disease	2.1938596983154654e-71	1.0559046727992335e-67	80/91	1388/15106	7422,7124,5819,3630,3635,1471,2,801,3643,3416,10858,4524,836,5621,627,5649,5663,5664,3482,3481,3479,2147,4353,10452,4129,4137,5468,54209,3077,8301,7447,498,57091,274,51338,7019,7018,1718,23237,1965,3952,1565,23607,4846,4852,945,1141,1139,1378,3553,2023,2041,1191,3127,6653,6648,5328,3162,5336,10347,7782,8633,2099,23621,581,341,102,55676,348,590,351,596,23385,1808,43,51225,2932,7167,1636,27328
DOID:680	tauopathy	4.3841259795992434e-63	1.055039916990558e-59	80/91	1396/15106	7422,7124,5819,3630,3635,1471,2,801,3643,3416,10858,4524,836,5621,627,5649,5663,5664,3482,3481,3479,2147,4353,10452,4129,4137,5468,54209,3077,8301,7447,498,57091,274,51338,7019,7018,1718,23237,1965,3952,1565,23607,4846,4852,945,1141,1139,1378,3553,2023,2041,1191,3127,6653,6648,5328,3162,5336,10347,7782,8633,2099,23621,581,341,102,55676,348,590,351,596,23385,1808,43,51225,2932,7167,1636,27328
DOID:0080832	mild cognitive impairment	3.0931958002943364e-52	4.96251712893888e-49	38/91	160/15106	23607,5663,590,351,596,3479,3630,4846,8301,1471,1191,3643,6653,1636,7124,3162,274,1139,3553,5336,10452,3952,4524,836,4129,5621,4137,10347,7422,2099,23621,51225,3077,581,2932,348,627,5649
DOID:1307	dementia	3.0163469398014877e-43	3.6294194553161403e-40	52/91	753/15106	7124,1141,351,1139,3952,4524,836,1471,5621,4137,54209,7422,2099,23621,1636,348,627,5663,5664,590,4846,7447,6653,5336,10452,51225,7019,1565,5328,341,945,5649,3481,3480,3479,3162,3077,498,2932,596,8301,2,3416,1808,274,3553,1191,4129,5468,10347,51741,581
DOID:14330	Parkinson's disease	3.2695761547184626e-42	3.1472940065319924e-39	51/91	769/15106	2932,3630,1471,2,3416,945,1141,1139,1378,3553,4524,836,627,5663,5664,3481,3479,2147,1191,3127,4353,6653,6648,3162,5336,10452,4129,4137,5468,10347,54209,7422,2099,3077,581,341,102,348,590,351,596,8301,498,43,7124,274,7019,7018,1636,51741,1565
DOID:0050890	synucleinopathy	2.2603343680181005e-34	1.8131648855451862e-31	51/91	804/15106	7124,3553,4129,1471,4137,54209,2932,348,3630,2,3416,945,1141,1139,1378,4524,836,627,5663,5664,3481,3479,2147,1191,3127,4353,6653,6648,3162,5336,10452,5468,10347,7422,2099,3077,581,341,102,590,351,596,8301,498,43,274,7019,7018,1636,51741,1565
DOID:1561	cognitive disorder	1.2593070770331027e-30	8.658635659657605e-28	73/91	2275/15106	7422,596,3479,4524,2932,348,627,3630,4846,1139,3553,1392,5621,5649,6648,4137,2099,351,1808,7124,1636,3952,1565,590,1471,4852,3482,5697,4129,7782,55676,1378,5663,3481,3480,1191,4353,3162,10452,5468,8301,498,43,23237,2023,3077,7018,801,3643,836,54209,7447,1141,3127,23621,102,23385,7167,23607,6653,274,5336,10347,51225,581,5664,7019,5328,341,945,2,3416,51741
DOID:1596	depressive disorder	2.1902207321144385e-28	1.3176915479583491e-25	41/91	667/15106	1392,4524,627,7124,590,351,4846,1471,4852,1139,3553,5621,2932,5649,3482,3479,6648,1636,5697,3952,4129,4137,7782,7422,2099,1565,55676,348,1378,5663,3481,3480,1191,4353,3162,10452,5468,8301,498,43,23237
DOID:2377	multiple sclerosis	8.991017094607664e-27	4.808196141816299e-24	40/91	784/15106	351,7124,3952,348,627,7422,2147,5621,5819,4846,1471,2,4852,945,10858,3553,4524,5649,3481,3479,1191,3127,4353,6648,3162,5336,4137,5468,54209,2099,23621,3077,581,590,596,43,7018,2932,7167,1636
DOID:5419	schizophrenia	2.701133604941062e-25	1.3000556040581333e-22	46/91	1308/15106	2932,7124,627,5649,3630,801,3643,4524,836,5621,5663,3481,3479,4129,4137,5468,54209,7422,3077,8301,7447,498,7018,23237,3952,1565,4846,4852,1141,1139,3553,1392,1191,3127,6648,3162,2099,23621,102,348,351,596,23385,1808,7167,1636
DOID:11612	polycystic ovary syndrome	3.052616563081396e-25	1.3356585016464328e-22	33/91	527/15106	3630,4846,4852,3643,3416,10857,3553,4524,1392,627,3481,3480,3479,2147,6517,4353,6648,5697,3162,5468,7422,2099,3077,581,341,348,9510,7124,7019,2932,1636,3952,1565
DOID:0111227	frontotemporal dementia and/or amyotrophic lateral sclerosis 7	4.643273155394301e-23	1.8623394747427306e-20	28/91	385/15106	1471,945,4524,836,5621,627,5649,5663,5664,3481,3480,3479,3162,5336,10452,4137,54209,7422,3077,341,348,351,7447,498,7124,7019,2932,3952
DOID:0060004	autoimmune disease of central nervous system	7.08523887801643e-23	2.6231734399917753e-20	40/91	827/15106	351,2147,1636,945,3553,54209,2099,7124,3952,348,627,7422,5621,5819,4846,1471,2,4852,10858,4524,5649,3481,3479,1191,3127,4353,6648,3162,5336,4137,5468,23621,3077,581,590,596,43,7018,2932,7167
DOID:3213	demyelinating disease	1.0194593214739635e-22	3.504755510181562e-20	40/91	791/15106	351,7124,3952,348,627,7422,2147,5621,5819,4846,1471,2,4852,945,10858,3553,4524,5649,3481,3479,1191,3127,4353,6648,3162,5336,4137,5468,54209,2099,23621,3077,581,590,596,43,7018,2932,7167,1636
DOID:1289	neurodegenerative disease	1.6777623995657717e-22	5.3833802860733725e-20	83/91	2360/15106	4852,1808,4524,5621,1718,2932,627,3479,3952,4129,4137,54209,7422,102,348,7124,3553,1471,3630,2,3416,945,1141,1139,1378,836,5663,5664,3481,2147,1191,3127,4353,6653,6648,3162,5336,10452,5468,10347,2099,3077,581,341,590,351,596,8301,498,43,274,7019,7018,1636,51741,1565,5649,3480,7447,55676,1200,5819,3635,801,3643,10858,3482,57091,51338,23237,1965,23607,4846,2023,2041,5328,7782,8633,23621,23385,51225,7167,27328
DOID:9352	type 2 diabetes mellitus	2.0208925473159573e-22	6.079097393894814e-20	45/91	1449/15106	3630,1471,2,3643,3416,10858,4524,627,3482,3481,3480,3479,2147,6517,4353,5697,4129,4137,5468,54209,7422,3077,274,7019,7018,3952,1565,4846,4852,1141,3553,1191,6648,3162,2099,23621,341,348,590,351,596,7124,2932,7167,1636
