Date&Time	Phase	Temp.1	Ox.1	Temp.2	Ox.2	Temp.3	Ox.3	Temp.4	Ox.4
08/02/2021/12:01:10	F1	1,843	15,259	1,843	14,486	1,843	15,202	1,843	15,623
08/02/2021/12:11:10	M1	3,251	14,39	3,251	13,68	3,251	13,892	3,251	14,297
08/02/2021/12:21:10	M1	3,906	13,958	3,906	12,622	3,906	13,089	3,906	13,489
08/02/2021/12:31:10	M1	4,248	13,723	4,248	12,326	4,248	12,501	4,248	13,02
08/02/2021/12:41:10	M1	4,461	13,578	4,461	12,052	4,461	11,828	4,461	12,647
08/02/2021/12:51:10	M1	4,6	13,513	4,6	11,931	4,6	11,814	4,6	12,307
08/02/2021/13:01:10	M1	4,7	13,438	4,7	11,629	4,7	11,179	4,7	12,026
08/02/2021/13:11:10	M1	4,783	13,414	4,783	11,159	4,783	10,727	4,783	11,715
08/02/2021/13:21:10	M1	4,834	13,368	4,834	10,902	4,834	10,604	4,834	11,439
08/02/2021/13:31:10	M1	4,876	13,344	4,876	10,716	4,876	10,361	4,876	11,254
08/02/2021/13:41:10	M1	4,908	13,297	4,908	10,579	4,908	9,9725	4,908	10,98
08/02/2021/13:51:10	M1	4,931	13,287	4,931	10,398	4,931	9,5959	4,931	10,651
08/02/2021/14:01:10	M1	4,945	13,258	4,945	10,217	4,945	9,3073	4,945	10,361
08/02/2021/14:11:10	M1	4,943	13,226	4,943	10,129	4,943	8,9475	4,943	10,118
08/02/2021/14:21:10	M1	4,965	13,225	4,965	9,7213	4,965	8,6271	4,965	9,8309
08/02/2021/14:31:10	M1	4,974	13,194	4,974	9,9244	4,974	8,2436	4,974	9,5775
08/02/2021/14:41:10	M1	5,004	13,207	5,004	10,046	5,004	8,1028	5,004	9,3468
08/02/2021/14:51:10	M1	5,032	13,192	5,032	10,349	5,032	7,4669	5,032	9,2209
08/02/2021/15:01:10	M1	5,066	13,191	5,066	8,9407	5,066	7,3458	5,066	8,9836
08/02/2021/15:11:10	M1	5,079	13,17	5,079	8,9026	5,079	7,3224	5,079	8,7662
08/02/2021/15:21:10	M1	5,099	13,167	5,099	8,7157	5,099	7,1127	5,099	8,6431
08/02/2021/15:31:10	M1	5,095	13,113	5,095	8,4299	5,095	6,7829	5,095	8,5945
08/02/2021/15:41:10	M1	5,089	13,131	5,089	8,3618	5,089	6,6141	5,089	8,3216
08/02/2021/15:51:10	M1	5,086	13,095	5,086	8,1523	5,086	6,4052	5,086	8,1876
