21/08/2018/07:55 SW ver:OXY4v2_30
Header Ch-3
Description:
IDENTIFICATION
PHIboard number   : v1231164
PM number         : 00000000
Serial number     : S DLD 0001 000067
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 79164
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 56.00 at 020.0�C amp 068800
100.00%a.s.phase 2: 27.00 at 020.0�C amp 069400
Date   (ddmmyy)   : 231112
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/�;Amp;Temp/�C;Error
21/08/2018;07:55:07;0;98.6;30.66;NA;24.4;0
21/08/2018;07:55:08;0.02;98.62;30.66;NA;24.41;0
21/08/2018;07:55:09;0.03;98.64;30.65;NA;24.42;0
21/08/2018;07:55:10;0.05;98.49;30.66;NA;24.44;0
21/08/2018;07:55:11;0.06;98.64;30.64;NA;24.42;0
21/08/2018;07:55:12;0.08;98.8;30.64;NA;24.41;0
21/08/2018;07:55:13;0.1;98.41;30.67;NA;24.4;0
21/08/2018;07:55:14;0.12;98.28;30.69;NA;24.43;0
21/08/2018;07:55:15;0.14;98.64;30.66;NA;24.42;0
21/08/2018;07:55:16;0.16;98.62;30.66;NA;24.41;0
21/08/2018;07:55:17;0.19;98.8;30.65;NA;24.41;0
21/08/2018;07:55:18;0.21;98.6;30.67;NA;24.4;0
21/08/2018;07:55:19;0.23;98.8;30.64;NA;24.41;0
21/08/2018;07:55:20;0.24;98.43;30.68;NA;24.41;0
21/08/2018;07:55:21;0.26;98.66;30.65;NA;24.43;0
