***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************																
Data	from	Pyro	Oxygen	Logger	V3.206	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:														
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************																
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (ÁC)	Press. Comp.	Press. (hPa)	Salinity (Š)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)														
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-548-210	3	OFF	20	OFF	1013	25.3	15 %	400x	10	ON fiber length	2														
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0																							
																													
Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (ÁC)	Temp. upper Cal. (ÁC)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (Á)	dphi100 (Á)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (Á)	mt (1/K)												
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20	19.019	1018	100	20.95	54.8	21.301	0.85	0.081	4000	1.184	-0.07	0.811	0	-0.00037												
Data	Smoothing:	3																											
Date:	08/02/2016																												
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (Á)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)
08/02/2016	14:01:07	561		7.3042	---	---	---	20	---	---	---	1018.32	55.197	---	---	---	22.011	---	---	---	176.528	---	---	---	5.177	---	---	---	
08/02/2016	14:01:08	562		7.3012	---	---	---	20	---	---	---	1018.33	55.197	---	---	---	22.016	---	---	---	176.529	---	---	---	5.156	---	---	---	
08/02/2016	14:01:09	563		7.2944	---	---	---	20	---	---	---	1018.31	55.187	---	---	---	22.026	---	---	---	176.515	---	---	---	5.159	---	---	---	
08/02/2016	14:01:10	564		7.2927	---	---	---	20	---	---	---	1018.31	55.197	---	---	---	22.029	---	---	---	176.509	---	---	---	5.171	---	---	---	
08/02/2016	14:01:11	565		7.2895	---	---	---	20	---	---	---	1018.3	55.208	---	---	---	22.034	---	---	---	176.521	---	---	---	5.173	---	---	---	
08/02/2016	14:01:12	566		7.2923	---	---	---	20	---	---	---	1018.32	55.218	---	---	---	22.03	---	---	---	176.522	---	---	---	5.165	---	---	---	
08/02/2016	14:01:13	567		7.2959	---	---	---	20	---	---	---	1018.32	55.218	---	---	---	22.024	---	---	---	176.507	---	---	---	5.158	---	---	---	
08/02/2016	14:01:14	568		7.2978	---	---	---	20	---	---	---	1018.31	55.218	---	---	---	22.021	---	---	---	176.499	---	---	---	5.173	---	---	---	
08/02/2016	14:01:15	569		7.2984	---	---	---	20	---	---	---	1018.3	55.218	---	---	---	22.02	---	---	---	176.466	---	---	---	5.195	---	---	---	
08/02/2016	14:01:16	570		7.2988	---	---	---	20	---	---	---	1018.31	55.218	---	---	---	22.019	---	---	---	176.458	---	---	---	5.203	---	---	---	
