 Date	Time	Phase	Millis																						
25/09/2020	09:04:48	F1	0																						
25/09/2020	09:04:49	F1	1012																						
25/09/2020	09:04:50	F1	2013																						
25/09/2020	09:04:51	F1	3013																						
25/09/2020	09:04:52	F1	4014																						
25/09/2020	09:04:53	F1	5014																						
25/09/2020	09:04:54	F1	6014																						
25/09/2020	09:04:55	F1	7015																						
25/09/2020	09:04:56	F1	8016																						
25/09/2020	09:04:57	F1	9017																						
25/09/2020	09:04:58	F1	10017																						
25/09/2020	09:04:59	F1	11018																						
25/09/2020	09:05:00	F1	12018																						
25/09/2020	09:05:01	F1	13019																						
25/09/2020	09:05:02	F1	14019																						
25/09/2020	09:05:03	F1	15020																						
25/09/2020	09:05:04	F1	16020																						
25/09/2020	09:05:05	F1	17020																						
25/09/2020	09:05:06	F1	18021																						
25/09/2020	09:05:07	F1	19021																						
25/09/2020	09:05:08	F1	20022																						
25/09/2020	09:05:09	F1	21022																						
25/09/2020	09:05:10	F1	22023																						
25/09/2020	09:05:11	F1	23023																						
25/09/2020	09:05:12	F1	24024																						
25/09/2020	09:05:13	F1	25024																						
25/09/2020	09:05:14	F1	26024																						
25/09/2020	09:05:15	F1	27025																						
25/09/2020	09:05:16	F1	28025																						
25/09/2020	09:05:17	F1	29027																						
25/09/2020	09:05:18	F1	30027																						
25/09/2020	09:05:19	F1	31028																						
25/09/2020	09:05:20	F1	32028																						
25/09/2020	09:05:21	F1	33029																						
25/09/2020	09:05:22	F1	34029																						
25/09/2020	09:05:23	F1	35030																						
25/09/2020	09:05:24	F1	36030																						
25/09/2020	09:05:25	F1	37030																						
25/09/2020	09:05:26	F1	38031																						
25/09/2020	09:05:27	F1	39031																						
25/09/2020	09:05:28	F1	40032																						
25/09/2020	09:05:29	F1	41032																						
25/09/2020	09:05:30	F1	42033																						
25/09/2020	09:05:31	F1	43033																						
25/09/2020	09:05:32	F1	44034																						
25/09/2020	09:05:33	F1	45034																						
25/09/2020	09:05:34	F1	46034																						
25/09/2020	09:05:35	F1	47035																						
25/09/2020	09:05:36	F1	48036																						
25/09/2020	09:05:37	F1	49037																						
25/09/2020	09:05:38	F1	50037																						
25/09/2020	09:05:39	F1	51038																						
25/09/2020	09:05:40	F1	52038																						
25/09/2020	09:05:41	F1	53039																						
25/09/2020	09:05:42	F1	54039																						
25/09/2020	09:05:43	F1	55040																						
25/09/2020	09:05:44	F1	56040																						
25/09/2020	09:05:45	F1	57040																						
25/09/2020	09:05:46	F1	58041																						
25/09/2020	09:05:47	F1	59041																						
25/09/2020	09:05:48	F1	60042																						
25/09/2020	09:05:49	F1	61042																						
25/09/2020	09:05:50	F1	62043																						
25/09/2020	09:05:51	F1	63043																						
25/09/2020	09:05:52	F1	64044																						
25/09/2020	09:05:53	F1	65044																						
25/09/2020	09:05:54	F1	66044																						
25/09/2020	09:05:55	F1	67045																						
25/09/2020	09:05:56	F1	68046																						
25/09/2020	09:05:57	F1	69047																						
25/09/2020	09:05:58	F1	70047																						
25/09/2020	09:05:59	F1	71048																						
25/09/2020	09:06:00	F1	72048																						
25/09/2020	09:06:01	F1	73049																						
25/09/2020	09:06:02	F1	74049																						
25/09/2020	09:06:03	F1	75049																						
25/09/2020	09:06:04	F1	76050																						
25/09/2020	09:06:05	F1	77050																						
25/09/2020	09:06:06	F1	78051																						
25/09/2020	09:06:07	F1	79051																						
25/09/2020	09:06:08	F1	80052																						
25/09/2020	09:06:09	F1	81052																						
25/09/2020	09:06:10	F1	82053																						
25/09/2020	09:06:11	F1	83053																						
25/09/2020	09:06:12	F1	84054																						
25/09/2020	09:06:13	F1	85054																						
25/09/2020	09:06:14	F1	86054																						
25/09/2020	09:06:15	F1	87056																						
25/09/2020	09:06:16	F1	88056																						
25/09/2020	09:06:17	F1	89057																						
25/09/2020	09:06:18	F1	90057																						
25/09/2020	09:06:19	F1	91058																						
25/09/2020	09:06:20	F1	92058																						
25/09/2020	09:06:21	F1	93059																						
25/09/2020	09:06:22	F1	94059																						
25/09/2020	09:06:23	F1	95059																						
25/09/2020	09:06:24	F1	96060																						
25/09/2020	09:06:25	F1	97060																						
25/09/2020	09:06:26	F1	98061																						
25/09/2020	09:06:27	F1	99061																						
25/09/2020	09:06:28	F1	100062																						
25/09/2020	09:06:29	F1	101062																						
25/09/2020	09:06:30	F1	102063																						
25/09/2020	09:06:31	F1	103063																						
25/09/2020	09:06:32	F1	104065																						
25/09/2020	09:06:33	F1	105065																						
25/09/2020	09:06:34	F1	106065																						
25/09/2020	09:06:35	F1	107066																						
25/09/2020	09:06:36	F1	108066																						
25/09/2020	09:06:37	F1	109067																						
25/09/2020	09:06:38	F1	110067																						
25/09/2020	09:06:39	F1	111068																						
25/09/2020	09:06:40	F1	112068																						
