
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	No 3
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-212	3	ON External	20.000	ON	1013	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-532-211	3	ON External	20.000	ON	1013	0.000	15%	400x	10	ON fiber length	4.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-532-210	3	ON External	20.000	ON	1013	0.000	15%	400x	10	ON fiber length	4.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-531-210	3	ON External	20.000	ON	1013	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.060	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.023	11.853	995	100.000	20.950	52.316	23.214	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.060	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.024	11.855	995	100.000	20.950	52.443	22.971	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.060	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.022	11.857	995	100.000	20.950	52.210	23.197	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.060	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.027	11.849	995	100.000	20.950	52.390	23.263	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.060	
Data	Smoothing:	3	
Date:	25/09/2020	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
25/09/2020	09:04:56	0.00		10.853	10.903	10.886	10.903	11.057	11.057	11.057	11.057	991.57	77.813	11.057	---	---	23.254	22.958	23.202	23.249	155.846	125.798	146.634	112.636	3.676	3.687	4.690	3.539	
25/09/2020	09:04:58	2.00		10.855	10.922	10.896	10.911	11.063	11.063	11.063	11.063	991.61	77.646	11.063	---	---	23.250	22.935	23.189	23.238	155.856	125.693	146.652	112.504	3.679	3.815	4.865	3.612	
25/09/2020	09:05:00	4.00		10.864	10.930	10.915	10.937	11.068	11.068	11.068	11.068	991.60	77.452	11.068	---	---	23.238	22.926	23.167	23.209	155.707	125.600	146.503	112.370	3.995	3.749	4.923	3.858	
25/09/2020	09:05:02	6.00		10.867	10.934	10.923	10.942	11.062	11.062	11.062	11.062	991.56	77.435	11.062	---	---	23.238	22.924	23.161	23.206	155.688	125.600	146.507	112.398	4.106	3.496	4.888	3.577	
25/09/2020	09:05:04	8.00		10.873	10.935	10.930	10.953	11.057	11.057	11.057	11.057	991.51	77.427	11.057	---	---	23.232	22.924	23.155	23.196	155.619	125.607	146.490	112.352	3.690	3.349	4.729	3.345	
25/09/2020	09:05:06	10.00		10.871	10.936	10.925	10.936	11.057	11.057	11.057	11.057	991.53	77.417	11.057	---	---	23.235	22.924	23.161	23.214	155.581	125.613	146.498	112.351	4.008	3.422	4.564	3.384	
25/09/2020	09:05:08	12.00		10.870	10.931	10.920	10.930	11.057	11.057	11.057	11.057	991.56	77.406	11.057	---	---	23.236	22.928	23.166	23.220	155.585	125.617	146.528	112.352	3.977	3.397	4.761	3.616	
25/09/2020	09:05:10	14.00		10.870	10.936	10.917	10.923	11.060	11.060	11.060	11.060	991.58	77.396	11.060	---	---	23.235	22.922	23.168	23.227	155.679	125.627	146.542	112.420	4.209	3.517	4.302	3.808	
25/09/2020	09:05:12	16.00		10.878	10.938	10.924	10.918	11.059	11.059	11.059	11.059	991.54	77.396	11.059	---	---	23.227	22.920	23.161	23.232	155.721	125.633	146.523	112.454	4.173	3.374	4.059	3.874	
25/09/2020	09:05:14	18.00		10.868	10.930	10.917	10.912	11.062	11.062	11.062	11.062	991.53	77.396	11.062	---	---	23.237	22.928	23.168	23.238	155.743	125.642	146.487	112.429	3.672	3.667	3.770	3.667	
25/09/2020	09:05:16	20.00		10.867	10.924	10.915	10.906	11.057	11.057	11.057	11.057	991.53	77.406	11.057	---	---	23.239	22.936	23.171	23.246	155.714	125.628	146.494	112.406	3.592	3.548	3.943	3.671	
25/09/2020	09:05:18	22.00		10.860	10.918	10.904	10.918	11.065	11.065	11.065	11.065	991.54	77.417	11.065	---	---	23.244	22.939	23.180	23.231	155.716	125.624	146.513	112.400	3.481	3.538	3.895	3.762	
25/09/2020	09:05:20	24.00		10.863	10.924	10.900	10.934	11.066	11.066	11.066	11.066	991.52	77.427	11.066	---	---	23.240	22.933	23.184	23.213	155.633	125.612	146.517	112.411	3.824	3.220	4.298	3.957	
