,D2_1,D2_2,D4_1,D4_2
ENSMUSG00000034438,0.024800331,0.016435631,0.973721938,0.823749977
ENSMUSG00000047746,0.69440927,0.796879071,0.249672292,0.100273886
ENSMUSG00000069378,0.644808608,0.597659303,0.29960675,0.300821659
ENSMUSG00000082218,0.628440389,0.464680108,0.415954038,0.334413411
ENSMUSG00000060735,0.595207946,0.498049419,0.29960675,0.451232489
ENSMUSG00000039098,0.570407615,0.547854361,0.249672292,0.476300961
ENSMUSG00000032128,0.496006621,0.398439535,0.599213501,0.350958603
ENSMUSG00000048398,0.545607284,0.373537064,0.474377355,0.451232489
ENSMUSG00000117563,0.47120629,0.52295189,0.424442896,0.426164017
ENSMUSG00000082310,0.570407615,0.398439535,0.324573979,0.551506375
ENSMUSG00000035403,0.421605628,0.323732122,0.773984105,0.325890131
ENSMUSG00000095385,0.496006621,0.398439535,0.399475667,0.551506375
ENSMUSG00000021303,0.992013243,0.597659303,0.099868917,0.155925893
ENSMUSG00000042498,0.396805297,0.448244477,0.549279042,0.451232489
ENSMUSG00000035459,0.347204635,0.398439535,0.574246271,0.526437904
ENSMUSG00000044988,0.248003311,0.348634593,0.848885792,0.401095546
ENSMUSG00000040570,0.347204635,0.448244477,0.399475667,0.651780262
ENSMUSG00000038045,0.396805297,0.099609884,0.699082417,0.651780262
ENSMUSG00000037437,0.347204635,0.398439535,0.29960675,0.802191092
ENSMUSG00000034107,0.148801986,0.448244477,0.649147959,0.601643319
ENSMUSG00000030701,0.148801986,0.498049419,0.499344584,0.701917205
ENSMUSG00000015355,0.248003311,0.24902471,0.599213501,0.752054148
ENSMUSG00000021448,0.198402649,0.448244477,0.349541209,0.852328035
ENSMUSG00000016150,0.520806952,0.401427832,0.29960675,0.62671179
ENSMUSG00000068154,0.198402649,0.24902471,0.649147959,0.752054148
ENSMUSG00000052496,0.198402649,0.348634593,0.399475667,0.902464978
ENSMUSG00000028661,0.099201324,0.24902471,0.549279042,0.952601921
ENSMUSG00000032946,0.448885992,0.84917426,0.252169015,0.300821659
ENSMUSG00000044199,0.101681357,0.052295189,1.048623626,0.654287109
ENSMUSG00000081564,0.396805297,0.697269187,0.349541209,0.413629782
ENSMUSG00000054934,0.868011587,0.423342006,0.224705063,0.350958603
ENSMUSG00000039717,0.744009932,0.52295189,0.199737834,0.401095546
ENSMUSG00000080999,0.431525761,0.456711317,0.459397017,0.520421471
ENSMUSG00000056529,0.649768674,0.448244477,0.449410125,0.320876437
ENSMUSG00000070167,0.372004966,0.796879071,0.399475667,0.300821659
ENSMUSG00000040247,0.595207946,0.348634593,0.524311813,0.401095546
ENSMUSG00000087993,0.69440927,0.298829651,0.324573979,0.551506375
ENSMUSG00000098751,0.421605628,0.597659303,0.474377355,0.376027074
ENSMUSG00000020681,0.099201324,0.099609884,1.248361459,0.426164017
ENSMUSG00000024922,0.148801986,0.074707413,0.749016876,0.902464978
ENSMUSG00000047798,0.778730396,0.672366716,0.199737834,0.225616244
ENSMUSG00000079410,0.422597641,0.307296492,0.496348516,0.651278892
ENSMUSG00000084997,0.570407615,0.431808846,0.449410125,0.426164017
ENSMUSG00000115094,0.322404304,0.597659303,0.549279042,0.417640737
