ISEID	log10x	emf
1	-9.00011625	8.558784008
1	-6.996850239	8.941667495
1	-5.962362208	13.82426611
1	-4.970695789	32.1609243
1	-3.996123497	56.68302162
1	-3.076334905	85.45835326
2	-9.00011625	-28.38121599
2	-6.996850239	-25.45833251
2	-5.962362208	-20.54573389
2	-4.970695789	-1.579075696
2	-3.996123497	24.77302162
2	-3.076334905	53.86835326
3	-9.00011625	-347.271216
3	-6.996850239	-320.7183325
3	-5.962362208	-298.3557339
3	-4.970695789	-268.2390757
3	-3.996123497	-237.1269784
3	-3.076334905	-204.0416467
