ISEID	SampleID	emf
1	1	25.49
2	1	-7.69
3	1	-284.32
1	2	29.61
2	2	-3.40
3	2	-274.83
1	3	32.19
2	3	3.76
3	3	-283.80
1	4	27.96
2	4	-3.30
3	4	-277.30
1	5	22.39
2	5	-7.56
3	5	-295.17
1	6	36.79
2	6	5.27
3	6	-256.82
1	7	23.75
2	7	-5.46
3	7	-284.20
1	8	10.55
2	8	-18.95
3	8	-296.31
1	9	70.58
2	9	41.59
3	9	-222.14
1	10	20.42
2	10	-11.43
3	10	-289.36
1	11	37.67
2	11	11.64
3	11	-274.11
1	12	24.78
2	12	-4.38
3	12	-285.44
1	13	20.98
2	13	-8.07
3	13	-290.61
1	14	19.39
2	14	-9.02
3	14	-293.82
1	15	21.33
2	15	-6.72
3	15	-295.30
1	16	22.00
2	16	-6.19
3	16	-289.78
1	17	41.23
2	17	16.40
3	17	-273.15
