ISEID	SampleID	emf1	emf2	V.s	V.add	conc.add
1	1	25.49	51.14	25	0.02	0.100
2	1	-7.69	19.31	25	0.02	0.100
3	1	-284.32	-246.38	25	0.02	0.100
1	2	29.61	52.78	25	0.02	0.100
2	2	-3.40	21.52	25	0.02	0.100
3	2	-274.83	-243.84	25	0.02	0.100
1	3	32.19	57.68	25	0.02	0.100
2	3	3.76	28.10	25	0.02	0.100
3	3	-283.80	-241.37	25	0.02	0.100
1	4	27.96	54.15	25	0.02	0.100
2	4	-3.30	23.30	25	0.02	0.100
3	4	-277.30	-243.24	25	0.02	0.100
1	5	22.39	37.95	25	0.25	0.001
2	5	-7.56	8.99	25	0.25	0.001
3	5	-295.17	-266.04	25	0.25	0.001
1	6	36.79	49.69	25	0.02	0.100
2	6	5.27	18.98	25	0.02	0.100
3	6	-256.82	-241.83	25	0.02	0.100
1	7	23.75	36.00	25	0.25	0.001
2	7	-5.46	6.20	25	0.25	0.001
3	7	-284.20	-264.51	25	0.25	0.001
1	8	10.55	30.32	25	0.25	0.001
2	8	-18.95	-0.46	25	0.25	0.001
3	8	-296.31	-267.46	25	0.25	0.001
1	9	70.58	88.78	25	0.25	0.100
2	9	41.59	60.20	25	0.25	0.100
3	9	-222.14	-199.14	25	0.25	0.100
1	10	20.42	34.22	25	0.25	0.001
2	10	-11.43	4.04	25	0.25	0.001
3	10	-289.36	-264.70	25	0.25	0.001
1	11	37.67	49.35	25	0.02	0.100
2	11	11.64	23.23	25	0.02	0.100
3	11	-274.11	-251.80	25	0.02	0.100
1	12	24.78	39.69	25	0.25	0.001
2	12	-4.38	10.95	25	0.25	0.001
3	12	-285.44	-260.25	25	0.25	0.001
1	13	20.98	35.74	25	0.25	0.001
2	13	-8.07	6.51	25	0.25	0.001
3	13	-290.61	-263.50	25	0.25	0.001
1	14	19.39	38.07	25	0.25	0.001
2	14	-9.02	7.72	25	0.25	0.001
3	14	-293.82	-262.97	25	0.25	0.001
1	15	21.33	38.43	25	0.25	0.001
2	15	-6.72	7.72	25	0.25	0.001
3	15	-295.30	-262.97	25	0.25	0.001
1	16	22.00	38.54	25	0.25	0.001
2	16	-6.19	8.85	25	0.25	0.001
3	16	-289.78	-261.89	25	0.25	0.001
1	17	41.23	56.97	25	0.02	0.100
2	17	16.40	31.00	25	0.02	0.100
3	17	-273.15	-244.69	25	0.02	0.100

