Title,Year,Link,Abstract
"Performing parallel monte carlo and moment equations methods for itô and stratonovich stochastic differential systems: R package sim.diffproc",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097089494&doi=10.18637%2fjss.v096.i02&partnerID=40&md5=ed003698720282ddbcb2eff7842d9872","We introduce Sim.DiffProc, an R package for symbolic and numerical computations on scalar and multivariate systems of stochastic differential equations (SDEs). It provides users with a wide range of tools to simulate, estimate, analyze, and visualize the dynamics of these systems in both forms, Itô and Stratonovich. One of Sim.DiffProc key features is to implement the Monte Carlo method for the iterative evaluation and approximation of an interesting quantity at a fixed time on SDEs with parallel computing, on multiple processors on a single machine or a cluster of computers, which is an important tool to improve capacity and speed-up calculations. We also provide an easy-to-use interface for symbolic calculation and numerical approximation of the first and central second-order moments of SDEs (i.e., mean, variance and covariance), by solving a system of ordinary differential equations, which yields insights into the dynamics of stochastic systems. The final result object of Monte Carlo and moment equations can be derived and presented in terms of LATEX math expressions and visualized in terms of LATEX tables. Furthermore, we illustrate various features of the package by proposing a general bivariate nonlinear dynamic system of Haken-Zwanzig, driven by additive, linear and nonlinear multiplicative noises. In addition, we consider the particular case of a scalar SDE driven by three independent Wiener processes. The Monte Carlo simulation thereof is obtained through a transformation to a system of three equations. We also study some important applications of SDEs in different fields. © 2020, American Statistical Association. All rights reserved."
"Localcontrol: An R package for comparative safety and effectiveness research",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097082876&doi=10.18637%2fjss.v096.i04&partnerID=40&md5=c5cdfa75c60d270c6442db97dfddf9c8","The LocalControl R package implements novel approaches to address biases and con-founding when comparing treatments or exposures in observational studies of outcomes. While designed and appropriate for use in comparative safety and effectiveness research involving medicine and the life sciences, the package can be used in other situations involving outcomes with multiple confounders. LocalControl is an open-source tool for researchers whose aim is to generate high quality evidence using observational data. The package implements a family of methods for non-parametric bias correction when comparing treatments in observational studies, including survival analysis settings, where competing risks and/or censoring may be present. The approach extends to bias-corrected personalized predictions of treatment outcome differences, and analysis of heterogeneity of treatment effect-sizes across patient subgroups. © 2020, American Statistical Association. All rights reserved."
"Generating optimal designs for discrete choice experiments in R: The idefix package",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097081818&doi=10.18637%2fjss.v096.i03&partnerID=40&md5=b2ed988066e5627f9d9c34a658e0205b","Discrete choice experiments are widely used in a broad area of research fields to capture the preference structure of respondents. The design of such experiments will determine to a large extent the accuracy with which the preference parameters can be estimated. This paper presents a new R package, called idefix, which enables users to generate optimal designs for discrete choice experiments. Besides Bayesian D-efficient designs for the multinomial logit model, the package includes functions to generate Bayesian adaptive designs which can be used to gather data for the mixed logit model. In addition, the package provides the necessary tools to set up actual surveys and collect empirical data. After data collection, idefix can be used to transform the data into the necessary format in order to use existing estimation software in R. © 2020, American Statistical Association. All rights reserved."
"Generalized network autoregressive processes and the gnar package",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097058983&doi=10.18637%2fjss.v096.i05&partnerID=40&md5=307f71e122c5521f982104543e380f12","This article introduces the GNAR package, which fits, predicts, and simulates from a powerful new class of generalized network autoregressive processes. Such processes consist of a multivariate time series along with a real, or inferred, network that provides information about inter-variable relationships. The GNAR model relates values of a time series for a given variable and time to earlier values of the same variable and of neighboring variables, with inclusion controlled by the network structure. The GNAR package is designed to fit this new model, while working with standard ‘ts’ objects and the igraph package for ease of use. © 2020, American Statistical Association. All rights reserved."
"Colorspace: A toolbox for manipulating and assessing colors and palettes",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097057043&doi=10.18637%2fjss.v096.i01&partnerID=40&md5=f4c6fd5363d9adac9cdcb2df998a3b23","The R package colorspace provides a flexible toolbox for selecting individual colors or color palettes, manipulating these colors, and employing them in statistical graphics and data visualizations. In particular, the package provides a broad range of color palettes based on the HCL (hue-chroma-luminance) color space. The three HCL dimensions have been shown to match those of the human visual system very well, thus facilitating intu-itive selection of color palettes through trajectories in this space. Using the HCL color model, general strategies for three types of palettes are implemented: (1) Qualitative for coding categorical information, i.e., where no particular ordering of categories is available. (2) Sequential for coding ordered/numeric information, i.e., going from high to low (or vice versa). (3) Diverging for coding ordered/numeric information around a central neutral value, i.e., where colors diverge from neutral to two extremes. To aid selection and application of these palettes, the package also contains scales for use with ggplot2, shiny and tcltk apps for interactive exploration, visualizations of palette properties, accompany-ing manipulation utilities (like desaturation and lighten/darken), and emulation of color vision deficiencies. The shiny apps are also hosted online at http://hclwizard.org/. © 2020, American Statistical Association. All rights reserved."
"Assoctests: An R package for genetic association studies",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087402051&doi=10.18637%2fjss.v094.i05&partnerID=40&md5=9ac26510bf26244ad032e5d13f11c5e4","The R package AssocTests provides some procedures which are commonly used in genetic association studies. These procedures are population stratification correction through eigenvectors, principal coordinates of clusterings, Tracy-Widom test, distance regression, single-marker test, maximum test based on three Cochran-Armitage trend tests, non-parametric trend test, and non-parametric maximum test. The trait values for these methods should be discrete or continuous. The discrete traits can be coded by 1/0 for cases/controls. The genotype values can be 0, 1, or 2 indicating the number of risk alleles for a biallelic single-nucleotide polymorphism. This article introduces the methods and algorithms implemented in the package. Some examples are provided to illustrate the package’s capability. © 2020, American Statistical Association. All rights reserved."
"Bess: An R package for best subset selection in linear, logistic and cox proportional hazards models",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087380644&doi=10.18637%2fjss.v094.i04&partnerID=40&md5=00ea829238383908d71a0e5cdab93ec5","We introduce a new R package, BeSS, for solving the best subset selection problem in linear, logistic and Cox’s proportional hazard (CoxPH) models. It utilizes a highly efficient active set algorithm based on primal and dual variables, and supports sequential and golden search strategies for best subset selection. We provide a C++ implementation of the algorithm using an Rcpp interface. We demonstrate through numerical experiments based on enormous simulation and real datasets that the new BeSS package has competitive performance compared to other R packages for best subset selection purposes. © 2020, American Statistical Association. All rights reserved."
"Bayesnetbp: An R package for probabilistic reasoning in Bayesian networks",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087363785&doi=10.18637%2fjss.v094.i03&partnerID=40&md5=48adb989b17e5241e8feae7ce8769936","The BayesNetBP package has been developed for probabilistic reasoning and visualization in Bayesian networks with nodes that are purely discrete, continuous or mixed (discrete and continuous). Probabilistic reasoning enables a user to absorb information into a Bayesian network and make queries about how the probabilities within the network change in light of new information. The package was developed in the R programming language and is freely available from the Comprehensive R Archive Network. A shiny app with Cytoscape widgets provides an interactive interface for evidence absorption, queries, and visualizations. © 2020, American Statistical Association. All rights reserved."
"Fastnet: An r package for fast simulation and analysis of large-scale social networks",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097680777&doi=10.18637%2fjss.v096.i07&partnerID=40&md5=96037c9296c7b67d9163c0b2e3489bcb","Traditional tools and software for social network analysis are seldom scalable and/or fast. This paper provides an overview of an R package called fastnet, a tool for scaling and speeding up the simulation and analysis of large-scale social networks. fastnet uses multi-core processing and sub-graph sampling algorithms to achieve the desired scale-up and speed-up. Simple examples, usages, and comparisons of scale-up and speed-up as compared to other R packages, i.e., igraph and statnet, are presented. © 2020, American Statistical Association. All rights reserved."
"Continuous ordinal regression for analysis of visual analogue scales: The r package ordinalcont",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097665151&doi=10.18637%2fjss.v096.i08&partnerID=40&md5=4121f89d43b6749d12ba8ab76a80e846","This paper introduces the R package ordinalCont, which implements an ordinal regression framework for response variables which are recorded on a visual analogue scale (VAS). This scale is used when recording subjects’ perception of an intangible quantity such as pain, anxiety or quality of life, and consists of a mark made on a linear scale. We implement continuous ordinal regression models for VAS as the appropriate method of analysis for such responses, and introduce smoothing terms and random effects in the linear predictor. The model parameters are estimated using constrained optimization of the penalized likelihood and the penalty parameters are automatically selected via max-imization of their marginal likelihood. The estimation algorithm is shown to perform well, in a simulation study. Two examples of application are given: the first involves the analysis of pain outcomes in a clinical trial for laser treatment for chronic neck pain; the second is an analysis of quality of life outcomes in a clinical trial for chemotherapy for the treatment of breast cancer. © 2020, American Statistical Association. All rights reserved."
"Wilcoxon rank-based tests for clustered data with r package clusrank",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097663798&doi=10.18637%2fjss.v096.i06&partnerID=40&md5=6c89cb2f4bf46f74c6f40a22a8a5e505","Wilcoxon rank-based tests are distribution-free alternatives to the popular two-sample and paired t tests. For independent data, they are available in several R packages such as stats and coin. For clustered data, in spite of the recent methodological developments, there did not exist an R package that makes them available at one place. We present a package clusrank where the latest developments are implemented and wrapped under a unified user-friendly interface. With different methods dispatched based on the inputs, this package offers great flexibility in rank-based tests for various clustered data. Exact tests based on permutations are also provided for some methods. Details of the major schools of different methods are briefly reviewed. Usages of the package clusrank are illustrated with simulated data as well as a real dataset from an ophthalmological study. The package also enables convenient comparison between selected methods under settings that have not been studied before and the results are discussed. © 2020, American Statistical Association. All rights reserved."
"Using gnu make to manage the workflow of data analysis projects",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093895699&doi=10.18637%2fjss.v094.c01&partnerID=40&md5=b338d397b172cb1ddd80112a65d78f70","Data analysis projects invariably involve a series of steps such as reading, cleaning, summarizing and plotting data, statistical analysis and reporting. To facilitate reproducible research, rather than employing a relatively ad-hoc point-and-click cut-and-paste approach, we typically break down these tasks into manageable chunks by employing separate files of statistical, programming or text processing syntax for each step including the final report. Real world data analysis often requires an iterative process because many of these steps may need to be repeated any number of times. Manually repeating these steps is problematic in that some necessary steps may be left out or some reported results may not be for the most recent data set or syntax. GNU Make may be used to automate the mundane task of regenerating output given dependencies between syntax and data files. In addition to facilitating the management of and documenting the workflow of a complex data analysis project, such automation can help minimize errors and make the project more reproducible. It is relatively simple to construct Makefiles for small data analysis projects. As projects increase in size, difficulties arise because GNU Make does not have inbuilt rules for statistical and related software. Without such rules, Makefiles can become unwieldy and error-prone. This article addresses these issues by providing GNU Make pattern rules for R, Sweave, rmarkdown, SAS, Stata, Perl and Python to streamline management of data analysis and reporting projects. Rules are used by adding a single line to project Makefiles. Additional flexibility is incorporated for modifying standard program options. An overall strategy is outlined for Makefile construction and illustrated via simple and complex examples. © 2020, American Statistical Association. All rights reserved."
"Streamingbandit: Experimenting with bandit policies",2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093878460&doi=10.18637%2fjss.v094.i09&partnerID=40&md5=01e8b5a7d5029f1d5042066df8efd746","A large number of statistical decision problems in the social sciences and beyond can be framed as a (contextual) multi-armed bandit problem. However, it is notoriously hard to develop and evaluate policies that tackle these types of problems, and to use such policies in applied studies. To address this issue, this paper introduces StreamingBandit, a Python web application for developing and testing bandit policies in field studies. StreamingBandit can sequentially select treatments using (online) policies in real time. Once StreamingBandit is implemented in an applied context, different policies can be tested, altered, nested, and compared. StreamingBandit makes it easy to apply a multitude of bandit policies for sequential allocation in field experiments, and allows for the quick development and re-use of novel policies. In this article, we detail the implementation logic of StreamingBandit and provide several examples of its use. © 2020, American Statistical Association. All rights reserved."
