Subject;ExpCond;Yee;Yeu;Yen;Yue;Yuu;Yun;Yne;Ynu;Ynn
110;1;6;12;5;2;18;5;0;2;14
138;1;11;8;6;3;16;4;2;2;12
141;1;9;10;7;1;16;5;2;1;13
149;1;10;9;4;0;19;6;0;0;16
102;1;12;4;8;5;11;8;0;0;16
105;1;14;2;5;1;19;7;2;0;14
106;1;11;5;7;6;14;5;3;1;12
114;1;14;4;5;3;16;6;0;0;16
117;1;10;2;9;1;14;12;0;0;16
121;1;14;4;5;8;14;3;4;1;11
129;1;12;8;2;7;14;5;1;2;13
130;1;13;6;6;4;13;6;2;1;13
133;1;14;4;8;3;9;10;0;0;16
134;1;7;10;7;10;11;3;2;2;12
137;1;17;6;2;2;18;3;1;0;15
145;1;17;2;7;3;16;3;1;2;13
146;1;16;3;7;1;18;3;1;0;15
101;1;22;0;2;8;14;2;7;1;8
109;1;14;2;11;4;8;9;1;1;14
113;1;13;2;6;8;7;12;1;1;14
118;1;18;3;5;6;13;3;2;0;14
122;1;16;1;7;5;15;4;2;0;14
125;1;16;1;4;8;9;10;0;0;16
126;1;19;1;6;13;5;4;3;1;12
108;2;10;11;3;4;18;2;5;4;7
127;2;5;4;11;1;12;15;0;1;15
128;2;3;12;8;1;14;10;2;3;11
131;2;1;11;8;2;13;13;0;2;14
104;2;5;7;13;7;5;11;0;3;13
112;2;5;6;11;8;7;11;3;1;12
132;2;12;3;9;6;8;10;2;4;10
135;2;6;5;13;7;5;12;4;2;10
143;2;9;8;7;11;5;8;3;6;7
103;2;21;2;0;21;2;2;14;0;2
107;2;11;1;14;7;0;15;3;0;13
111;2;9;3;13;5;6;12;2;1;13
115;2;9;6;9;11;5;8;8;4;4
116;2;11;4;14;8;4;7;2;0;14
119;2;7;5;9;10;6;11;7;1;8
120;2;9;3;9;9;7;11;8;0;8
123;2;16;5;3;21;0;3;11;2;3
124;2;16;1;6;18;1;6;12;0;4
136;2;19;2;1;21;1;4;14;0;2
139;2;15;2;10;6;4;11;5;0;11
140;2;18;0;6;18;0;6;9;0;7
144;2;14;0;6;19;0;9;11;0;5
147;2;16;3;4;13;8;4;6;3;7
148;2;18;1;5;13;2;9;6;1;9
