WM_EX,PM1,Yes1,No1,PM2,Yes2,No2,PM3,Yes3,No3,PM4,Yes4,No4
1,5,3,0,8,0,0,0,114,2,0,0,116
1,5,3,0,6,2,0,0,115,1,0,5,111
1,1,7,0,3,0,5,1,108,7,2,7,107
1,8,0,0,7,0,1,0,111,5,0,4,112
1,4,4,0,1,1,6,1,110,5,2,10,104
1,2,6,0,0,0,8,0,115,1,0,2,114
1,4,4,0,2,0,6,2,111,3,2,7,107
1,6,2,0,5,0,3,0,113,3,0,1,115
1,6,2,0,7,0,1,0,116,0,0,3,113
1,0,8,0,0,0,8,3,109,4,1,4,111
1,0,6,2,0,0,8,0,114,2,0,3,113
1,4,4,0,4,0,4,5,108,3,3,1,112
1,0,7,1,0,0,8,2,112,2,2,1,113
1,3,5,0,4,1,3,2,107,7,3,7,106
1,0,7,1,0,1,7,1,114,1,3,9,104
1,5,3,0,8,0,0,1,110,5,0,0,116
1,3,5,0,0,2,6,0,106,10,0,11,105
1,0,8,0,0,0,8,0,114,2,0,2,114
1,8,0,0,8,0,0,1,108,7,0,2,114
1,0,8,0,0,1,7,2,112,2,0,12,104
1,4,4,0,6,0,2,1,101,14,1,2,113
1,0,8,0,0,2,6,0,115,1,0,2,114
1,3,5,0,4,0,4,1,113,2,1,2,113
1,0,8,0,0,0,8,0,115,1,0,3,113
1,7,0,1,6,0,2,0,115,1,1,0,115
1,8,0,0,8,0,0,1,110,5,3,0,113
1,0,7,1,0,0,8,2,110,4,3,1,112
1,3,5,0,4,0,4,2,111,3,1,2,113
1,6,2,0,6,0,2,0,112,4,0,1,115
1,6,2,0,7,0,1,0,115,1,0,2,114
1,4,4,0,3,0,5,0,114,2,0,4,112
1,6,2,0,8,0,0,2,114,0,0,1,115
1,2,6,0,5,0,3,0,115,1,0,16,100
1,3,5,0,4,0,4,0,115,1,4,0,112
1,0,8,0,0,1,7,0,116,0,0,3,113
1,4,4,0,3,0,5,0,114,2,0,0,116
1,4,4,0,3,0,5,0,111,5,0,2,114
1,3,5,0,3,0,5,1,100,15,0,5,111
1,3,5,0,3,0,5,1,111,4,0,1,115
1,6,2,0,6,1,1,1,113,2,0,4,112
1,1,7,0,2,0,6,2,108,6,2,3,111
1,4,4,0,6,0,2,1,110,5,1,6,109
1,2,6,0,2,0,6,0,112,4,0,1,115
1,5,3,0,8,0,0,0,114,2,0,5,111
1,7,1,0,8,0,0,0,115,1,0,0,116
1,2,5,1,4,0,4,2,104,10,4,3,109
1,0,7,1,0,0,8,0,113,3,1,1,114
1,2,6,0,4,0,4,0,115,1,0,0,116
1,4,4,0,7,0,1,0,115,1,0,2,114
1,7,1,0,8,0,0,0,116,0,0,11,105
1,2,6,0,4,0,4,2,110,4,3,0,113
1,4,4,0,7,0,1,2,113,1,2,2,112
1,0,8,0,1,0,7,0,114,2,2,12,102
1,5,3,0,7,0,1,0,108,8,0,5,111
1,0,8,0,0,1,7,0,115,1,0,3,113
1,6,2,0,5,0,3,0,113,3,0,0,116
1,4,3,1,5,0,3,1,103,12,2,8,106
1,3,5,0,3,0,5,0,110,6,0,3,113
1,5,3,0,6,0,2,1,111,4,0,4,112
1,1,6,1,3,1,4,0,109,7,0,11,105
1,8,0,0,8,0,0,0,109,7,2,1,113
1,6,2,0,1,0,7,0,115,1,0,3,113
1,0,8,0,0,1,7,1,115,0,2,10,104
1,0,8,0,0,1,7,1,113,2,2,4,110
1,5,3,0,5,0,3,1,110,5,1,4,111
1,4,3,1,4,0,4,0,112,4,0,6,110
1,6,2,0,8,0,0,0,116,0,0,0,116
1,6,2,0,8,0,0,0,114,2,0,1,115
1,7,1,0,5,0,3,1,114,1,0,2,114
1,7,1,0,8,0,0,0,115,1,0,4,112
1,4,4,0,6,1,1,0,112,4,0,1,115
1,0,8,0,0,0,8,1,115,0,2,3,111
1,4,4,0,4,0,4,2,114,0,2,0,114
1,7,1,0,8,0,0,2,114,0,1,0,115
1,5,2,1,5,0,3,0,108,8,0,1,115
1,4,4,0,8,0,0,0,114,2,0,3,113
1,5,3,0,6,2,0,1,111,4,2,5,109
1,0,8,0,0,0,8,0,116,0,0,17,99
1,6,2,0,7,0,1,0,109,7,0,0,116
1,7,1,0,6,0,2,0,115,1,1,1,114
1,0,8,0,0,2,6,0,114,2,0,6,110
1,8,0,0,7,0,1,0,116,0,0,3,113
1,3,5,0,4,0,4,1,114,1,2,8,106
1,7,0,1,8,0,0,1,112,3,0,4,112
1,2,6,0,2,0,6,0,115,1,0,0,116
1,4,4,0,4,0,4,0,112,4,0,1,115
1,1,7,0,4,0,4,0,106,10,1,11,104
1,3,5,0,5,0,3,0,114,2,0,1,115
1,4,4,0,7,0,1,0,115,1,0,0,116
1,4,4,0,4,0,4,3,113,0,1,0,115
1,8,0,0,8,0,0,0,110,6,1,2,113
1,3,5,0,4,0,4,0,115,1,0,5,111
1,7,1,0,6,0,2,0,114,2,0,1,115
1,5,3,0,6,0,2,1,113,2,1,7,108
1,7,1,0,7,0,1,4,111,1,0,0,116
1,3,5,0,3,0,5,1,112,3,1,12,103
1,5,3,0,4,0,4,0,115,1,0,2,114
1,7,1,0,7,0,1,0,116,0,0,3,113
1,4,4,0,6,0,2,0,115,1,0,3,113
1,3,5,0,4,0,4,1,106,9,0,1,115
1,7,1,0,7,0,1,0,114,2,0,0,116
1,5,3,0,0,0,8,0,114,2,0,1,115
1,0,8,0,0,0,8,2,105,9,1,3,112
1,5,3,0,5,0,3,1,98,17,1,4,111
1,6,2,0,8,0,0,0,82,34,1,6,109
1,7,1,0,0,0,8,3,112,1,0,0,116
1,4,3,1,3,1,4,1,112,3,0,6,110
1,7,1,0,6,0,2,1,110,5,0,2,114
1,8,0,0,7,0,1,0,116,0,1,0,115
1,7,1,0,7,0,1,0,115,1,0,0,116
1,5,3,0,7,0,1,0,111,5,0,3,113
1,8,0,0,8,0,0,1,115,0,0,2,114
2,3,4,1,2,0,6,0,104,12,0,3,113
2,7,1,0,6,0,2,0,110,6,0,2,114
2,0,8,0,8,0,0,0,113,3,2,0,114
2,7,1,0,7,0,1,0,111,5,0,3,113
2,8,0,0,6,0,2,0,115,1,0,2,114
2,4,4,0,6,0,2,0,116,0,0,0,116
2,6,2,0,5,1,2,0,114,2,0,4,112
2,8,0,0,6,0,2,2,112,2,2,2,112
2,6,2,0,7,0,1,0,114,2,0,2,114
2,6,2,0,8,0,0,0,115,1,0,3,113
2,4,4,0,4,0,4,3,108,5,2,4,110
2,7,1,0,7,0,1,0,115,1,0,0,116
2,7,1,0,5,0,3,1,113,2,0,2,114
2,8,0,0,6,1,1,0,113,3,0,6,110
2,5,3,0,3,0,5,2,107,7,1,0,115
2,4,4,0,7,0,1,2,114,0,2,0,114
2,0,8,0,0,0,8,1,110,5,1,6,109
2,5,3,0,4,0,4,0,115,1,0,3,113
2,8,0,0,7,0,1,1,115,0,2,0,114
2,4,2,2,4,0,4,1,114,1,2,2,112
2,7,1,0,8,0,0,0,115,1,0,0,116
2,6,2,0,4,0,4,2,108,6,1,1,114
2,7,1,0,6,0,2,0,110,6,0,4,112
2,0,7,1,0,0,8,2,113,1,2,5,109
2,5,3,0,7,0,1,0,115,1,0,2,114
2,5,3,0,5,0,3,0,115,1,0,0,116
2,0,8,0,0,0,8,2,112,2,2,0,114
2,0,8,0,0,0,8,0,113,3,0,5,111
2,7,1,0,7,0,1,0,109,7,0,1,115
2,0,8,0,0,0,8,1,114,1,2,3,111
2,8,0,0,0,0,8,1,107,8,0,2,114
2,4,4,0,4,2,2,0,109,7,0,5,111
2,6,2,0,3,0,5,0,114,2,0,1,115
2,7,1,0,6,0,2,0,115,1,0,0,116
2,6,2,0,7,0,1,0,115,1,0,0,116
2,6,2,0,8,0,0,0,115,1,0,0,116
2,4,4,0,6,0,2,0,115,1,0,6,110
2,2,5,1,2,0,6,1,102,13,5,5,106
2,0,8,0,0,0,8,1,113,2,2,0,114
2,6,2,0,5,0,3,1,115,0,0,0,116
2,1,7,0,0,1,7,4,108,4,0,7,109
2,0,8,0,1,0,7,0,111,5,0,2,114
2,4,4,0,8,0,0,1,110,5,0,3,113
2,8,0,0,7,0,1,1,111,4,3,1,112
2,7,1,0,8,0,0,0,109,7,1,0,115
2,5,3,0,6,0,2,1,111,4,1,18,97
2,5,3,0,8,0,0,0,116,0,0,1,115
2,3,5,0,3,1,4,1,110,5,2,2,112
2,6,2,0,8,0,0,0,114,2,0,1,115
2,8,0,0,6,0,2,1,114,1,0,0,116
2,8,0,0,8,0,0,0,113,3,0,0,116
2,6,2,0,6,0,2,2,111,3,0,0,116
2,7,1,0,4,0,4,0,115,1,0,9,107
2,0,8,0,0,0,8,2,114,0,2,0,114
2,2,5,1,3,0,5,2,111,3,3,3,110
2,6,2,0,8,0,0,0,116,0,0,0,116
2,3,5,0,6,0,2,1,108,7,0,1,115
2,6,2,0,6,1,1,0,113,3,2,2,112
2,7,1,0,6,0,2,0,116,0,1,6,109
2,6,2,0,5,0,3,1,114,1,1,0,115
2,5,3,0,7,0,1,0,113,3,0,3,113
2,7,1,0,6,0,2,0,113,3,0,2,114
2,7,1,0,8,0,0,0,115,1,0,0,116
2,3,5,0,2,0,6,4,107,5,4,5,107
2,0,8,0,0,0,8,4,111,1,5,0,111
2,7,1,0,8,0,0,0,112,4,0,2,114
2,7,1,0,6,0,2,0,104,12,0,0,116
2,5,3,0,7,0,1,0,112,4,0,1,115
2,2,6,0,2,2,4,5,101,10,1,2,113
2,7,1,0,3,0,5,1,113,2,0,3,113
2,3,5,0,6,1,1,1,112,3,0,5,111
2,6,2,0,8,0,0,0,112,4,0,5,111
2,0,8,0,1,1,6,0,115,1,1,8,107
2,2,6,0,4,0,4,2,112,2,5,1,110
2,8,0,0,7,0,1,0,116,0,0,0,116
2,6,2,0,7,0,1,0,112,4,0,1,115
2,6,2,0,7,0,1,0,114,2,0,1,115
2,0,8,0,0,0,8,0,116,0,1,2,113
2,4,4,0,4,0,4,0,114,2,2,2,112
2,5,3,0,7,0,1,0,114,2,0,0,116
2,7,1,0,8,0,0,2,108,6,1,3,112
2,4,4,0,7,0,1,2,111,3,2,1,113
2,5,3,0,8,0,0,0,113,3,0,5,111
2,6,2,0,4,0,4,1,111,4,2,1,113
2,5,3,0,4,0,4,2,104,10,2,3,111
2,4,4,0,7,0,1,2,112,2,2,1,113
2,4,4,0,5,0,3,1,111,4,3,1,112
2,0,8,0,0,0,8,3,113,0,4,3,109
2,7,1,0,8,0,0,2,101,13,1,5,110
2,2,6,0,2,1,5,3,112,1,4,11,101
2,4,4,0,4,0,4,3,111,2,6,0,110
2,5,3,0,8,0,0,0,115,1,0,1,115
2,7,1,0,6,0,2,0,109,7,0,1,115
2,6,2,0,8,0,0,0,115,1,0,1,115
2,0,8,0,2,0,6,4,108,4,5,2,109
2,0,7,1,2,0,6,0,109,7,0,2,114
2,6,2,0,8,0,0,1,112,3,1,0,115
2,5,3,0,6,0,2,0,112,4,1,0,115
2,4,4,0,4,0,4,3,111,2,3,3,110
2,7,1,0,7,0,1,0,115,1,0,2,114
2,5,3,0,5,0,3,1,114,1,0,6,110
2,6,2,0,7,0,1,0,114,2,0,1,115
2,0,8,0,0,0,8,2,110,4,3,0,113
2,0,8,0,0,0,8,1,108,7,0,8,108
2,7,1,0,7,0,1,0,116,0,0,0,116
2,8,0,0,8,0,0,0,114,2,0,0,116
2,6,2,0,6,0,2,1,113,2,1,6,109
2,6,2,0,7,0,1,1,110,5,2,2,112
2,6,1,1,7,0,1,2,104,10,0,0,116
2,4,4,0,3,1,4,1,112,3,1,17,98
