LEVEL	TAXA	ROLLUP	ASSIGNED	LINEAR_LENGTH	TOTAL_BP_MAPPED	HIT_COUNT	HIT_COUNT_PLASMID	READ_COUNT	LINEAR_DOC	NORM_COV	ROLLUP_DOC
phylum	Firmicutes	0.3847		11694886	32520486	874039	35712	618989	2.78074416458613	0.0825501130034162	42.6322332506071
phylum	Proteobacteria	0.3521		4464894	17879615	482413	43784	383181	4.00448812446611	0.118878590632489	39.0190340886114
phylum	Deinococcus-Thermus	0.1529		2625793	45932389	1191187	198864	1024649	17.492768470325	0.519296248953144	16.9424878009736
phylum	Actinobacteria	0.0565		1326341	3534391	93024	149	81897	2.66476795937093	0.079107204098617	6.25863430146581
phylum	Bacteroidetes	0.0443		4637981	23501531	619794	0	433562	5.06719001220574	0.150426318769107	4.91235795588154
phylum	Euryarchaeota	0.0096		1103540	1849058	49371	0	33204	1.67556953078275	0.0497415245432274	1.06054555872479
class	Bacilli	0.3688		7695437	23552442	633665	35712	455719	3.06057238854662	0.0678981331618404	40.8770327999878
class	Gammaproteobacteria	0.2244		2552616	14000020	378767	27204	292395	5.48457739041047	0.121674157221077	24.8724151697047
class	Deinococci	0.1529		2625793	45932389	1191187	198864	1024649	17.492768470325	0.388073266102811	16.9424878009736
class	Betaproteobacteria	0.0707		229476	765426	20477	0	15784	3.33553835695236	0.0739981934014394	7.83771977312463
class	Actinobacteria	0.0565		1326341	3534391	93024	149	81897	2.66476795937093	0.0591172979367736	6.25863430146581
class	Bacteroidia	0.0443		4637981	23501531	619794	0	433562	5.06719001220574	0.112414508963297	4.91235795588154
class	Epsilonproteobacteria	0.0426		260125	593266	17236	298	16178	2.28069581931764	0.0505967409956338	4.71655183837242
class	Clostridia	0.0158		3999449	8968044	240374	0	163270	2.24231987956341	0.0497453791139825	1.75520045061928
class	Alphaproteobacteria	0.0144		1422677	2520903	65933	16282	58824	1.77194331531331	0.0393101772820701	1.59234730740971
class	Methanobacteria	0.0096		1103540	1849058	49371	0	33204	1.67556953078275	0.0371721458210747	1.06054555872479
order	Pseudomonadales	0.1918		2426478	13792164	373244	27183	288308	5.68402598333881	0.113922461483035	21.2617135191606
order	Lactobacillales	0.1881		3617827	8185072	219806	0	159061	2.26242769485661	0.0453448546296152	20.849600110137
order	Bacillales	0.1807		4077610	15367370	413859	35712	296658	3.76871991190918	0.0755348146302148	20.0274326898508
order	Deinococcales	0.1529		2625793	45932389	1191187	198864	1024649	17.492768470325	0.350599952944209	16.9424878009736
order	Neisseriales	0.0707		229476	765426	20477	0	15784	3.33553835695236	0.0668527450629076	7.83771977312463
order	Propionibacteriales	0.0565		1326341	3534391	93024	149	81897	2.66476795937093	0.0534087856217609	6.25863430146581
order	Bacteroidales	0.0443		4637981	23501531	619794	0	433562	5.06719001220574	0.101559486301581	4.91235795588154
order	Campylobacterales	0.0426		260125	593266	17236	298	16178	2.28069581931764	0.0457109947055718	4.71655183837242
order	Enterobacteriales	0.0326		126138	207856	5523	21	4087	1.64784600992564	0.0330270611263912	3.6107016505441
order	Clostridiales	0.0158		3999449	8968044	240374	0	163270	2.24231987956341	0.0449418424301703	1.75520045061928
order	Rhodobacterales	0.0144		1422677	2520903	65933	16282	58824	1.77194331531331	0.0355142894632454	1.59234730740971
order	Methanobacteriales	0.0096		1103540	1849058	49371	0	33204	1.67556953078275	0.033582711601297	1.06054555872479
family	Moraxellaceae	0.1895		1918433	13213782	358196	27183	275103	6.88779957392309	0.116237724733677	21.003438804493
family	Streptococcaceae	0.1761		1796960	4859936	131338	0	97981	2.70453209865551	0.0456413770817461	19.5140721382749
family	Deinococcaceae	0.1529		2625793	45932389	1191187	198864	1024649	17.492768470325	0.295205977534777	16.9424878009736
family	Staphylococcaceae	0.1404		3188885	13780848	370495	34915	261969	4.32152554889875	0.0729295752280925	15.559383827428
family	Neisseriaceae	0.0707		229476	765426	20477	0	15784	3.33553835695236	0.0562901671590336	7.83771977312463
family	Propionibacteriaceae	0.0565		1326341	3534391	93024	149	81897	2.66476795937093	0.0449703219752747	6.25863430146581
family	Bacteroidaceae	0.0443		4637981	23501531	619794	0	433562	5.06719001220574	0.0855133241742303	4.91235795588154
family	Helicobacteraceae	0.0426		260125	593266	17236	298	16178	2.28069581931764	0.038488764082329	4.71655183837242
family	Listeriaceae	0.0357		721629	1379240	37780	0	30557	1.91128682467029	0.0322546597688806	3.95160915936399
family	Enterobacteriaceae	0.0326		126138	207856	5523	21	4087	1.64784600992564	0.0278088624457648	3.6107016505441
family	Clostridiaceae	0.0158		3999449	8968044	240374	0	163270	2.24231987956341	0.0378411360737505	1.75520045061928
