LEVEL	TAXA	ROLLUP	ASSIGNED	LINEAR_LENGTH	TOTAL_BP_MAPPED	HIT_COUNT	HIT_COUNT_PLASMID	READ_COUNT	LINEAR_DOC	NORM_COV	ROLLUP_DOC
phylum	dsDNA viruses, no RNA stage	0.8797		30966	141974	3821	0	2931	4.58483498030098	0.444893059577652	6.96290517236273
phylum	ssDNA viruses	0.0987		3615	4452	118	0	95	1.23153526970954	0.119502991159542	0.780845596096651
phylum	Unassigned phylum - Unassigned class - Unassigned order - Unassigned family - Unassigned genus - Enterobacteria phage YYZ-2008	0.0188		803	1192	31	0	25	1.48443337484433	0.144043157215294	0.148944145945271
phylum	Unassigned phylum - Unassigned class - Unassigned order - Unassigned family - Unassigned genus - Streptococcus phage 20617	0.0028		214	643	19	0	19	3.00467289719626	0.291560792047512	0.0223248385528783
class	Unassigned class - Caudovirales	0.8797		30966	141974	3821	0	2931	4.58483498030098	0.39782145539946	6.96290517236273
class	Unassigned class - Unassigned order - Microviridae	0.0715		2301	2871	76	0	55	1.2477183833116	0.108263251635089	0.565714285714286
class	Unassigned class - Unassigned order - Inoviridae	0.0272		1314	1581	42	0	40	1.20319634703196	0.104400119952877	0.215131310382365
class	Unassigned class - Unassigned order - Unassigned family - Unassigned genus - Enterobacteria phage YYZ-2008	0.0188		803	1192	31	0	25	1.48443337484433	0.128802770036739	0.148944145945271
class	Unassigned class - Unassigned order - Unassigned family - Unassigned genus - Streptococcus phage 20617	0.0028		214	643	19	0	19	3.00467289719626	0.260712402975834	0.0223248385528783
order	Caudovirales	0.8797		30966	141974	3821	0	2931	4.58483498030098	0.39782145539946	6.96290517236273
order	Unassigned order - Microviridae	0.0715		2301	2871	76	0	55	1.2477183833116	0.108263251635089	0.565714285714286
order	Unassigned order - Inoviridae	0.0272		1314	1581	42	0	40	1.20319634703196	0.104400119952877	0.215131310382365
order	Unassigned order - Unassigned family - Unassigned genus - Enterobacteria phage YYZ-2008	0.0188		803	1192	31	0	25	1.48443337484433	0.128802770036739	0.148944145945271
order	Unassigned order - Unassigned family - Unassigned genus - Streptococcus phage 20617	0.0028		214	643	19	0	19	3.00467289719626	0.260712402975834	0.0223248385528783
family	Siphoviridae	0.5434		10259	22259	609	0	467	2.16970464957598	0.104222446216217	4.30074401321873
family	Podoviridae	0.3203		18957	109317	2944	0	2253	5.76657699003007	0.276999341966907	2.5348421252355
family	Microviridae	0.0715		2301	2871	76	0	55	1.2477183833116	0.0599345455258588	0.565714285714286
family	Inoviridae	0.0272		1314	1581	42	0	40	1.20319634703196	0.0577959154904306	0.215131310382365
family	Unassigned family - Unassigned genus - Enterobacteria phage YYZ-2008	0.0188		803	1192	31	0	25	1.48443337484433	0.0713052247002863	0.148944145945271
family	Myoviridae	0.0161		1750	10398	268	0	211	5.94171428571429	0.285412117126636	0.127319033908497
family	Unassigned family - Unassigned genus - Streptococcus phage 20617	0.0028		214	643	19	0	19	3.00467289719626	0.144330408973665	0.0223248385528783
genus	Unassigned genus - Acinetobacter phage Bphi-B1251	0.2992		16943	105676	2847	0	2183	6.23714808475477	0.12470848786063	2.36787738914159
