LEVEL	NAME	ROLLUP	ASSIGN	TAXID	REL_ABU
superkingdom	Bacteria	2442408	342074	2	0.3079
superkingdom	Archaea	132827	100	2157	0.0167
superkingdom	Viruses	927	130	10239	0.0001
phylum	Firmicutes	1463262	161327	1239	0.1845
phylum	Proteobacteria	624460	34806	1224	0.0787
phylum	Euryarchaeota	132727	1138	28890	0.0167
phylum	Actinobacteria	6063	24	201174	0.0008
phylum	Deinococcus-Thermus	5684	0	1297	0.0007
phylum	Caudovirales - no_c_rank - no_p_rank	802	0	0	0.0001
phylum	Bacteroidetes	798	20	976	0.0001
phylum	Fusobacteria	16	0	32066	0.0000
phylum	Synergistetes	6	0	508458	0.0000
phylum	Tenericutes	6	0	544448	0.0000
phylum	Spirochaetes	5	0	203691	0.0000
phylum	Cyanobacteria	5	0	1117	0.0000
phylum	Verrucomicrobia	4	0	74201	0.0000
phylum	Planctomycetes	4	0	203682	0.0000
phylum	Thermotogae	3	0	200918	0.0000
phylum	Aquificae	3	0	200783	0.0000
phylum	Acidobacteria	2	0	57723	0.0000
phylum	Chrysiogenetes	1	0	200938	0.0000
phylum	Deferribacteres	1	0	200930	0.0000
phylum	Nitrospinae	1	0	1293497	0.0000
phylum	Gemmatimonadetes	1	0	142182	0.0000
phylum	Chlorobi	1	0	1090	0.0000
phylum	Calditrichaeota	1	0	1930617	0.0000
phylum	Chloroflexi	1	0	200795	0.0000
phylum	Elusimicrobia	1	1	74152	0.0000
class	Bacilli	1266904	51368	91061	0.1597
class	Alphaproteobacteria	482617	35260	28211	0.0608
class	Methanobacteria	131582	0	183925	0.0166
class	Gammaproteobacteria	101525	7138	1236	0.0128
class	Clostridia	35011	156	186801	0.0044
class	Actinobacteria	6037	501	1760	0.0008
class	Deinococci	5684	34	188787	0.0007
class	Epsilonproteobacteria	3033	20	29547	0.0004
class	Betaproteobacteria	2436	28	28216	0.0003
class	Caudovirales - no_c_rank	808	0	0	0.0001
class	Bacteroidia	760	16	200643	0.0001
class	Deltaproteobacteria	42	3	28221	0.0000
class	Fusobacteriia	16	0	203490	0.0000
class	Flavobacteriia	13	1	117743	0.0000
class	Negativicutes	10	0	909932	0.0000
class	Erysipelotrichia	7	0	526524	0.0000
class	Synergistia	6	0	649775	0.0000
class	Mollicutes	6	0	31969	0.0000
class	Spirochaetia	5	0	203692	0.0000
class	Halobacteria	4	1	183963	0.0000
class	Planctomycetia	4	0	203683	0.0000
class	Aquificae	3	0	187857	0.0000
class	Cytophagia	3	0	768503	0.0000
class	Thermotogae	3	0	188708	0.0000
class	Methanomicrobia	3	0	224756	0.0000
class	Tissierellia	3	0	1737404	0.0000
class	Verrucomicrobiae	2	0	203494	0.0000
class	Chitinophagia	2	0	1853228	0.0000
class	Acidimicrobiia	1	0	84992	0.0000
class	Gemmatimonadetes	1	0	219685	0.0000
class	Chrysiogenetes	1	0	118001	0.0000
class	Dehalococcoidia	1	0	301297	0.0000
class	Nitrospinia	1	0	1293498	0.0000
class	Deferribacteres	1	0	68337	0.0000
class	Nitriliruptoria	1	0	908620	0.0000
class	Chlorobia	1	0	191410	0.0000
class	Calditrichae	1	0	1962850	0.0000
class	Solibacteres	1	0	332159	0.0000
class	Oligoflexia	1	0	1553900	0.0000
class	Opitutae	1	0	414999	0.0000
class	Acidobacteriia	1	0	204432	0.0000
order	Bacillales	984761	17948	1385	0.1241
order	Rhodobacterales	446421	7393	204455	0.0563
order	Lactobacillales	230775	9317	186826	0.0291
order	Methanobacteriales	131582	623	2158	0.0166
order	Pseudomonadales	55945	196	72274	0.0071
order	Enterobacterales	37354	7541	91347	0.0047
order	Clostridiales	34849	1349	186802	0.0044
order	Deinococcales	5650	3	118964	0.0007
order	Propionibacteriales	5322	1972	85009	0.0007
order	Campylobacterales	3013	44	213849	0.0004
order	Neisseriales	2288	29	206351	0.0003
order	Xanthomonadales	904	39	135614	0.0001
order	Rhizobiales	820	77	356	0.0001
order	Caudovirales	786	0	28883	0.0001
order	Bacteroidales	742	96	171549	0.0001
order	Corynebacteriales	130	5	85007	0.0000
order	Burkholderiales	107	11	80840	0.0000
order	Actinomycetales	56	0	2037	0.0000
order	Rhodospirillales	53	3	204441	0.0000
order	Vibrionales	40	0	135623	0.0000
order	Sphingomonadales	36	4	204457	0.0000
order	Staphylococcus phage tp310-1 - no_g_rank - no_f_rank - no_o_rank	34	0	0	0.0000
order	Desulfobacterales	30	0	213118	0.0000
order	Alteromonadales	26	3	135622	0.0000
order	Pasteurellales	24	0	135625	0.0000
order	Oceanospirillales	21	0	135619	0.0000
order	Fusobacteriales	16	0	203491	0.0000
order	Chromatiales	13	0	135613	0.0000
order	Micrococcales	12	1	85006	0.0000
order	Flavobacteriales	12	0	200644	0.0000
order	Aeromonadales	11	0	135624	0.0000
order	Legionellales	10	0	118969	0.0000
order	Caulobacterales	10	0	204458	0.0000
order	Thiotrichales	8	0	72273	0.0000
order	Rickettsiales	7	0	766	0.0000
order	Rhodocyclales	7	1	206389	0.0000
order	Erysipelotrichales	7	0	526525	0.0000
order	Selenomonadales	6	0	909929	0.0000
order	Methylococcales	6	0	135618	0.0000
order	Synergistales	6	0	649776	0.0000
order	Streptomycetales	5	0	85011	0.0000
order	Streptosporangiales	5	0	85012	0.0000
order	Cellvibrionales	5	0	1706369	0.0000
order	Desulfuromonadales	4	1	69541	0.0000
