LEVEL	TAXA	ROLLUP	ASSIGNED	LINEAR_LENGTH	TOTAL_BP_MAPPED	HIT_COUNT	HIT_COUNT_PLASMID	READ_COUNT	LINEAR_DOC	NORM_COV	ROLLUP_DOC
phylum	Firmicutes	0.8615		9621138	120827545	3242484	389245	2488089	12.558550246343	0.480545459263791	218.959883927748
phylum	Proteobacteria	0.1123		5197456	20850428	551787	108837	521319	4.01166031997192	0.153503797258175	28.5371717390962
phylum	Euryarchaeota	0.0247		1734746	11104697	296142	0	218289	6.40133887035912	0.244943426352547	6.28041503336544
phylum	Actinobacteria	0.0011		185013	198223	5175	8	4894	1.07140038808084	0.0409964989148038	0.271892656599004
phylum	Deinococcus-Thermus	0.0004		276247	299474	7828	1255	7379	1.08408055110101	0.0414816978145607	0.104784244679682
phylum	Bacteroidetes	0.0000		58398	58802	1523	0	1212	1.00691804513853	0.0385291203961218	0.0119603288571766
class	Bacilli	0.8591		7295367	117660876	3157636	389245	2425450	16.128164080025	0.437185467172425	218.363340736012
class	Gammaproteobacteria	0.0691		2212828	3680255	97113	1059	85684	1.66314553141952	0.0450828161544997	17.5559987833017
class	Alphaproteobacteria	0.0414		2801224	16975697	449460	107774	430990	6.06009979923062	0.164270871048458	10.5323771320454
class	Methanobacteria	0.0247		1734746	11104697	296142	0	218289	6.40133887035912	0.173520824235229	6.28041503336544
class	Clostridia	0.0023		2325771	3166669	84848	0	62639	1.36155666228532	0.0369076593299399	0.596543191736062
class	Betaproteobacteria	0.0013		133597	142182	3731	0	3271	1.06426042500954	0.0288488626970987	0.334361851143361
class	Actinobacteria	0.0011		185013	198223	5175	8	4894	1.07140038808084	0.0290424053765648	0.271892656599004
class	Epsilonproteobacteria	0.0005		49807	52294	1483	4	1374	1.04993274037786	0.0284604827508058	0.11443397260585
class	Deinococci	0.0004		276247	299474	7828	1255	7379	1.08408055110101	0.0293861260236446	0.104784244679682
class	Bacteroidia	0.0000		58398	58802	1523	0	1212	1.00691804513853	0.0272944852113354	0.0119603288571766
order	Bacillales	0.7484		4936198	101063619	2712490	389245	2071002	20.473979974061	0.392252438274588	190.206003610988
order	Lactobacillales	0.1108		2359169	16597257	445146	0	354448	7.03521324669831	0.134784714710831	28.1573371250245
order	Enterobacteriales	0.0622		268982	1153151	30206	85	24771	4.28709356016388	0.0821346364613061	15.8023337729887
order	Rhodobacterales	0.0414		2801224	16975697	449460	107774	430990	6.06009979923062	0.116102923097861	10.5323771320454
order	Methanobacteriales	0.0247		1734746	11104697	296142	0	218289	6.40133887035912	0.122640580058271	6.28041503336544
order	Pseudomonadales	0.0069		1943846	2527104	66907	974	60913	1.30005360506954	0.0249071844908641	1.75366501031299
order	Clostridiales	0.0023		2325771	3166669	84848	0	62639	1.36155666228532	0.0260854958980647	0.596543191736062
order	Neisseriales	0.0013		133597	142182	3731	0	3271	1.06426042500954	0.0203897213535439	0.334361851143361
order	Propionibacteriales	0.0011		185013	198223	5175	8	4894	1.07140038808084	0.0205265129264308	0.271892656599004
order	Campylobacterales	0.0005		49807	52294	1483	4	1374	1.04993274037786	0.0201152232228078	0.11443397260585
order	Deinococcales	0.0004		276247	299474	7828	1255	7379	1.08408055110101	0.0207694468781432	0.104784244679682
order	Bacteroidales	0.0000		58398	58802	1523	0	1212	1.00691804513853	0.019291122627289	0.0119603288571766
