LEVEL	TAXA	ROLLUP	ASSIGNED	LINEAR_LENGTH	TOTAL_BP_MAPPED	HIT_COUNT	HIT_COUNT_PLASMID	READ_COUNT	LINEAR_DOC	NORM_COV	ROLLUP_DOC
phylum	Firmicutes	0.7850		8121178	88161806	2371613	163479	1847295	10.855790379179	0.440518350034001	126.776021828657
phylum	Proteobacteria	0.1743		4648840	19897329	526661	108446	499471	4.28006319856136	0.173681170363028	28.1427012364989
phylum	Euryarchaeota	0.0384		1703957	10816195	288683	0	213435	6.34769245937544	0.257583732833539	6.20373593989551
phylum	Actinobacteria	0.0017		165787	177017	4629	8	4389	1.06773751862329	0.0433278419667592	0.267628111482643
phylum	Deinococcus-Thermus	0.0006		258801	281079	7355	1213	6921	1.08608158391969	0.0440722278746507	0.103677984800874
phylum	Bacteroidetes	0.0001		56881	57214	1483	0	1184	1.00585432745557	0.0408166769280227	0.011959035693794
class	Bacilli	0.7814		5929126	85185368	2291799	163479	1787975	14.3672723433437	0.409556599668228	126.193481720821
class	Gammaproteobacteria	0.1069		1832033	3057605	80747	1051	72027	1.66896829915182	0.0475759744243565	17.2630326485909
class	Alphaproteobacteria	0.0650		2771848	16791761	444596	107392	426278	6.05796602122483	0.172689700958302	10.4959852559201
class	Methanobacteria	0.0384		1703957	10816195	288683	0	213435	6.34769245937544	0.180948706008619	6.20373593989551
class	Clostridia	0.0036		2192052	2976438	79814	0	59320	1.35783183975563	0.0387066506377748	0.582540107836262
class	Betaproteobacteria	0.0018		28794	31196	830	0	701	1.08342015697715	0.0308842113450403	0.292555944756996
class	Actinobacteria	0.0017		165787	177017	4629	8	4389	1.06773751862329	0.0304371586349267	0.267628111482643
class	Deinococci	0.0006		258801	281079	7355	1213	6921	1.08608158391969	0.03096007856206	0.103677984800874
class	Epsilonproteobacteria	0.0006		16165	16767	488	3	465	1.03724095267553	0.0295678168731337	0.0911273872308946
class	Bacteroidia	0.0001		56881	57214	1483	0	1184	1.00585432745557	0.0286731028875589	0.011959035693794
order	Bacillales	0.6135		3729550	69570335	1872573	163479	1453182	18.6538148033945	0.369970131228852	99.0838944148533
order	Lactobacillales	0.1679		2199576	15615033	419226	0	334793	7.09911046492597	0.140800091455761	27.1095873059675
order	Enterobacteriales	0.0963		213240	917091	24073	85	19716	4.30074563871694	0.0852987683810645	15.5519797993997
order	Rhodobacterales	0.0650		2771848	16791761	444596	107392	426278	6.05796602122483	0.120150570136711	10.4959852559201
order	Methanobacteriales	0.0384		1703957	10816195	288683	0	213435	6.34769245937544	0.125896854715646	6.20373593989551
order	Pseudomonadales	0.0106		1618793	2140514	56674	966	52311	1.32229012603835	0.0262256196177096	1.71105284919122
order	Clostridiales	0.0036		2192052	2976438	79814	0	59320	1.35783183975563	0.0269305356162154	0.582540107836262
order	Neisseriales	0.0018		28794	31196	830	0	701	1.08342015697715	0.0214879959878168	0.292555944756996
order	Propionibacteriales	0.0017		165787	177017	4629	8	4389	1.06773751862329	0.0211769546361715	0.267628111482643
order	Deinococcales	0.0006		258801	281079	7355	1213	6921	1.08608158391969	0.0215407813556124	0.103677984800874
order	Campylobacterales	0.0006		16165	16767	488	3	465	1.03724095267553	0.0205721014935494	0.0911273872308946
order	Bacteroidales	0.0001		56881	57214	1483	0	1184	1.00585432745557	0.0199495953748895	0.011959035693794
family	Staphylococcaceae	0.6118		3620696	69454297	1869396	163230	1450600	19.1825817467139	0.346630197142401	98.8038037423551
family	Streptococcaceae	0.1678		2187813	15603229	418905	0	334554	7.13188421496718	0.128873499097917	27.1012031937323
family	Enterobacteriaceae	0.0963		213240	917091	24073	85	19716	4.30074563871694	0.0777146855565023	15.5519797993997
family	Rhodobacteraceae	0.0650		2771848	16791761	444596	107392	426278	6.05796602122483	0.109467744433246	10.4959852559201
family	Methanobacteriaceae	0.0384		1703957	10816195	288683	0	213435	6.34769245937544	0.114703115443236	6.20373593989551
family	Pseudomonadaceae	0.0063		1239050	1689253	44470	0	42197	1.36334530487067	0.0246357168206225	1.01006468720064
family	Moraxellaceae	0.0043		379743	451261	12204	966	10114	1.18833263549295	0.0214732292634298	0.700988161990577
family	Clostridiaceae	0.0036		2192052	2976438	79814	0	59320	1.35783183975563	0.0245360882343874	0.582540107836262
family	Neisseriaceae	0.0018		28794	31196	830	0	701	1.08342015697715	0.0195774556084127	0.292555944756996
family	Propionibacteriaceae	0.0017		165787	177017	4629	8	4389	1.06773751862329	0.0192940695607948	0.267628111482643
family	Bacillaceae	0.0010		63274	68428	1864	249	1464	1.08145525808389	0.019541949788616	0.169336994354172
family	Listeriaceae	0.0007		45580	47610	1313	0	1118	1.04453707766564	0.0188748364497815	0.110753678144027
family	Deinococcaceae	0.0006		258801	281079	7355	1213	6921	1.08608158391969	0.0196255477243726	0.103677984800874
family	Helicobacteraceae	0.0006		16165	16767	488	3	465	1.03724095267553	0.0187429951117859	0.0911273872308946
family	Bacteroidaceae	0.0001		56881	57214	1483	0	1184	1.00585432745557	0.0181758372478818	0.011959035693794
