LEVEL	NAME	ROLLUP	ASSIGNED	TAXID	READ_COUNT	READ_COUNT_RNR	READ_COUNT_RSNB	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	PATHOGEN	SCORE	REL_ABUNDANCE	ABUNDANCE	LINEAR_COV	NOTE	RPKM	PRI_READ_COUNT	REB_READ_COUNT	REB_READ_COUNT_RNR	TOL_RS_READ_CNT	TOL_NS_READ_CNT	TOL_RS_RNR	TOL_NS_RNR	STR	SPE	GEN	FAM	ORD	CLA	PHY	SK	ROOT	STR_rnb	SPE_rnb	GEN_rnb	FAM_rnb	ORD_rnb	CLA_rnb	PHY_rnb	SK_rnb	ROOT_rnb	STR_rnr	SPE_rnr	GEN_rnr	FAM_rnr	ORD_rnr	CLA_rnr	PHY_rnr	SK_rnr	ROOT_rnr	STR_rni	SPE_rni	GEN_rni	FAM_rni	ORD_rni	CLA_rni	PHY_rni	SK_rni	ROOT_rni	SOURCE	LOCATION	HOST	DISEASE	DIFF_MEAN	DIFF_SD	MC_ERROR	HPD_2.5	HPD_97.5	P<0	P>0	SCORE_UNIQ	SCORE_TTEST
superkingdom	Bacteria	3353608		2	40400235	3353608.58	3321540.71	3022128056	19282946	407731941	7.4120		0.9854	0.9457	3353608	0.3081		0.7140	3354699	40400620.49204787	3353622.900179749	40392565	7670	3353319.4523359607	289.1297828407617	387462	32346816	1406863	6240860	5533	2275	2457	299	7670	383540.92	2632413.52	88493.45	216266.48	303.76	299.48	186.55	36.55	286.32	386684.00	2658058.00	89470.36	218268.49	307.18	304.89	189.25	37.28	289.13	384307.65	32059814.47	1392069.41	6183724.64	5465.51	2241.09	2423.64	292.89	7595.49												0.9853935277649652	
superkingdom	Archaea	192666		2157	192772	192666.86	191356.92	14422000	62424	1851959	7.7874		0.8987	0.0543	192666	0.9994		29.2895	192723	192810.44453337023	192684.2900186439	192772	0	192666.85525210085	0	192612	0	78	76	3	0	3	0	0	191302.56	0	36.52	16.79	0.73	0	0.32	0	0	192612.00	0	36.83	16.96	0.74	0	0.33	0	0	191302.56	0	77.33	75.24	2.97	0	2.91	0	0												0.8986621615225011	
superkingdom	Viruses	60		10239	742	60.08	27.28	54849	517	8099	6.7723		0.9798	0.0000	60	0.0142		0.0298	65	318.0634187621217	28.329229997134846	318	424	28.326666666666668	31.75539082095295	0	92	91	0	24	111	0	0	424	0	12.60	6.05	0	2.49	6.14	0	0	31.09	0	13.00	6.50	0	2.57	6.26	0	0	31.76	0	89.15	84.69	0	23.31	109.96	0	0	417.32												0.9798349821102459	
phylum	Firmicutes	2313966		1239	29732532	2313966.81	2294460.07	2224234212	13358637	143304019	15.5211		0.9853	0.6525	2313966	0.2380		1.0829	2314631	29738288.06017503	2314171.6462476915	29732450	82	2313958.6447348073	8.169175269175266	212734	28223023	1290579	3421	1712	529	452	82	0	211153.87	2001496.72	81253.85	299.45	149.06	58.95	48.18	8.01	0	212573.00	2018679.42	82143.80	302.60	151.38	59.67	48.77	8.17	0	211313.56	27983795.56	1277132.95	3380.44	1670.75	523.47	444.27	80.01	0												0.9852902526215994	
phylum	Proteobacteria	1023401		1224	10591903	1023401.79	1010971.46	792223716	5877428	259367995	3.0544		0.9854	0.2886	1023401	0.3770		0.4191	1023815	10586096.20525983	1023177.873502214	10584018	7885	1023083.6979317203	318.0879149260677	166540	4056732	116252	6236944	3817	1728	2005	215	7670	164283.03	623012.35	7225.40	215920.61	152.87	238.82	138.38	28.41	286.32	165928.00	631386.58	7312.24	217918.94	153.97	243.49	140.47	28.96	289.13	164885.15	4009695.95	114904.73	6179854.59	3790.77	1699.96	1979.37	211.16	7595.49												0.9853935277649652	
phylum	Euryarchaeota	192666		28890	192772	192666.86	191356.92	14422000	62424	1851959	7.7874		0.8987	0.0543	192666	0.9994		29.2895	192723	192809.8513891745	192684.5903709824	192772	0	192666.85525210085	0	192612	0	78	76	3	0	3	0	0	191302.56	0	36.52	16.79	0.73	0	0.32	0	0	192612.00	0	36.83	16.96	0.74	0	0.33	0	0	191302.56	0	77.33	75.24	2.97	0	2.91	0	0												0.8986621615225011	
phylum	Actinobacteria	8045		201174	67579	8045.68	7957.55	5055151	42511	4496996	1.1241		0.9232	0.0023	8045	0.1790		0.0902	8046	67592.26934943366	8046.422972775301	67579	0	8045.682362082362	0	5	67061	0	495	0	18	0	0	0	4.96	7904.46	0	46.42	0	1.71	0	0	0	5.00	7992.00	0	46.95	0	1.73	0	0	0	4.96	66322.96	0	489.61	0	17.67	0	0	0												0.9231576304576308	
phylum	Deinococcus-Thermus	7166		1297	7182	7166.30	7094.57	537211	3963	486177	1.1050		0.9542	0.0020	7166	0.1588		0.6596	7173	7181.409815607417	7166.809649123387	7180	2	7166.15	0.15	7165	0	15	0	0	0	0	2	0	7088.50	0	6.07	0	0	0	0	0.13	0	7160.00	0	6.15	0	0	0	0	0.15	0	7093.43	0	14.83	0	0	0	0	1.72	0												0.9541545988001946	
phylum	Bacteroidetes	1028		976	1039	1028.00	1020.52	77766	407	76754	1.0132		0.9103	0.0003	1028	0.0149		0.0561	1034	1039.2040109214631	1028.0946281195402	1039	0	1028.0	0	1018	0	17	0	4	0	0	0	0	1010.56	0	8.13	0	1.83	0	0	0	0	1018.00	0	8.17	0	1.83	0	0	0	0	1010.56	0	16.91	0	3.99	0	0	0	0												0.9103429989861845	
class	Bacilli	2251596		91061	29668829	2251596.10	2232465.04	2219468617	13338166	140024425	15.8506		0.9853	0.6349	2251596	0.2396		1.0855	2252220	29675950.23155705	2251871.2419662643	29668326	503	2251543.5960513484	52.50316925072208	151073	28223023	1288627	3397	1677	529	433	70	0	149903.20	2001496.72	80564.05	297.42	144.70	58.95	44.89	6.90	0	150912.00	2018679.42	81444.95	300.57	146.98	59.67	45.46	7.04	0	150062.89	27983795.56	1275204.71	3356.48	1636.01	523.47	425.35	68.21	0												0.9852902526215994	
class	Alphaproteobacteria	613277		28211	1361729	613277.54	605119.19	101827740	1113270	10700607	9.5161		0.9770	0.1729	613277	0.6619		10.6871	613579	1361741.8535053146	613305.0121029437	1361392	337	613215.7765915752	61.76675117089877	164788	1193473	547	1499	0	1085	226	111	0	162549.85	441946.94	107.84	308.27	0	206.30	44.43	15.94	0	164176.00	448405.00	109.69	314.34	0	210.75	45.37	16.40	0	163151.96	1176308.91	538.32	1470.47	0	1060.91	221.20	107.84	0												0.9769665816652634	
class	Gammaproteobacteria	401010		1236	9135400	401010.09	396717.30	683313409	4699043	242114362	2.8223		0.9802	0.1131	401010	0.4436		0.2070	401119	9128302.208467362	400682.8844687359	9125957	9443	400624.5853493963	385.5027696577677	1730	2791299	93117	6235445	3794	572	1669	104	7670	1711.37	173740.16	5473.09	215612.34	152.05	28.29	82.81	12.47	286.32	1730.00	175572.58	5535.79	217604.60	153.15	28.46	83.81	12.56	289.13	1711.37	2762337.24	92073.81	6178384.12	3767.77	568.80	1649.61	103.32	7595.49												0.9802485781565422	
class	Methanobacteria	192666		183925	192772	192666.86	191356.60	14422000	62424	1851959	7.7874		0.8987	0.0543	192666	0.9994		29.2895	192723	192818.53820087525	192694.56551512275	192769	3	192666.5285714286	0.32668067226890757	192612	0	78	76	3	0	3	0	0	191302.56	0	36.52	16.79	0.73	0	0.32	0	0	192612.00	0	36.83	16.96	0.74	0	0.33	0	0	191302.56	0	77.33	75.24	2.97	0	2.91	0	0												0.8986621615225011	
class	Clostridia	62370		186801	63703	62370.71	61946.85	4765595	20471	3279594	1.4531		0.9595	0.0176	62370	0.1859		0.9962	62411	63688.36257036209	62375.350750943435	63672	31	62366.275174825176	4.439514652014651	61661	0	1952	24	35	0	19	12	0	61250.67	0	689.80	2.03	4.36	0	3.29	1.11	0	61661.00	0	698.85	2.03	4.40	0	3.31	1.13	0	61250.67	0	1928.24	23.96	34.73	0	18.92	11.80	0												0.959532543102782	
class	Actinobacteria	8045		1760	67579	8045.68	7957.55	5055151	42511	4496996	1.1241		0.9232	0.0023	8045	0.1790		0.0902	8046	67596.36659980053	8046.853174392311	67579	0	8045.682362082362	0	5	67061	0	495	0	18	0	0	0	4.96	7904.46	0	46.42	0	1.71	0	0	0	5.00	7992.00	0	46.95	0	1.73	0	0	0	4.96	66322.96	0	489.61	0	17.67	0	0	0												0.9231576304576308	
