sid,delta0,delta1,delta2,T0,T1,T2,n
1,1,1,0,1,1,999,16
1,1,1,0,1,0,999,5
1,1,1,0,0,1,999,4
1,1,1,0,0,0,999,28
2,1,1,0,1,1,999,32
2,1,1,0,1,0,999,5
2,1,1,0,0,1,999,11
2,1,1,0,0,0,999,21
3,1,1,0,1,1,999,21
3,1,1,0,1,0,999,15
3,1,1,0,0,1,999,6
3,1,1,0,0,0,999,54
4,1,1,0,1,1,999,31
4,1,1,0,1,0,999,7
4,1,1,0,0,1,999,24
4,1,1,0,0,0,999,33
5,1,0,1,1,999,1,44
5,1,0,1,1,999,0,1
5,1,0,1,0,999,1,43
5,1,0,1,0,999,0,12
6,1,0,1,1,999,1,55
6,1,0,1,1,999,0,20
6,1,0,1,0,999,1,36
6,1,0,1,0,999,0,60
7,1,0,1,1,999,1,25
7,1,0,1,1,999,0,4
7,1,0,1,0,999,1,33
7,1,0,1,0,999,0,46
8,0,1,1,999,1,1,7
8,0,1,1,999,0,1,1
8,0,1,1,999,1,0,0
8,0,1,1,999,0,0,6
9,0,1,1,999,1,1,14
9,0,1,1,999,0,1,11
9,0,1,1,999,1,0,0
9,0,1,1,999,0,0,18
10,0,1,1,999,1,1,26
10,0,1,1,999,0,1,1
10,0,1,1,999,1,0,2
10,0,1,1,999,0,0,29
11,0,1,1,999,1,1,19
11,0,1,1,999,0,1,0
11,0,1,1,999,1,0,1
11,0,1,1,999,0,0,14
12,0,1,1,999,1,1,17
12,0,1,1,999,0,1,4
12,0,1,1,999,1,0,6
12,0,1,1,999,0,0,20
