"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
1 2 NA NA 1 62 2 1 1 1 NA 68
2 2 1 NA 1 NA 2 1 2 1 NA 51
2 3 1 1 2 26 NA 1 2 1 NA 51
3 2 1 1 1 NA 2 1 2 1 1 48
4 2 NA 1 1 NA 2 1 2 NA 1 30
5 2 2 NA 1 17 3 NA NA 1 NA 39
5 3 NA 1 1 16 3 NA NA 1 NA 39
5 4 NA 1 1 26 12 NA NA 1 NA 39
6 2 2 NA 1 NA 2 NA NA NA NA 58
6 3 1 1 NA 21 NA NA NA NA NA 58
6 4 1 1 1 20 NA NA NA NA NA 58
7 2 2 1 NA NA NA 1 NA NA 1 77
7 3 2 NA 1 33 3 1 NA NA 1 77
7 4 1 1 1 30 3 1 NA NA 1 77
8 2 2 8 5 22 3 2 2 7 5 56
8 3 NA 8 5 17 3 2 2 7 5 56
8 4 2 7 NA 76 7 2 2 7 5 56
9 2 NA 1 1 54 2 1 1 1 NA 56
9 3 NA 1 1 22 3 1 1 1 NA 56
10 2 2 1 1 77 NA 1 1 1 1 76
10 3 NA 1 1 46 3 1 1 1 1 76
11 2 NA 1 1 32 NA 1 1 NA 1 48
11 3 1 1 NA 25 3 1 1 NA 1 48
11 4 1 NA NA 3 3 1 1 NA 1 48
12 2 2 1 1 64 NA 1 1 1 1 77
13 2 2 NA NA 29 NA NA 1 NA 1 29
14 2 1 1 NA 55 2 1 2 1 1 67
15 2 2 1 NA 42 2 NA 1 1 1 49
15 3 1 1 1 7 3 NA 1 1 1 49
16 2 NA 1 4 NA NA 2 2 NA 1 28
17 2 1 2 NA 16 NA 2 1 3 2 58
17 3 2 NA 1 53 12 2 1 3 2 58
18 2 2 NA 1 41 NA 1 NA 1 1 47
18 3 1 NA 1 22 3 1 NA 1 1 47
18 4 1 1 NA 22 3 1 NA 1 1 47
19 2 NA NA NA NA 2 1 1 2 1 57
19 3 1 2 NA NA 3 1 1 2 1 57
20 2 NA 1 NA 20 NA 1 NA 1 1 42
20 3 2 1 1 NA 7 1 NA 1 1 42
21 2 NA 1 1 59 2 NA NA 1 1 62
22 2 1 1 1 63 2 1 2 1 1 53
22 3 NA 1 1 NA NA 1 2 1 1 53
23 2 1 NA 1 55 3 1 1 1 NA 87
23 3 NA 1 NA 37 8 1 1 1 NA 87
24 2 1 1 2 NA 2 2 NA 1 1 52
25 2 2 NA 1 70 2 NA 1 1 1 62
26 2 NA NA NA 52 2 1 2 NA 1 39
27 2 2 NA NA 39 2 2 1 1 1 32
28 2 2 1 1 NA 2 1 1 1 1 66
28 3 NA 1 NA 37 NA 1 1 1 1 66
28 4 1 NA 1 8 8 1 1 1 1 66
29 2 2 1 NA 50 NA 1 1 1 1 47
29 3 NA 1 1 NA NA 1 1 1 1 47
29 4 1 NA 1 17 3 1 1 1 1 47
30 2 1 1 1 42 3 1 NA 1 1 78
31 2 1 NA 1 7 3 NA NA 1 1 41
31 3 1 1 1 5 3 NA NA 1 1 41
32 2 2 1 NA 15 NA 2 2 NA 1 49
33 2 2 1 NA NA 2 1 NA 1 1 37
33 3 1 1 1 1 NA 1 NA 1 1 37
34 2 2 7 2 18 3 NA NA 7 2 52
35 2 NA 1 NA 63 NA 1 2 1 1 64
36 2 2 1 1 81 7 2 1 NA 1 55
36 3 2 1 1 57 11 2 1 NA 1 55
37 2 1 7 5 54 12 1 NA 1 1 59
38 2 2 1 1 52 2 1 1 1 1 54
38 3 2 1 NA 24 NA 1 1 1 1 54
39 2 1 1 NA 5 3 2 2 1 1 42
39 3 NA 1 1 5 NA 2 2 1 1 42
40 2 1 1 3 41 2 1 2 1 NA 39
40 3 NA 1 3 15 3 1 2 1 NA 39
41 2 2 1 1 55 NA 2 NA 2 NA 44
42 2 NA 1 1 NA 2 1 1 1 1 56
43 2 2 1 1 50 2 NA 1 1 1 47
43 3 1 NA 1 17 NA NA 1 1 1 47
44 2 2 7 2 36 3 1 2 NA 2 60
44 3 NA 7 2 51 12 1 2 NA 2 60
45 2 NA 1 1 NA 2 1 1 1 1 29
45 3 1 1 1 NA 3 1 1 1 1 29
46 2 NA 1 1 21 3 NA 2 1 1 54
47 2 NA 1 1 40 3 1 NA 1 1 65
48 2 2 1 1 NA 3 NA NA 1 NA 53
49 2 NA 8 NA 17 3 1 2 NA 4 49
50 2 2 NA 1 NA 2 1 1 NA 1 37
50 3 1 1 1 6 NA 1 1 NA 1 37
50 4 NA NA NA 3 NA 1 1 NA 1 37
51 2 2 NA NA NA 2 NA 1 1 1 67
52 2 NA 9 1 NA NA 1 2 8 NA 35
52 3 2 NA 1 NA 3 1 2 8 NA 35
52 4 1 NA 1 5 NA 1 2 8 NA 35
53 2 2 1 1 23 12 2 2 NA 1 21
53 3 1 1 1 23 NA 2 2 NA 1 21
54 2 2 1 2 NA 3 2 1 1 2 36
54 3 2 1 2 13 NA 2 1 1 2 36
54 4 NA NA 2 7 3 2 1 1 2 36
55 2 NA 1 1 NA 2 1 NA 1 NA 77
56 2 NA 1 1 82 NA 1 1 1 NA 84
57 2 2 1 NA 72 NA 1 1 NA 1 75
58 2 1 6 NA NA NA 2 2 1 NA 28
58 3 NA NA 1 NA NA 2 2 1 NA 28
59 2 1 NA 1 15 3 2 2 2 1 51
60 2 2 NA 1 22 12 1 2 1 1 25
61 2 1 1 1 NA 2 NA NA 1 NA 70
62 2 2 NA 1 80 2 NA 1 1 NA 82
63 2 NA 2 1 NA 3 1 2 NA 1 75
63 3 1 2 1 26 8 1 2 NA 1 75
64 2 2 NA NA NA 2 NA 1 1 1 47
64 3 1 1 NA 17 NA NA 1 1 1 47
64 4 2 NA 1 15 NA NA 1 1 1 47
65 2 NA 1 1 NA 2 NA NA NA 1 48
65 3 1 1 NA 28 3 NA NA NA 1 48
66 2 NA NA NA 75 NA 1 2 1 1 77
67 2 NA NA 1 60 2 1 2 1 1 58
68 2 2 NA 1 NA 2 2 NA NA 1 41
69 2 1 2 1 41 2 NA 2 2 NA 43
69 3 2 2 NA 16 3 NA 2 2 NA 43
