"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership"
1 1 2 1 1 64 1 1
1 2 1 1 1 73 2 1
1 3 2 1 1 95 5 1
1 4 1 1 1 16 9 1
2 1 2 2 1 60 1 1
2 2 1 2 1 58 2 1
2 3 1 2 1 30 3 1
3 1 2 1 1 30 1 1
3 2 1 1 1 39 2 1
4 1 2 1 1 89 1 1
4 2 1 1 1 95 2 1
5 1 1 1 1 56 1 1
5 2 2 1 1 60 11 1
6 1 1 1 1 36 1 1
6 2 2 1 1 35 2 1
6 3 2 1 1 15 3 1
6 4 2 1 1 12 3 1
7 1 1 1 1 71 1 1
7 2 2 1 1 58 2 1
8 1 2 1 5 47 1 1
8 2 1 1 1 45 2 1
8 3 1 1 1 14 3 1
9 1 2 1 1 34 1 1
9 2 1 1 1 32 2 1
9 3 1 1 1 13 3 1
9 4 2 1 1 8 3 1
10 1 2 1 1 58 1 1
10 2 2 1 1 26 3 1
11 1 1 7 5 46 1 2
11 2 2 7 5 36 2 2
12 1 1 1 1 70 1 1
12 2 2 1 1 66 2 1
13 1 1 6 1 69 1 2
13 2 2 6 1 73 12 2
14 1 2 2 1 46 1 2
14 2 2 2 1 19 10 2
15 1 1 1 1 85 1 1
15 2 2 1 1 79 2 1
16 1 1 2 1 77 1 1
16 2 1 2 1 46 3 1
17 1 1 1 1 62 1 1
17 2 2 1 1 59 2 1
18 1 1 1 1 68 1 1
18 2 2 1 1 69 2 1
19 1 2 1 1 52 1 1
19 2 1 1 1 52 2 1
20 1 1 6 1 43 1 1
20 2 2 6 1 36 2 1
20 3 1 6 1 13 3 1
21 1 2 1 1 30 1 2
21 2 1 1 1 34 2 2
21 3 1 1 1 11 3 2
21 4 1 1 1 9 3 2
21 5 2 1 1 5 3 2
22 1 2 1 1 27 1 1
22 2 1 1 1 33 12 1
23 1 1 1 1 59 1 1
23 2 2 1 1 45 2 1
24 1 1 1 1 40 1 1
24 2 2 3 1 51 2 1
24 3 1 3 2 5 9 1
24 4 1 3 2 3 9 1
24 5 1 3 2 34 10 1
25 1 2 1 1 63 1 1
25 2 1 1 1 64 2 1
26 1 1 1 5 48 1 1
26 2 2 1 1 46 2 1
26 3 1 1 5 20 3 1
26 4 2 1 5 17 3 1
26 5 1 1 5 17 3 1
27 1 1 6 1 68 1 1
27 2 2 6 1 59 11 1
28 1 1 7 2 40 1 1
28 2 2 7 2 68 5 1
28 3 1 7 2 66 5 1
29 1 1 1 2 51 1 1
29 2 1 1 2 11 3 1
29 3 2 1 2 53 10 1
29 4 1 1 1 20 12 1
29 5 1 1 2 18 12 1
30 1 1 1 1 55 1 1
30 2 2 1 3 61 2 1
31 1 2 4 1 47 1 1
31 2 1 4 1 51 2 1
31 3 2 4 1 8 3 1
32 1 2 1 1 21 1 2
32 2 2 1 1 20 11 2
33 1 1 1 1 51 1 1
33 2 2 6 1 45 2 1
33 3 2 8 1 13 3 1
33 4 1 8 1 8 3 1
34 1 2 1 1 58 1 1
34 2 1 1 1 64 2 1
34 3 1 1 1 19 3 1
35 1 1 1 1 58 1 1
35 2 2 1 1 54 2 1
36 1 1 1 2 65 1 1
36 2 2 1 2 48 2 1
37 1 1 1 1 47 1 1
37 2 2 7 5 46 2 1
38 1 1 1 1 53 1 1
38 2 2 1 1 57 2 1
38 3 1 1 1 78 5 1
39 1 1 1 1 53 1 1
39 2 2 2 1 52 2 1
39 3 1 1 1 20 3 1
40 1 2 1 1 41 1 1
40 2 1 8 1 40 2 1
40 3 2 1 1 9 3 1
40 4 2 1 1 6 3 1
41 1 1 6 1 41 1 1
41 2 2 1 2 41 2 1
41 3 1 1 2 11 3 1
41 4 1 1 2 8 3 1
41 5 1 1 2 1 3 1
42 1 1 1 1 36 1 1
42 2 2 6 1 42 2 1
42 3 2 8 1 7 3 1
42 4 2 8 1 1 3 1
43 1 1 1 1 48 1 1
43 2 2 1 1 45 2 1
43 3 1 1 1 22 3 1
44 1 1 1 1 49 1 1
44 2 2 1 1 48 2 1
44 3 2 1 1 16 3 1
45 1 2 2 1 61 1 1
45 2 1 2 1 25 3 1
45 3 1 2 1 82 5 1
45 4 2 2 1 83 10 1
46 1 1 1 1 61 1 1
46 2 2 1 1 53 2 1
46 3 2 1 1 22 3 1
47 1 1 2 1 66 1 2
47 2 2 2 1 40 3 2
47 3 1 2 1 7 9 2
47 4 1 2 1 46 12 2
48 1 1 1 1 54 1 1
48 2 2 8 1 53 2 1
48 3 2 1 1 20 3 1
49 1 2 1 1 53 1 1
49 2 1 1 1 63 2 1
50 1 2 1 1 34 1 1
50 2 1 1 1 30 2 1
50 3 2 1 1 16 3 1
50 4 1 1 1 13 3 1
50 5 2 1 1 10 3 1
50 6 2 1 1 5 3 1
51 1 1 1 1 58 1 1
51 2 2 1 1 55 2 1
52 1 1 1 1 68 1 1
52 2 2 1 1 66 2 1
53 1 1 1 2 80 1 1
53 2 1 1 2 54 3 1
54 1 1 1 1 51 1 1
54 2 2 1 1 47 2 1
54 3 1 1 1 18 3 1
55 1 1 7 2 27 1 2
55 2 1 7 2 46 7 2
55 3 1 7 2 31 10 2
56 1 1 1 1 67 1 1
56 2 2 1 1 62 2 1
57 1 2 2 1 46 1 2
57 2 1 2 2 23 3 2
57 3 1 2 3 12 3 2
58 1 1 1 1 70 1 1
58 2 2 1 1 68 2 1
59 1 1 1 1 33 1 1
59 2 2 1 1 33 2 1
59 3 1 1 1 3 3 1
59 4 2 1 1 1 3 1
60 1 2 7 2 50 1 1
60 2 1 7 2 24 3 1
60 3 1 7 2 21 3 1
60 4 2 7 2 18 3 1
61 1 1 1 1 52 1 1
61 2 2 1 1 53 2 1
62 1 1 1 1 41 1 1
62 2 2 1 1 39 2 1
62 3 2 1 1 7 3 1
62 4 1 1 1 4 3 1
63 1 1 1 1 54 1 1
63 2 2 1 1 52 2 1
63 3 1 1 1 16 3 1
63 4 1 1 1 10 3 1
64 1 1 1 2 46 1 1
64 2 2 1 2 35 2 1
64 3 1 1 2 17 3 1
64 4 1 1 2 11 3 1
64 5 1 1 2 7 3 1
65 1 2 1 1 27 1 2
65 2 1 1 1 28 11 2
66 1 2 1 1 45 1 2
66 2 1 6 1 46 2 2
66 3 1 8 1 5 3 2
67 1 1 1 1 73 1 1
67 2 2 1 1 75 11 1
68 1 2 1 1 68 1 1
68 2 1 1 1 70 2 1
69 1 1 7 5 23 1 1
69 2 2 7 5 20 2 1
69 3 2 7 5 3 7 1
69 4 1 7 5 44 5 1
69 5 2 7 5 42 5 1
70 1 2 1 1 48 1 1
70 2 1 1 1 53 2 1
70 3 2 1 1 13 3 1
71 1 1 1 1 72 1 1
71 2 2 1 1 55 2 1
72 1 2 1 1 47 1 1
72 2 1 1 1 18 3 1
72 3 2 1 1 17 3 1
72 4 1 1 1 37 11 1
73 1 1 1 1 58 1 1
73 2 1 1 1 52 11 1
74 1 1 1 1 66 1 1
74 2 1 1 1 59 7 1
75 1 2 1 1 71 1 1
75 2 1 1 1 75 2 1
76 1 1 1 1 76 1 1
76 2 2 1 1 70 2 1
77 1 1 1 1 86 1 1
77 2 2 1 1 68 2 1
78 1 1 1 1 52 1 2
78 2 2 6 1 47 2 2
78 3 1 8 1 9 3 2
79 1 2 1 1 66 1 1
79 2 1 1 1 70 2 1
80 1 1 1 1 75 1 1
80 2 2 1 1 72 2 1
80 3 1 1 1 45 3 1
81 1 2 7 2 38 1 2
81 2 1 7 2 11 3 2
82 1 2 1 1 71 1 1
82 2 1 1 1 45 3 1
83 1 1 1 1 27 1 2
83 2 1 1 1 27 11 2
84 1 2 2 1 69 1 1
84 2 1 2 1 68 2 1
84 3 1 2 1 51 3 1
84 4 1 2 1 44 3 1
85 1 2 2 1 57 1 1
85 2 2 2 1 23 3 1
86 1 1 1 1 29 1 2
86 2 2 1 1 28 2 2
87 1 2 1 1 36 1 2
87 2 1 1 1 17 3 2
87 3 1 1 1 15 3 2
87 4 1 1 1 2 3 2
87 5 1 1 1 36 11 2
88 1 1 1 1 41 1 1
88 2 2 1 1 42 2 1
88 3 2 1 1 13 3 1
88 4 1 1 1 9 3 1
89 1 1 1 1 81 1 1
89 2 2 1 1 72 2 1
90 1 2 1 2 24 1 2
90 2 1 1 2 6 3 2
90 3 2 1 2 5 3 2
90 4 2 1 2 1 3 2
91 1 1 7 2 43 1 2
91 2 2 1 1 31 2 2
91 3 2 1 1 4 3 2
91 4 1 7 2 45 7 2
91 5 1 7 2 36 7 2
92 1 2 1 1 70 1 1
92 2 1 1 1 78 2 1
93 1 1 1 1 53 1 1
93 2 2 1 1 53 2 1
94 1 1 1 2 44 1 1
94 2 2 1 1 46 2 1
94 3 2 1 2 17 3 1
94 4 1 1 2 15 3 1
94 5 2 1 2 12 3 1
95 1 1 8 1 79 1 2
95 2 2 8 1 70 2 2
96 1 2 1 1 52 1 1
96 2 1 1 1 54 2 1
96 3 2 1 1 29 3 1
96 4 1 1 1 25 3 1
96 5 1 1 1 20 3 1
97 1 2 1 1 42 1 1
