"Census Profile, 2021 Census of Population",,,,,,,,,,,,
,,,"Burnaby, City (CY) [Census subdivision], British Columbia",,"Coquitlam, City (CY) [Census subdivision], British Columbia",,"Port Moody, City (CY) [Census subdivision], British Columbia",,"West Vancouver, District municipality (DM) [Census subdivision], British Columbia",,"Maple Ridge, City (CY) [Census subdivision], British Columbia",
,,,Counts,,Counts,,Counts,,Counts,,Counts,
Topic,Characteristic,Note,Total,Total_Flag,Total,Total_Flag,Total,Total_Flag,Total,Total_Flag,Total,Total_Flag
Population and dwellings,"Population, 2021",1,249125,,148625,,33535,,44122,,90990,
Population and dwellings,"Population, 2016",1,232755,,139284,,33551,,42473,,82256,
Population and dwellings,"Population percentage change, 2016 to 2021",,7,,6.7,,0,,3.9,,10.6,
Population and dwellings,Total private dwellings,2,107046,,58683,,13603,,18795,,34254,
Population and dwellings,Private dwellings occupied by usual residents,3,101136,,55949,,13109,,17690,,33103,
Population and dwellings,Population density per square kilometre,,2750.7,,1216.7,,1297.3,,506.1,,339.7,
Population and dwellings,Land area in square kilometres,,90.57,,122.15,,25.85,,87.18,,267.82,
Age characteristics,Total - Age groups of the population - 100% data,,249120,,148625,,33535,,44125,,90990,
Age characteristics,  0 to 14 years,,32295,,22400,,5520,,6160,,16070,
Age characteristics,    0 to 4 years,,10510,,6405,,1595,,1295,,4985,
Age characteristics,    5 to 9 years,,10980,,7545,,1830,,2115,,5500,
Age characteristics,    10 to 14 years,,10805,,8445,,2090,,2750,,5580,
Age characteristics,  15 to 64 years,,172720,,101955,,23175,,25390,,60310,
Age characteristics,    15 to 19 years,,11190,,8590,,2055,,2940,,5250,
Age characteristics,    20 to 24 years,,17160,,9280,,1745,,2305,,4895,
Age characteristics,    25 to 29 years,,21455,,9715,,1745,,1455,,4900,
Age characteristics,    30 to 34 years,,22270,,10245,,2310,,1370,,5975,
Age characteristics,    35 to 39 years,,19380,,10730,,2480,,1965,,6850,
Age characteristics,    40 to 44 years,,16505,,10355,,2555,,2375,,6240,
Age characteristics,    45 to 49 years,,15510,,10430,,2720,,2970,,6130,
Age characteristics,    50 to 54 years,,16395,,11480,,2735,,3520,,6805,
Age characteristics,    55 to 59 years,,17380,,11080,,2635,,3325,,6890,
Age characteristics,    60 to 64 years,,15475,,10055,,2200,,3175,,6375,
Age characteristics,  65 years and over,,44110,,24270,,4840,,12575,,14615,
Age characteristics,    65 to 69 years,,13615,,8390,,1655,,2965,,4895,
Age characteristics,    70 to 74 years,,11045,,6290,,1285,,2835,,3940,
Age characteristics,    75 to 79 years,,7240,,4050,,910,,2515,,2470,
Age characteristics,    80 to 84 years,,5730,,2880,,585,,1875,,1610,
Age characteristics,    85 years and over,,6475,,2660,,415,,2395,,1690,
Age characteristics,      85 to 89 years,,3840,,1735,,275,,1260,,1075,
Age characteristics,      90 to 94 years,,2040,,730,,105,,915,,450,
Age characteristics,      95 to 99 years,,530,,175,,30,,195,,140,
Age characteristics,      100 years and over,,75,,20,,0,,25,,25,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,,100,,100,,100,,100,
Age characteristics,  0 to 14 years,,13,,15.1,,16.5,,14,,17.7,
Age characteristics,  15 to 64 years,,69.3,,68.6,,69.1,,57.5,,66.3,
Age characteristics,  65 years and over,,17.7,,16.3,,14.4,,28.5,,16.1,
Age characteristics,    85 years and over,,2.6,,1.8,,1.2,,5.4,,1.9,
Age characteristics,Average age of the population,,42,,41.4,,40.7,,47.6,,40.8,
Age characteristics,Median age of the population,,40.4,,41.6,,41.6,,50.8,,41.2,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,101140,,55945,,13110,,17690,,33100,
Household and dwelling characteristics,  Single-detached house,,19080,,19705,,3940,,9835,,17410,
Household and dwelling characteristics,  Semi-detached house,,2885,,1635,,405,,520,,945,
Household and dwelling characteristics,  Row house,,8770,,5510,,2605,,400,,4405,
Household and dwelling characteristics,  Apartment or flat in a duplex,,16650,,8590,,1045,,1520,,4375,
