Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HealthyControl_01	HealthyControl_02	HealthyControl_03	HealthyControl_04	HealthyControl_05	Patient_01	Patient_02	Patient_03	Patient_04
A0A0C4DH31	A0A0C4DH31	HV118_HUMAN	IGHV1-18	NA	32235.38316	30652.27649	67408.05293	89463.82719	35463.64514	24349.85451	22581.60336	42216.49963	31851.45889
P35527	P35527	K1C9_HUMAN	KRT9	NA	72004.48861	11744.19728	39788.42033	22210.34144	110704.3577	89624.89754	89867.30227	90023.59839	22910.54154
P02042;P68871	P02042;P68871	HBB_HUMAN;HBD_HUMAN	HBB;HBD	NA	14173.40142	3296.064871	17332.74342	5676.013733	11172.39833	14455.9767	NA	12886.93161	7565.47162
O75636	O75636	FCN3_HUMAN	FCN3	NA	14939.83497	6031.736139	17970.00731	4404.379626	23579.58269	21169.16543	12888.44114	21210.4319	8166.515503
P05156	P05156	CFAI_HUMAN	CFI	NA	11680.96904	5655.774606	17420.45126	9192.886346	13034.63395	22146.87753	72732.89005	25632.9766	6862.551079
P01861	P01861	IGHG4_HUMAN	IGHG4	NA	NA	NA	NA	NA	NA	15019.64175	NA	NA	13145.3388
P01742	P01742	HV169_HUMAN	IGHV1-69	NA	8104.557229	12251.93944	15401.78894	5127.97988	13036.74401	16399.71933	6196.484489	7942.470848	18298.91072
Q9Y6R7	Q9Y6R7	FCGBP_HUMAN	FCGBP	NA	9200.707821	8037.120182	6620.344674	7952.091679	11548.72787	12704.26163	12266.99429	19101.81347	11475.50261
P01772	P01768;P01772;P0DP02;P0DP03	HV333_HUMAN	IGHV3-33	NA	270.5430377	702.2970592	452.0606985	255.8614449	468.8868388	2345.143775	5017.342238	57.0887038	1901.07448
P22792	P22792	CPN2_HUMAN	CPN2	NA	3021.680825	1941.798358	2939.751909	779.1567339	1836.357019	41093.02687	18533.06746	27482.79418	66754.92317
A0A075B6S6;P06310	P01615;A2NJV5;P01614;P06310;A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7	KV230_HUMAN;KVD30_HUMAN	IGKV2-30;IGKV2D-30	NA	5162.012878	5185.583608	4337.619678	2567.850368	10244.68173	15554.10585	2790.172788	6287.255842	9326.992649
P36980	P36980	FHR2_HUMAN	CFHR2	NA	47791.95612	54740.20924	70646.16004	34421.29706	29407.76066	33422.83624	25328.49935	41951.05694	69764.84387
Q02985;Q92496	Q02985;Q92496	FHR3_HUMAN;FHR4_HUMAN	CFHR3;CFHR4	NA	4423.586245	5548.118581	NA	4641.652513	2829.148585	34394.41077	46683.26082	59968.21826	37837.46549
P00746	P00746	CFAD_HUMAN	CFD	NA	4326.569433	2064.997207	1510.883138	1099.403841	1797.820092	9211.363156	4437.244909	7117.997645	13505.78105
P02538;P04259;P19013;P35908	P02538;P04259;P19013;P35908;P48668;Q01546	K22E_HUMAN;K2C4_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN	KRT2;KRT4;KRT6A;KRT6B	NA	73885.26714	65608.37286	64416.99683	45658.79542	45160.23439	96323.72174	103403.1117	127487.3744	130833.7312
P01599	P01599	KV117_HUMAN	IGKV1-17	NA	4135.755964	2149.882931	4426.671	NA	2509.826394	7306.171935	5946.996293	4778.258849	2846.530147
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	NA	7813.404627	7394.421809	22561.85695	NA	4206.327572	5812.382253	5266.392254	9705.642335	1996.519704
Q15582	Q15582	BGH3_HUMAN	TGFBI	NA	15988.90579	37830.18431	31439.01491	66250.76677	85718.21628	4762.731132	2890.36875	9668.820387	5539.123329
Q14624	Q14624	ITIH4_HUMAN	ITIH4	NA	375.4150674	822.4107868	699.4117316	613.2921027	515.7145383	58249.72287	56015.08409	93576.44349	66453.65005
