"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","12/20/2021","10:50 AM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOise0_amiens_plate2_20211220"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_28plex"
"ProtocolVersion","3"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","12/20/2021 11:44:15 AM"
"BatchStopTime","12/20/2021 12:15:53 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","28"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 12/20/2021 10:56:41"
"Last VER Verification","Passed 12/20/2021 10:57:43"
"Last Fluidics Test","Passed 12/20/2021 10:59:02"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B81409","05/21/2022","12/20/2021 10:56:41 AM","26.3","26.3","26.3","26.3","167","207","313","313","0.00709","0.00709","0.00395","0.11616","Pass","MAGPX16145704"


"Samples","49","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","19","22","25","21.5","24","22","21","31","22","30","26","29","26","21.5","20","29","20","20","21","29.5","26","29","21","46.5","24","25.5","21","35.5","1817"
"2(1,A2)","S","12722.5","1839","6680","6251","13244.5","3606","1858.5","1446.5","6129","3182","4876.5","8723","1917","4881","11108","13583","1333.5","17576","13721.5","13249","4305","5791.5","1883","12289","6180.5","1101","2546","2684","1772"
"3(1,A3)","S","9163.5","1219","4096.5","3423","9488.5","2087","1367","763.5","3565","2438","2919","6179.5","1110","2637","7673","9403.5","812","13597","13325","9153.5","2452.5","3366.5","1167","8531","3676","721","1595","1703","1797"
"4(1,A4)","S","6735","806","2419","2554","7020","1497","1075","462","2422","2021","2148","4889","666","1752","5610.5","7763","540","11582","11045.5","7302","2071.5","2434","794","7014.5","2313","516.5","1109.5","1258","1800"
"5(1,A5)","S","3510","388.5","1200","1064","3425","704","648","193","1277.5","1247","1012","2207","317","790","2425","3442","291.5","6340.5","5667.5","3061","802","1129","397","3267","1068","259","529","624.5","1766"
"6(1,A6)","S","2277","239","769","801","2224","480.5","458","138","821.5","938","667","1625","202","515","1655.5","2361","170","4317","4244","2138","607","763.5","245.5","2482","668.5","165","329","383","1794"
"7(1,A7)","S","1158","126.5","401","356.5","1252","249","248","85","392","485.5","314","691","114.5","259.5","745","1187","113","2062","1815","1151","387","385.5","128.5","1301","337","96","172","213","1957"
"8(1,A8)","S","624.5","80","205","191","653.5","134","146","57","230","276","149","354","69","137","403.5","662","63.5","1195.5","928.5","524","192","218","75","779","180","58","92","122","1848"
"9(1,A9)","S","346.5","53","118.5","112","372","82.5","86","48.5","125","157","94.5","184.5","47","77.5","221","354","41","631.5","517","306","120","122.5","51","414","106","45","58","77","1766"
"10(1,A10)","S","206","37","75","67","205","54","56","39.5","75","101","59.5","121","39","49","126","209.5","31","355","276.5","177","70","77.5","37","249","66","34","41","59","1717"
"11(1,A11)","S","111","36","55","50","125","42.5","43","38","58","73","48","86","36","41.5","85","124","31","199","169","114.5","52","61","35","163","51","35","35","55","1821"
