"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","3/23/2024","5:36 AM"

"SN","MAGPX15265701"
"Batch","Chul.(SET1)_RTSS_23_March_2024_IgG3_AK"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Chul.(SET1)_RTSS_23_Mar_2024_TotalIgG_JN"
"ProtocolVersion","2"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","100 uL"
"SampleWash","Off"
"BatchStartTime","3/23/2024 10:43:37 AM"
"BatchStopTime","3/23/2024 11:55:10 AM"
"BatchDescription","<None>"
"ProtocolPlate","Name","fisherband #125665501","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","10"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 3/22/2024 9:13:06 AM"
"Last VER Verification","Passed 3/23/2024 3:06:41 AM"
"Last Fluidics Test","Passed 3/23/2024 3:08:01 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"C03633","8/29/2025","3/22/2024 9:13:06 AM","28.7","28.7","28.7","28.7","202","223","395","395","0.007","0.007","0.00387","0.11453","Pass","MAGPX15265701"


"Samples","87","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Total Events"
"1(1,A1)","Background0","4","9","20","6","4","7","4","6","5","4.5","1060"
"2(1,B1)","African-Mix-Standard01","653.5","17","30","10","6","45","1939.5","10","60","25.5","771"
"3(1,C1)","African-Mix-Standard02","265","14","28","10","7","27","798","10","33","18","847"
"4(1,D1)","African-Mix-Standard03","107","13","24","9","7","18","316","10","19.5","12","908"
"5(1,E1)","African-Mix-Standard04","44","9","20","7","4","11","115","6.5","11","7","1049"
"6(1,F1)","African-Mix-Standard05","20","10","21","7","4","9","50","6","9","7","1036"
"7(1,G1)","African-Mix-Standard06","11","9","19","7","5","9","21","6","8","5","1050"
"8(1,H1)","African-Mix-Standard07","8","9","20.5","6","4","7","12","6","6","5","958"
"9(1,A2)","Background0","4","9","18.5","6","5","7","4","6","5","4","988"
"10(1,B2)","African-Mix-Standard01","592","17","32","10","5","44","1827","11","51.5","27","793"
"11(1,C2)","African-Mix-Standard02","258.5","15","27","9","6","26","789","9","28","16","1009"
"12(1,D2)","African-Mix-Standard03","99","11","22","8","5","15","297","7","16.5","10","904"
"13(1,E2)","African-Mix-Standard04","39","10","21","7","4","11","110.5","7","11","8","914"
"14(1,F2)","African-Mix-Standard05","18","9","20","7","4","10","47.5","6","9","6","864"
"15(1,G2)","African-Mix-Standard06","10","9","19","7","4","8","20","6","6","5","1133"
"16(1,H2)","African-Mix-Standard07","7","9","19","7","4","8","12","7","6","5","883"
"17(1,A3)","Healthy-control-negative","7.5","10","20.5","6.5","5","8","5","7","32","11","880"
"18(1,B3)","Healthy-control-negative","7","10","20","7","4","8","5","6.5","32","13","773"
"19(1,C3)","RCM-002","7341","181","28","10","8","70","622","14","18","25","819"
"20(1,D3)","RCC-002-T01","87","17","22","10","5","12","8","10","15","6","941"
"21(1,E3)","RCC-002-T07","46","23","22","14","8","17","12","20","11293","15","872"
"22(1,F3)","RCC-002-T08","16","43","21","16","6","32","14","21","638.5","11","811"
"23(1,G3)","RCM-004","1779","45.5","26","12","10","3032.5","226.5","15","26","14","1109"
"24(1,H3)","RCC-004-T01","23","14","3617.5","9","5","16","8","12","20","6","813"
"25(1,A4)","RCC-004-T07","19","18","7026","9","5","12","12","12","3139","7","1090"
"26(1,B4)","RCC-004-T08","10","17","1989","10","5","13","13.5","12","127","6","673"
"27(1,C4)","RCM-006","639","22","49","14","8","94","11960","15","823.5","23","764"
"28(1,D4)","RCC-006-T01","8","104","30","10.5","5","14","8","16","14","37.5","825"
"29(1,E4)","RCC-006-T07","16","6614","43","13","7","13","8","13","14135.5","11","723"
"30(1,F4)","RCC-006-T08","16","5124","31","13","6","14.5","8","12","1909","9","1055"
"31(1,G4)","RCC-007-T07","12","24","62","14","7","13","7","13","5535.5","7","949"
"32(1,H4)","RCC-007-T01","13","105","190.5","9","5","13","7","11","8","6","923"
"33(1,A5)","RCC-007-T08","83.5","23","33","9","6","12","7","9","122.5","6","851"
"34(1,B5)","RCM-008","115","13","20","8","6","4890.5","48","9","116.5","8","981"
"35(1,C5)","RCC-008-T01","65","18","35","7","5","12","5","8","7","5","871"
"36(1,D5)","RCC-008-T07","12","27","34","7","5","10","5","8","1339.5","6","1075"
"37(1,E5)","RCC-008-T08","10","20","24","8","5","10","5","9","46","6","890"
"38(1,F5)","RCM-009","41","23","31","15","9.5","20","12","17","169","39","927"
"39(1,G5)","RCC-009-T01","75","16.5","32","13","13","15","13","23","13","8","787"
"40(1,H5)","RCC-009-T07","34","13","38","8","6","10","6","9","5462","6","957"
"41(1,A6)","RCC-009-T08","19","10","31","9","5.5","11","7","9","227.5","6","992"
"42(1,B6)","RCM-010","2554.5","20","39","14","8","9383","10004","23","1874","28","904"
"43(1,C6)","RCC-010-T01","8","12","92.5","8","5","11","13","9","12","6","944"
"44(1,D6)","RCC-010-T07","8","11","44","10","5","10","13","8","9118.5","8","945"
"45(1,E6)","RCC-010-T08","8","12","36","10","4","13","11.5","10","465","6","818"
"46(1,F6)","RCM-011","1088","202","64.5","13","8","34","1188.5","566","1846","67","1018"
"47(1,G6)","RCC-011-T01","16","156","24","11","8","17","13","18","10","7","903"
"48(1,H6)","RCC-011-T07","9","26","27","11","6","14","8","15","18966","10","789"
"49(1,A7)","RCC-011-T08","8","25","23","9","6","12","9","22","2167","9","1078"
"50(1,B7)","RCM-012","93","57.5","22","10","8","18.5","30","19","328","79.5","978"
"51(1,C7)","RCC-012-T01","429","103","23","9","7","101","10","12","8","6","1033"
"52(1,D7)","RCC-012-T07","167","39","21","9","6","18","10","9","15495","8","1082"
"53(1,E7)","RCC-012-T08","161","44.5","22","8","4","14","7","8","1547","6","917"
"54(1,F7)","RCM-019","1287","1388.5","29","10","8","8847","5107","11","176","33","1045"
"55(1,G7)","RCC-019-T01","566","101","294","30","38","42","42.5","64","45","19","1052"
"56(1,H7)","RCC-019-T07","274.5","38","389.5","11","8","13","12","13","17529","9","1178"
"57(1,A8)","RCC-019-T08","190.5","39","194.5","11","6","11","10","24","1547","9","1130"
"59(1,C8)","RCM-020","1157.5","20","23","7","5","96","16","69","138","15","1135"
"60(1,D8)","RCC-020-T01","19","104","116","10","8.5","13","10","15","13","7","989"
"61(1,E8)","RCC-020-T07","19","22","562","8","6","10","8","9","7123","7","1050"
"62(1,F8)","RCC-020-T08","9","15","119","7","5","9","6","8","418.5","5","1037"
