Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1324.0,,,,,,,,,,,,,,,
Date,3/25/24,8:18 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX15265701,,,,,,,,,,,,,,,
Batch,Chul.(SET2)_RTSS_25_Mar_2024_TotalIgG_AM,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,Chul.(SET2)_RTSS_25_Mar_2024_TotalIgG_AM,,,,,,,,,,,,,,,
ProtocolVersion,3,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleVolume,100 uL,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
BatchStartTime,3/25/24 8:32,,,,,,,,,,,,,,,
BatchStopTime,3/25/24 9:44,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,fisherband #125665501,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,10,,,,,,,,,,
ProtocolReporterGain,N/A,,,,,,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 3/25/2024 7:33:23 AM,,,,,,,,,,,,,,,
Last VER Verification,Passed 3/25/2024 7:34:26 AM,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 3/25/2024 7:35:45 AM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
C03633,8/29/25,3/25/24 7:33,27.1,27.1,27.1,27.1,203,220,397,397,0.00705,0.00704,0.00391,0.11537,Pass,MAGPX15265701
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,88,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,AMA1,pp28,Schisto,pp65,BSA,MSP1,HRPII,CelTos,CSP,PfGarp,Total Events,,,,
"1(1,A1)",Background0,16,10,22,7,5,15,7,7,10,6,850,,,,
"2(1,B1)",African-Mix-Standard01,7949,942,140,95,74,1226,2036,125,482,425,967,,,,
"3(1,C1)",African-Mix-Standard02,3175.5,321,109.5,60,40,566,1015,71,277,238,945,,,,
"4(1,D1)",African-Mix-Standard03,1776.5,179,99.5,36,26,288,446,42,132.5,112,997,,,,
"5(1,E1)",African-Mix-Standard04,957.5,115,93.5,24,19,169.5,264,29,91,71,1137,,,,
"6(1,F1)",African-Mix-Standard05,688,77,86.5,20,14,115.5,169,21,65,57,1028,,,,
"7(1,G1)",African-Mix-Standard06,403,42,85,13,12,68,102.5,15,58,34,920,,,,
"8(1,H1)",African-Mix-Standard07,174,26,89,10,9.5,42,49,13,25,22,1336,,,,
"9(1,A2)",Background0,18.5,10,22,7,6,15,6,7,10,6,859,,,,
"10(1,B2)",African-Mix-Standard01,7565.5,874,133.5,100,67.5,1291.5,1889.5,123.5,496,483,893,,,,
"11(1,C2)",African-Mix-Standard02,4302,344.5,115,57,41,612,998,72,292,235,1004,,,,
"12(1,D2)",African-Mix-Standard03,1512.5,184,95,37,24,293,508,41,138.5,110,1037,,,,
"13(1,E2)",African-Mix-Standard04,1199,130,82,29,18,199,327,30.5,107,85.5,894,,,,
"14(1,F2)",African-Mix-Standard05,579,65,87.5,18,15,96.5,146,20,101,44,1015,,,,
"15(1,G2)",African-Mix-Standard06,271,36,96,13,12,61,85,16,36.5,27,939,,,,
"16(1,H2)",African-Mix-Standard07,154,24,99,11,11,41,47,13,29,23,1126,,,,
"17(1,A3)",Healthy-control-negative,155.5,85,131,96,77,110.5,159,86,258,151,865,,,,
"18(1,B3)",RCM-037,5056,2053,2081,252,176,378,988.5,352,872,394,1023,,,,
"19(1,C3)",RCC-037-T01,263,6888.5,159.5,158,34,245.5,476,185.5,97,113,1051,,,,
"20(1,D3)",Empty,18,10.5,21.5,7,5,15,6,6,11,6,829,,,,
"21(1,E3)",RCC-037-T07,172,4159,84,60,28,115,499.5,110,32587.5,84,882,,,,
