Program,xPONENT,,MAGPIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,05/11/2022,4:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,MAGPX16145704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch,IgG_CovidOiseS4_30plex_plate1_20220511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator,mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolName,Covid_30plex_new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleVolume,65 uL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BatchStartTime,5/11/2022 5:03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BatchStopTime,5/11/2022 6:05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,30,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 05/09/2022 12:07:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last VER Verification,Passed 05/09/2022 12:08:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 05/09/2022 12:10:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo,,,,,,,,,,,,,,,
B83445,09/15/2022,5/9/2022 12:07:47 PM,26,26,26,26,163,205,310,310,0.00721,0.0071,0.00394,0.11668,Pass,MAGPX16145704,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samples,96,Min Events,50,Per Bead,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Sample,Spike_6P,ME,HKU1_S,OC43_NP,OC43_S,HKU1_NP,229E_NP,Mumps_NP,RBD_B16171,NL63_NP,RBD_B16172,RBD_wuhan,NL63_S,229E_S,Spike_B16172,Spike_B117,Measles_NP,Ade5,NP,Spike_P1,Rub,Ade40,RBD_B117,Spike_B1351,FluA,RBD_B1351,RBD_P15,S2,Spike_omicron,Total Events
"1(1,A1)",B,27,35,31.5,28,48,29,36,45.5,25,29,17,38,33,46,33.5,36,27,29,37,37,44.5,43.5,29,34,23,28,23.5,33,39.5,1887
"2(1,A2)",S,11893.5,1147.5,4332,3833.5,3217,2318,1718.5,796.5,1692,3464.5,2259,5267.5,1386,4103.5,8147,10746.5,1299,15644,13368.5,10832,3390,4601,1866.5,7971,5709,1065,1515,2879,2625.5,1713
"3(1,A3)",S,9723,744.5,2574,2222,1989.5,1499,1267,444,996,2710,1449,3915.5,815,2337,6021,8131,835,13420.5,11954.5,8091,2273,2679.5,1181.5,6112,3334.5,564,838,2032.5,1726,1870
"4(1,A4)",S,6443.5,410.5,1522,1335,1181.5,926,908,240,518,1963.5,768.5,2372,452,1351.5,3601,5483.5,465.5,10245,8128,5239,1445.5,1622,672,4163.5,1937,317.5,467,1209.5,1015,1611
"5(1,A5)",S,4048,263.5,900,756,719.5,556,613.5,148.5,303,1465,425,1378,261,772.5,2140.5,3027,291,7029,5562,2900.5,945.5,973,379,2444,1086,190.5,249.5,712,597,1520
"6(1,A6)",S,1948.5,147,489.5,420,387,331,366,93,146,933,208,780,152,417,1228,1838,150,3934.5,2962.5,1677,543,536,198.5,1439,572,99,140,363,328,1926
"7(1,A7)",S,1273.5,90,269,221,225,192.5,223,70,84,525,116,396.5,94,241,688.5,1080,89.5,2177,1683,949,337,308,112,818.5,298,66,79,205,186,1786
"8(1,A8)",S,749,67,158,136,136,115,145,57,61,304,63.5,217.5,66,144,399.5,606,60,1340.5,990,538,197,182,71.5,497,173,49.5,51,122,115,1928
"9(1,A9)",S,392,52.5,100,86,93,82,92.5,51.5,44,180,41,126,52,100,217,340,43.5,744.5,540.5,296,129,114,50.5,284,98,38.5,39,78.5,81,2068
"10(1,A10)",S,202,42,67,57,71,56,63,51,34,106,28,83,42,70,124,183,36,379,283,164,87.5,81,41,159,59,34,29,58,59,1821
"11(1,A11)",S,118.5,39,49,42.5,60.5,43,53,46,30,71,26,60,40,63,77.5,111.5,31,212,159,107,70,62,35,110,44,32,26,44.5,45,1947
"12(1,A12)",S,47.5,37,38,31.5,50,33,41,45,26,38,18.5,42.5,36.5,48,43,54,28,76.5,64,55,51,47,33,53,28,31,26,36,41,1833
"13(1,B1)",Unknown2,14211,412,4773,471.5,3243,1073,1252.5,107,2381,2418.5,3106,7029.5,559,1419.5,9718.5,13339,1283.5,11700,587,13414,2219.5,6962,3840,10567,10180,2994,3766.5,2157,5615,1610
"14(1,B2)",Unknown10,22503,551,1389.5,615,841,915,1522,2428,7906,2728,8852.5,12165.5,849,2276,17857,20625,696,13755,562.5,18150,4303,5128,7891.5,16426.5,10224,7201,9231,4138,12888,1532
"15(1,B3)",Unknown18,27940,1069.5,3223,1240,1175.5,844.5,1576,336.5,13918.5,3332.5,15378,16767,846,897,25730,26538,869,6412,601.5,25705,1734,2441,12329,25624,7807.5,13695.5,15812,8009.5,21215,1628
"16(1,B4)",Unknown26,25740,809,914,631,1043,681.5,709.5,209,10983,1510.5,12458,14175,730.5,971,22210,25170,226.5,2144,8243,23548.5,1762,512.5,10207,21525,1763.5,11068,12556.5,3300,19475,1734
"17(1,B5)",Unknown34,24499.5,1523,2955,1655,4098.5,527,494,225.5,7156,1001,9124.5,13149,1199,5633,20602,23187,765.5,11318.5,17405,22749,2970,752,7641.5,20102.5,8275.5,6528,8706,6762.5,14775,1681
"18(1,B6)",Unknown42,20020.5,887.5,1385,1411.5,883.5,665,901,180,10200.5,1745,11219,12514,830,3664,20387,21207.5,754,15714,2291,21453.5,2657,1487,9577,21479,3886,9514.5,11498,7343,17370,1826
"19(1,B7)",Unknown50,18649.5,1033.5,1641,8973,4639,1872.5,1386.5,415,3448,3410,6188,9594,1057,1664,14890,17933,1297,6794,1142.5,14428,3092.5,2531.5,5607.5,11346,7629,2701,3653.5,3174,6206,1645
"20(1,B8)",Unknown58,5097,565,961,1539,1992,1485,3029,226,667.5,5136,856,2093.5,757.5,1173,2781.5,6957,1195.5,13739,284,7489,1856.5,2276,1074,5026,14460,812,879.5,1340.5,2527,1772
"21(1,B9)",Unknown66,20346,816,1780,609,1628.5,456,586.5,270,5608,1022,5782,10305,539.5,884,14716,20117.5,261,15700,12296.5,20070,1628,1924,6566,16547,1229.5,6458.5,7506,4846.5,12826,1513
"22(1,B10)",Unknown74,25148,707,2481,1014.5,1023.5,1131,2454,287,9741,2567,11206,13951.5,906.5,3234,20737.5,23406,1643.5,13863,965,22107,3895.5,3684,9396.5,20843,2320.5,10106,12136,4363.5,18675.5,1704
"23(1,B11)",Unknown82,26076.5,790,2059.5,1179,430,996,707.5,363.5,9928.5,1301,11514,14476.5,284,1210,22120.5,24382,228,4713,274,23855,1216,1056,9516,21010,510,9016.5,11129,6160.5,15216,1777
"24(1,B12)",Unknown90,22021,916,3235,1883,1853.5,661,686,396,11826.5,1473,13007,12788,839,1729,21211,22759,350,8396,3192.5,22357,2897.5,914,10668.5,22193,4749,11356.5,13297,5260,19554.5,1666
"25(1,C1)",Unknown3,27216.5,1621.5,1167,1191,1143,624,790,345.5,10996,1233,12720.5,15184,1235,4555.5,23849,24814,2322,15153.5,14911,22441,2658,754,9542,21648,9275,9272,11189,4192.5,19528.5,1779
"26(1,C2)",Unknown11,340,569,2757.5,4769,12120.5,810,639,98.5,86,1294,74.5,105,119,224.5,338,1167.5,259,945,143,926,2453,196,98,674,4881.5,93.5,97.5,439.5,242,1666
"27(1,C3)",Unknown19,25196.5,791,2833,598,866,738,1879.5,167.5,7545,4114,8332,11510.5,374,829,21217,23780,920,6303,1981,24126,2864,2500,6959,21192,6540,6766,9042,7865,13232,1812
"28(1,C4)",Unknown27,21727,1742,2002.5,9132,2690.5,708.5,1107,381,5512,2611,6832,10215,673,937,18120,20027,523,13256.5,12657,19477.5,3596,5927,5834,16235.5,6305,4663,6193,4713,11229,1889
"29(1,C5)",Unknown35,25984,653,2576,666,3604.5,713,751,229,11364,1786,12794.5,15196,820,2747.5,23228.5,25654,248,19151.5,1757,23857,1441.5,2149.5,10894,22641,5902,11304.5,14020,3632,20321,1931
"30(1,C6)",Unknown43,21069.5,559,4950,360,842.5,315,399,102,5063,742,7024,10448,375,1221,18338.5,20748,1011,13581,359,19823.5,2618,3252,5864,15161,1487.5,3973,4687,5651,8570.5,1779
"31(1,C7)",Unknown51,20163,348.5,1339,766,702,249,204,153,3117,362,3486,8869.5,469,844.5,13086,17327,2415.5,4398,667,15481,4435.5,482,5212.5,14903,6440,4684.5,5750.5,2147.5,12026,1520
"32(1,C8)",Unknown59,15052.5,391.5,1021,1078.5,1097,708,873,206,3093.5,2016,4607,7794,204,663,11770,15558,1782,4794.5,258,14799,870.5,391,4841.5,11904,8814,3843,4420,1802.5,6740.5,1992
"33(1,C9)",Unknown67,21622.5,491,3116,850.5,799,752,1134,328,6691.5,2100,7785,11145,439.5,2625.5,17044,20909.5,2053,10460,322,20200,4034.5,2405,6458,16921.5,603,6417,7674.5,4642.5,12398,1658
"34(1,C10)",Unknown75,22475,482,1763,690.5,1256,566.5,750,223,6517,1309,8203.5,12120.5,961,1168.5,17704,21392.5,695.5,10170,1145,18999.5,1846,802.5,7343,14708.5,5921,5018,6734,4558,10317.5,1617
"35(1,C11)",Unknown83,25066,697.5,1343,1580,1096.5,1032,955,611.5,9730.5,1813,10955,13493.5,747,3731,21703,23359,621,9552,4816.5,21165,3751.5,1847.5,9193,20592,2404,9743,11602,2488,18332.5,1850
"36(1,C12)",Unknown91,26011,1051,1274.5,2260,943,1411.5,1514,512.5,7770,2678,9186.5,13306,1407,3439,19992.5,23609.5,854,15298.5,437,22310,2003.5,3032.5,8102,18364,2982,7427,9151,4365.5,13803,1562
"37(1,D1)",Unknown4,25505,555,1900,897,997,412,603.5,360,10984,1333,12481,14150,391,2231.5,23082,24755,1589,7716.5,270,23183,3651.5,1964,10105,22899,13648,10777.5,12970,4591.5,19894,1646
"38(1,D2)",Unknown12,26885,957,953.5,498,389.5,569,986,256.5,10573,2396,11727,14868.5,509.5,1273,22738,24396.5,1532,11291,16350,23716,1318,821,9195,22613,8536,9670,11787.5,2955,19826,1448
"39(1,D3)",Unknown20,27570,569,1021.5,827,2087,506,899,166.5,10755,2535.5,12509.5,15554,542.5,1089,22603,24688,292.5,4678,3192.5,22820,1222,5114,10228,21347.5,961.5,9890,12113,4329.5,18596.5,1584
