Program,,,MAGPIX,,,,,,,,,,
Build,xPONENT,,,,,,,,,,,,
Date,3.1.871.0,00:00,,,,,,,,,,,
,01/07/2024,,,,,,,,,,,,
SN,,,,,,,,,,,,,
Batch,PvSTATEM1234,,,,,,,,,,,,
Version,test_plate,,,,,,,,,,,,
Operator,1,,,,,,,,,,,,
ComputerName,,,,,,,,,,,,,
Country Code,test,,,,,,,,,,,,
ProtocolName,616,,,,,,,,,,,,
ProtocolVersion,test,,,,,,,,,,,,
,1,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,
Last VER Calibration,,,,,,,,,,,,,
Last CAL Calibration,Passed 01/07/2024 00:00:00,,,,,,,,,,,,
Last Fluidics Test,Passed 01/07/2024 00:00:00,,,,,,,,,,,,
,Passed 01/07/2024 00:00:00,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,
Lot,,CalibrationTime,DDTemp,CL1Temp,CL2Temp,DDVolts,CL1Volts,CL2Volts,DDRVal,CL1RVal,CL2RVal,Result,MachineSerialNo
,ExpirationDate,,,,,,,,,,,,
,,,,,,,,,,,,,
Samples,,Min Events,50,Per Bead,,,,,,,,,
,8,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
DataType:,,,,,,,,,,,,,
Location,Median,Etramp5_ag1,Etramp4_ag1,AMA1,,,,,,,,,
1(1,Sample,BLANK,20,21,23,,,,,,,,
2(1,A1),test1,1292,1389,1414,,,,,,,,
3(1,A2),test2,1430,1435,867,,,,,,,,
4(1,A3),test3,657,2031,1300,,,,,,,,
5(1,A4),CP3 1/50,1486,1437,1893,,,,,,,,
6(1,B1),CP3 1/250,130,87,90,,,,,,,,
7(1,B2),CP3 1/1250,78,67,64,,,,,,,,
8(1,B3),CP3 1/6250,65,60,64,,,,,,,,
,B4),,,,,,,,,,,,
DataType:,,,,,,,,,,,,,
Location,Count,Etramp5_ag1,Etramp4_ag1,AMA1,,,,,,,,,
1(1,Sample,BLANK,100,121,143,,,,,,,,
2(1,A1),test1,102,104,105,,,,,,,,
3(1,A2),test2,130,135,67,,,,,,,,
4(1,A3),test3,57,231,100,,,,,,,,
5(1,A4),CP3 1/50,86,37,193,,,,,,,,
6(1,B1),CP3 1/250,130,87,90,,,,,,,,
7(1,B2),CP3 1/1250,53,47,65,,,,,,,,
8(1,B3),CP3 1/6250,85,50,54,,,,,,,,
,B4),,,,,,,,,,,,
DataType:,,,,,,,,,,,,,
Alyte:,Per Bead Count,Etramp4_ag1,AMA1,,,,,,,,,,
BeadID:,Etramp5_ag1,75,34,,,,,,,,,,
Per Bead:,73,50,50,,,,,,,,,,
,50,,,,,,,,,,,,
DataType:,,,,,,,,,,,,,
UserId,Audit Logs,Message,,,,,,,,,,,
,Date,,,,,,,,,,,,
DataType:,,,,,,,,,,,,,
Location,Warnings/Errors,Message,,,,,,,,,,,
,Status,,,,,,,,,,,,
-- CRC --,,,,,,,,,,,,,
CRC32: 85C2BFCD,,,,,,,,,,,,,
