Program,xPONENT,,MAGPIX,,,,,,,,,,
Build,3.1.871.0,,,,,,,,,,,,
Date,01/07/2024,00:00,,,,,,,,,,,
,,,,,,,,,,,,,
SN,PvSTATEM1234,,,,,,,,,,,,
Batch,test_plate,,,,,,,,,,,,
Version,1,,,,,,,,,,,,
Operator,,,,,,,,,,,,,
ComputerName,test,,,,,,,,,,,,
Country Code,616,,,,,,,,,,,,
ProtocolName,test,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,
,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,
Last VER Calibration,Passed 01/07/2024 00:00:00,,,,,,,,,,,,
Last CAL Calibration,Passed 01/07/2024 00:00:00,,,,,,,,,,,,
Last Fluidics Test,Passed 01/07/2024 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,DDTemp,CL1Temp,CL2Temp,DDVolts,CL1Volts,CL2Volts,DDRVal,CL1RVal,CL2RVal,Result,MachineSerialNo
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Samples,8,Min Events,50,Per Bead,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,
Location,Sample,Etramp5_ag1,Etramp4_ag1,AMA1,,,,,,,,,
1(1,A1),BLANK,20,21,23,,,,,,,,
2(1,A2),test1,1292,1389,1414,,,,,,,,
3(1,A3),test2,1430,1435,867,,,,,,,,
4(1,A4),test3,657,2031,1300,,,,,,,,
5(1,B1),CP3 1/50,1486,1437,1893,,,,,,,,
6(1,B2),CP3 1/250,130,87,90,,,,,,,,
7(1,B3),CP3 1/1250,78,67,64,,,,,,,,
8(1,B4),CP3 1/6250,65,60,64,,,,,,,,
,,,,,,,,,,,,,
DataType:,Count,,,,,,,,,,,,
Location,Sample,Etramp5_ag1,Etramp4_ag1,AMA1,,,,,,,,,
1(1,A1),BLANK,100,121,143,,,,,,,,
2(1,A2),test1,102,104,105,,,,,,,,
3(1,A3),test2,130,135,67,,,,,,,,
4(1,A4),test3,57,231,100,,,,,,,,
5(1,B1),CP3 1/50,86,37,193,,,,,,,,
6(1,B2),CP3 1/250,130,87,90,,,,,,,,
7(1,B3),CP3 1/1250,53,47,65,,,,,,,,
8(1,B4),CP3 1/6250,85,50,54,,,,,,,,
,,,,,,,,,,,,,
DataType:,Per Bead Count,,,,,,,,,,,,
Alyte:,Etramp5_ag1,Etramp4_ag1,AMA1,,,,,,,,,,
BeadID:,73,75,34,,,,,,,,,,
Per Bead:,50,50,50,,,,,,,,,,
,,,,,,,,,,,,,
DataType:,Audit Logs,,,,,,,,,,,,
UserId,Date,Message,,,,,,,,,,,
,,,,,,,,,,,,,
DataType:,Warnings/Errors,,,,,,,,,,,,
Location,Status,Message,,,,,,,,,,,
,,,,,,,,,,,,,
-- CRC --,,,,,,,,,,,,,
CRC32: 85C2BFCD,,,,,,,,,,,,,
