"t","d","u1","u2","l1","c1"
0.033096262033042,1,-0.3286,0.5383,-0.291,0
1.37447600688004,1,-0.3277,0.0123199161425577,-0.3491,0
0.0421464186842283,1,-0.4298,-0.1275,0.3473,0
0.21418524246239,1,-0.806,-0.0136,0.7328,0
0.575780267207597,1,-0.1819,0.0216,0.9662,0
0.106973238480941,0,0.1168,-0.3576,-0.4363,0
0.0739000101344284,1,0.7784,-0.1303,-0.9463,1
0.00830064731105746,1,1.9129,-0.1101,-0.0479,0
0.000102182485371147,1,0.0666617154811715,-0.2302,0.5176,0
0.0455242115688207,1,-1.2469,-0.233,-0.5178,0
0.595063861404691,1,-0.2669,0.5897,0.5919,0
1.3954456740086,1,0.0902,0.0799,-0.8694,1
0.00300749495492281,1,0.0666617154811715,-0.648,-0.9691,0
0.0160777298291595,1,1.1013,-0.6325,2.2326,0
0.273478100202081,1,-0.0767,0.8146,-0.2342,0
0.92561646067722,1,0.2163,0.6649,-0.47,0
0.229002902540934,1,1.3014,-0.1191,-1.4729,0
0.0231155761345137,1,-0.1082,0.0015,0.8492,0
0.0605789765481615,1,1.0994,0.0123199161425577,-1.0109,0
0.100018048678677,1,0.9425,-0.5762,1.7409,0
0.255226207234011,0,0.9184,-0.1608,-0.431,1
0.0196318089748948,1,-1.2059,0.0123199161425577,0.2838,0
0.310192726725924,1,-0.354,-0.012,0.0598,0
0.783955155881024,1,-1.1795,0.1584,-1.5705,0
0.0339922440586226,1,-1.3505,0.2942,1.1313,0
0.00682198175828428,1,1.7242,0.0123199161425577,0.4555,0
2.00476481771068,1,0.7519,-0.0024,0.155,0
0.18176116028773,1,-1.5964,-0.224,-0.4376,0
0.636084810156379,1,-0.9313,0.0089,0.1722,0
0.0239372419863519,1,-1.1709,-0.1608,0.4354,0
0.021790605281211,1,-0.1093,-0.3751,1.0458,1
0.0566794512868878,1,0.655,0.2789,0.38,0
0.940278072986505,0,0.2096,0.119,-0.7908,0
0.318266332706292,0,0.5818,0.7164,-0.6407,0
0.652062544027947,1,-0.2187,-0.4152,0.1335,0
0.751982910871747,0,0.5934,0.0123199161425577,-1.6633,0
0.514326016852189,1,0.8864,-0.0404,-0.2632,0
0.127020645463785,1,-1.4123,0.0971,-0.2132,1
0.451684075298212,0,0.7747,0.4505,-0.3149,0
0.0817053816965133,1,0.7764,0.3184,0.7046,0
0.0344694684655519,1,-0.748,0.3813,0.6232,0
0.00733248167637943,1,1.7523,-0.085,2.902,0
0.286791860460393,0,-0.1097,-0.6199,-0.1751,0
0.112140835061089,1,0.7364,-0.3393,1.9974,0
0.418410616337963,1,-0.5422,0.2077,0.9354,1
0.0376489714608733,1,0.7642,0.0123199161425577,-0.7409,1
0.0605653215012556,1,0.7209,-0.0902,-0.1856,1
0.00248646858219677,1,1.6947,0.0123199161425577,0.5821,0
0.50276362195988,1,-0.5929,-0.3221,-0.4395,0
0.358170085923195,0,-0.5561,-0.5143,0.0653,0
0.0469221736579736,1,0.9338,0.6518,0.2254,0
0.317945898668894,1,0.7786,0.1852,0.3429,0
0.717066615783306,1,0.7803,-0.3397,0.5282,0
0.978971634015001,1,-0.3709,0.2794,-0.9445,0
3.5865729332681,1,0.7393,0.1407,-0.4452,0
2.66318845207449,1,0.0399,0.659,-0.2161,0
0.865268789047627,1,-0.2102,0.5493,-1.4783,0
0.0340813030217447,1,0.7317,0.1944,-1.2648,0
1.16637909077882,0,-0.1607,-0.6116,-2.4344,1
1.49900305658675,1,-0.2363,-0.3331,-0.6953,0
0.39683810406508,1,1.0593,0.6806,-0.3101,0
0.131684305687695,1,-0.6086,-0.6557,0.4776,0
0.568535923469856,1,-0.7467,-0.4662,1.4943,0
0.193921456264701,1,0.2858,0.0043,-1.1931,0
0.0455352108573138,1,0.7631,-0.0548,1.9569,0
0.261711109374677,1,-0.4116,-0.5861,-0.0198,0
0.829807274675076,1,0.2527,0.1958,0.3057,0
0.184359536746178,1,1.7308,0.1308,0.039,0
0.70027107646231,1,-0.7722,-0.2459,1.307,0
0.109176700895365,1,-1.4274,0.0893,-0.7645,1
0.0306321641611592,1,0.4703,0.6192,0.5711,0
2.89075762738648,1,-0.2545,0.4814,0.0101,0
0.600903100102269,1,-0.0047,-0.1281,-0.9301,1
0.00110518672770661,1,0.0666617154811715,0.87,-0.6979,0
0.83695405800675,1,0.9847,0.4965,-0.5242,0
0.479664957517294,0,-0.3611,0.2871,-1.1873,0
0.712729431255048,0,0.8084,0.2884,0.2901,0
0.420695536016567,1,-0.6456,-0.4509,1.095,0
1.38201306862082,1,-0.2068,0.5348,-1.943,0
0.142868920849865,1,-1.1919,-0.6516,1.8482,0
