$I;LENGTH;LENGTH;$I;DIAMETER;DIAMETER;$I;HEIGHT;HEIGHT;$I;WHOLE_WEIGHT;WHOLE_WEIGHT;$I;SHUCKED_WEIGHT;SHUCKED_WEIGHT;$I;VISCERA_WEIGHT;VISCERA_WEIGHT;$I;SHELL_WEIGHT;SHELL_WEIGHT
1;$I;0.275;0.66;$I;0.195;0.475;$I;0.07;0.18;$I;0.08;1.3695;$I;0.031;0.641;$I;0.021;0.294;$I;0.025;0.335
2;$I;0.305;0.745;$I;0.225;0.58;$I;0.015;1.13;$I;0.1485;2.25;$I;0.0585;1.1565;$I;0.026;0.446;$I;0.045;0.558
3;$I;0.345;0.78;$I;0.26;0.63;$I;0.065;0.23;$I;0.205;2.657;$I;0.0745;1.488;$I;0.037;0.5265;$I;0.07;0.726
4;$I;0.39;0.815;$I;0.3;0.65;$I;0.1;0.25;$I;0.265;2.5085;$I;0.1075;1.232;$I;0.046;0.519;$I;0.0865;0.7975
5;$I;0.395;0.745;$I;0.315;0.6;$I;0.105;0.24;$I;0.3515;2.1995;$I;0.1185;0.8435;$I;0.091;0.4805;$I;0.1195;1.005
6;$I;0.45;0.8;$I;0.38;0.63;$I;0.135;0.225;$I;0.64;2.526;$I;0.158;0.933;$I;0.11;0.59;$I;0.24;0.71
7;$I;0.49;0.725;$I;0.365;0.58;$I;0.125;0.21;$I;0.6835;2.124;$I;0.165;0.815;$I;0.129;0.453;$I;0.205;0.85
8;$I;0.55;0.7;$I;0.465;0.585;$I;0.18;0.215;$I;1.2125;1.8075;$I;0.3245;0.7055;$I;0.205;0.3215;$I;0.475;0.525
9;$I;0.075;0.24;$I;0.055;0.175;$I;0.01;0.065;$I;0.002;0.0665;$I;0.001;0.031;$I;5e-04;0.0135;$I;0.0015;0.017
10;$I;0.13;0.58;$I;0.095;0.45;$I;0;0.15;$I;0.0105;0.8915;$I;0.005;0.495;$I;5e-04;0.1925;$I;0.0035;0.3505
11;$I;0.265;0.67;$I;0.195;0.5;$I;0;0.185;$I;0.084;1.2975;$I;0.0305;0.6035;$I;0.013;0.322;$I;0.025;0.386
12;$I;0.32;0.66;$I;0.245;0.525;$I;0.08;0.19;$I;0.1585;1.6935;$I;0.0635;0.715;$I;0.0325;0.4005;$I;0.05;0.42
13;$I;0.335;0.725;$I;0.26;0.55;$I;0.085;0.22;$I;0.174;2.0495;$I;0.0705;0.7735;$I;0.024;0.4405;$I;0.06;0.655
14;$I;0.44;0.65;$I;0.33;0.525;$I;0.125;0.2;$I;0.435;1.626;$I;0.159;0.6255;$I;0.0705;0.3445;$I;0.1275;0.53
15;$I;0.45;0.58;$I;0.355;0.445;$I;0.12;0.185;$I;0.412;1.178;$I;0.1145;0.3935;$I;0.0665;0.2165;$I;0.16;0.315
16;$I;0.155;0.21;$I;0.11;0.15;$I;0.04;0.05;$I;0.0155;0.0385;$I;0.0065;0.0155;$I;0.003;0.0085;$I;0.005;0.01
17;$I;0.155;0.53;$I;0.115;0.41;$I;0.025;0.155;$I;0.024;0.8085;$I;0.009;0.3205;$I;0.0045;0.1535;$I;0.005;0.35
18;$I;0.205;0.725;$I;0.155;0.57;$I;0.045;0.205;$I;0.0425;2.3305;$I;0.017;1.253;$I;0.0055;0.541;$I;0.0155;0.52
19;$I;0.29;0.78;$I;0.225;0.63;$I;0.06;0.515;$I;0.12;2.7795;$I;0.0415;1.3485;$I;0.026;0.76;$I;0.04;0.675
20;$I;0.35;0.76;$I;0.255;0.605;$I;0.085;0.24;$I;0.2145;2.55;$I;0.1;1.351;$I;0.0465;0.575;$I;0.06;0.76
21;$I;0.425;0.775;$I;0.315;0.595;$I;0.115;0.24;$I;0.3525;2.8255;$I;0.1135;1.1465;$I;0.0565;0.4755;$I;0.13;0.897
22;$I;0.49;0.735;$I;0.38;0.59;$I;0.13;0.23;$I;0.573;2.13;$I;0.225;0.8665;$I;0.124;0.49;$I;0.17;0.58
23;$I;0.515;0.69;$I;0.4;0.54;$I;0.14;0.215;$I;0.7505;1.844;$I;0.2475;0.7425;$I;0.13;0.353;$I;0.255;0.585
24;$I;0.6;0.665;$I;0.495;0.535;$I;0.195;0.225;$I;1.0575;2.1835;$I;0.384;0.7535;$I;0.19;0.391;$I;0.375;0.885
