DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
15P1019,104659,NA,Transmission,MiniPAT,TATLIMITS,,,,,,,,,,10,12,15,17,18,19,20,21,22,23,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,08:10:00 07-Aug-2016,,,,,,,12,100,0,11.1,4.2,8.4,6.3,11.6,1.6,31.6,25.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 08-Aug-2016,,,,,,,12,100,0,4.5,0.7,0,0,0,0.3,3.8,85.1,5.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 09-Aug-2016,,,,,,,12,100,0,0.3,0,0,0,0,0,9.7,89.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 10-Aug-2016,,,,,,,12,100,0,0.7,0,0,0,0.3,5.6,93.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 11-Aug-2016,,,,,,,12,100,0,3.5,0.3,0.3,0,5.2,66.3,24.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 12-Aug-2016,,,,,,,12,100,0,3.1,0.3,0,0,2.1,56.9,37.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 13-Aug-2016,,,,,,,12,100,0,3.1,0.7,0,0,0,12.8,67,7.3,8.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 14-Aug-2016,,,,,,,12,100,0,1,0,0,0,1,21.9,33.7,35.4,6.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 15-Aug-2016,,,,,,,12,100,0,1.4,0,0,1.7,3.5,12.8,34.7,39.6,6.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 16-Aug-2016,,,,,,,12,100,0,14.2,2.1,0.7,1,2.8,4.5,57.6,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 17-Aug-2016,,,,,,,12,100,0,8.3,2.4,1,2.8,1.7,6.6,59,18.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 18-Aug-2016,,,,,,,12,100,0,4.2,2.8,3.8,0.7,0.3,1.4,72.6,14.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 19-Aug-2016,,,,,,,12,100,0,2.8,1.7,0.3,1,0,0.3,9.4,6.6,24.7,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 20-Aug-2016,,,,,,,12,100,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAT,00:00:00 21-Aug-2016,,,,,,,12,100,0,0,0,0,0,0,0,0,0,98.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TADLIMITS,,,,,,,,,,0,2,5,10,20,50,100,200,300,400,600,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAD,08:10:00 07-Aug-2016,,,,,,,12,100,14.2,16.8,26.3,19.5,14.2,2.1,2.6,1.1,3.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAD,00:00:00 08-Aug-2016,,,,,,,12,100,26.7,28.1,26,13.5,2.8,0.7,1,0.7,0,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAD,00:00:00 09-Aug-2016,,,,,,,12,100,11.5,35.4,37.8,14.9,0,0.3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAD,00:00:00 10-Aug-2016,,,,,,,12,100,11.8,19.1,38.5,22.6,7.3,0.3,0.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAD,00:00:00 11-Aug-2016,,,,,,,12,100,14.2,18.8,23.3,25.3,16,1,1.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,NA,Transmission,MiniPAT,TAD,00:00:00 12-Aug-2016,,,,,,,12,100,22.9,31.9,17.7,13.9,10.4,1.7,1.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
