DeployID,Ptt,DepthSensor,Source,Instr,Date,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,MinTemp15,MaxTemp15,%Ox15,Discont15,,,,,
15P1019,104659,,Transmission,MiniPAT,08:00:00 07-Aug-2016,4.00,7,,,, ,8,,0.000000,18.00,23.20,,,24.000000,15.00,21.80,,,104.000000,13.40,14.00,,,176.000000,13.40,13.80,,,192.000000,13.40,13.80,,,288.000000,13.60,13.80,,,328.000000,13.60,13.60,,,384.000000,13.60,13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,,Transmission,MiniPAT,00:00:00 08-Aug-2016,4.00,12,,,, ,16,,0.000000,21.40,23.80,,,16.000000,16.40,22.40,,,48.000000,13.40,14.00,,,80.000000,13.40,13.60,,,128.000000,13.40,13.60,,,160.000000,13.60,13.60,,,176.000000,13.60,13.60,,,208.000000,13.60,13.60,,,240.000000,13.60,13.60,,,272.000000,13.60,13.60,,,304.000000,13.60,13.60,,,336.000000,13.60,13.60,,,368.000000,13.60,13.60,,,424.000000,13.60,13.60,,,432.000000,13.40,13.60,,,472.000000,13.40,13.40,,
15P1019,104659,,Transmission,MiniPAT,00:00:00 09-Aug-2016,4.00,9,,,, ,7,,0.000000,21.80,23.00,,,8.000000,21.60,23.00,,,32.000000,13.60,14.20,,,48.000000,13.60,13.60,,,64.000000,13.60,13.80,,,72.000000,13.60,13.60,,,88.000000,13.60,13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,,Transmission,MiniPAT,00:00:00 10-Aug-2016,4.00,13,,,, ,8,,0.000000,21.00,22.20,,,8.000000,21.00,22.20,,,24.000000,15.20,22.00,,,48.000000,13.60,14.20,,,80.000000,13.40,13.60,,,96.000000,13.40,13.40,,,120.000000,13.60,13.60,,,136.000000,13.60,13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,,Transmission,MiniPAT,00:00:00 11-Aug-2016,5.00,11,,,, ,8,,0.000000,20.00,21.80,,,16.000000,20.00,21.80,,,48.000000,13.80,14.80,,,96.000000,13.40,13.40,,,128.000000,13.40,13.40,,,144.000000,13.40,13.60,,,200.000000,13.60,13.60,,,216.000000,13.60,13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,,Transmission,MiniPAT,00:00:00 12-Aug-2016,5.00,8,,,, ,8,,0.000000,20.00,21.80,,,16.000000,20.00,21.20,,,88.000000,13.40,13.60,,,96.000000,13.40,13.60,,,152.000000,13.40,13.40,,,192.000000,13.60,13.60,,,224.000000,13.60,13.60,,,280.000000,13.60,13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,,Transmission,MiniPAT,00:00:00 13-Aug-2016,5.00,10,,,, ,16,,0.000000,21.00,24.60,,,16.000000,20.60,21.40,,,48.000000,13.40,14.80,,,80.000000,13.40,13.60,,,112.000000,13.40,13.40,,,168.000000,13.40,13.60,,,184.000000,13.40,13.60,,,224.000000,13.40,13.60,,,248.000000,13.40,13.60,,,272.000000,13.40,13.60,,,328.000000,13.40,13.40,,,344.000000,13.40,13.40,,,384.000000,13.40,13.40,,,408.000000,13.40,13.40,,,432.000000,13.40,13.40,,,472.000000,13.40,13.40,,
15P1019,104659,,Transmission,MiniPAT,00:00:00 14-Aug-2016,5.00,9,,,, ,8,,0.000000,20.40,24.00,,,8.000000,19.80,22.20,,,32.000000,13.80,20.00,,,64.000000,13.60,13.60,,,104.000000,13.40,13.60,,,128.000000,13.40,13.60,,,152.000000,13.40,13.60,,,176.000000,13.60,13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,,Transmission,MiniPAT,00:00:00 15-Aug-2016,5.00,11,,,, ,6,,0.000000,19.60,24.20,,,8.000000,18.60,21.80,,,24.000000,14.20,20.60,,,40.000000,13.60,14.20,,,64.000000,13.40,13.60,,,80.000000,13.60,13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019,104659,,Transmission,MiniPAT,00:00:00 16-Aug-2016,5.00,7,,,, ,16,,0.000000,19.00,22.40,,,8.000000,16.80,22.20,,,40.000000,14.00,15.60,,,72.000000,13.60,14.40,,,96.000000,13.60,14.00,,,120.000000,13.60,14.00,,,168.000000,13.40,13.80,,,176.000000,13.40,13.80,,,224.000000,13.60,13.60,,,232.000000,13.60,13.60,,,256.000000,13.60,13.60,,,288.000000,13.60,13.60,,,320.000000,13.60,13.60,,,360.000000,13.60,13.60,,,392.000000,13.60,13.60,,,408.000000,13.60,13.60,,
