WC miniPAT data with spanish date format
DeployID;Ptt;DepthSensor;Source;Instr;Day;Time;LocationQuality;Latitude;Longitude;Depth;DRange;Temperature;TRange
15P1019;104659;;Transmission;MiniPAT;07/abr/16;08:10:00;;;;105;14;14.2;0.25
15P1019;104659;;Transmission;MiniPAT;07/abr/16;08:15:00;;;;85;7.25;14.2;0.25
15P1019;104659;;Transmission;MiniPAT;07/abr/16;08:20:00;;;;72;7.25;14.2;0.25
15P1019;104659;;Transmission;MiniPAT;07/abr/16;08:25:00;;;;23;3.5;16.3;0.25
15P1019;104659;;Transmission;MiniPAT;07/ene/16;08:30:00;;;;46;7;15.1;0.25
15P1019;104659;;Transmission;MiniPAT;07/ene/16;08:35:00;;;;16.5;3.5;18;0.25
15P1019;104659;;Transmission;MiniPAT;07/ene/16;08:40:00;;;;36;3.75;15.5;0.25
15P1019;104659;;Transmission;MiniPAT;07/ene/16;08:45:00;;;;23;3.5;18;0.25
15P1019;104659;;Transmission;MiniPAT;07/ene/16;08:50:00;;;;23;3.5;18;0.25
15P1019;104659;;Transmission;MiniPAT;07/ene/16;08:55:00;;;;23;3.5;17.6;0.25
