"Date/Time","External_Temp_[°C]","Pressure_[dBar]","Validity"
"08/07/2016 08:10:00",14.2,105,1
"08/07/2016 08:15:00",14.2,85,1
"08/07/2016 08:20:00",14.2,72,1
"08/07/2016 08:25:00",16.3,23,1
"08/07/2016 08:30:00",15.1,46,1
"08/07/2016 08:35:00",18,16.5,1
"08/07/2016 08:40:00",15.5,36,1
"08/07/2016 08:45:00",18,23,1
"08/07/2016 08:50:00",18,23,1
"08/07/2016 08:55:00",17.6,23,1
"08/07/2016 09:00:00",18,23,1
"08/07/2016 09:05:00",18,16.5,1
"08/07/2016 09:10:00",18,23,1
"08/07/2016 09:15:00",18,16.5,1
"08/07/2016 09:20:00",18.4,1.5,1
"08/07/2016 09:25:00",18,16.5,1
"08/07/2016 09:30:00",18,23,1
"08/07/2016 09:35:00",13.8,183.5,1
"08/07/2016 09:40:00",15.5,36,1
"08/07/2016 09:45:00",18.4,16.5,1
"08/07/2016 09:50:00",16.3,29.5,1
"08/07/2016 09:55:00",18.4,16.5,1
"08/07/2016 10:00:00",15.5,36,1
"08/07/2016 10:05:00",18,23,1
"08/07/2016 10:10:00",18,23,1
"08/07/2016 10:15:00",18.4,16.5,1
"08/07/2016 10:20:00",18,23,1
"08/07/2016 10:25:00",18.4,11.5,1
"08/07/2016 10:30:00",19.3,1.5,1
"08/07/2016 10:35:00",18.4,16.5,1
"08/07/2016 10:40:00",18.4,8,1
"08/07/2016 10:45:00",18.4,8,1
"08/07/2016 10:50:00",18.8,1.5,1
"08/07/2016 10:55:00",18.4,11.5,1
"08/07/2016 11:00:00",18,16.5,1
"08/07/2016 11:05:00",18.4,5,1
"08/07/2016 11:10:00",18,16.5,1
"08/07/2016 11:15:00",19.7,1.5,1
"08/07/2016 11:20:00",19.3,1.5,1
"08/07/2016 11:25:00",19.3,1.5,1
"08/07/2016 11:30:00",14.2,85,1
"08/07/2016 11:35:00",15.5,29.5,1
"08/07/2016 11:40:00",14.6,46,1
"08/07/2016 11:45:00",13.8,105,1
"08/07/2016 11:50:00",20.2,1.5,1
"08/07/2016 11:55:00",13.8,131,1
"08/07/2016 12:00:00",13.6,307,1
"08/07/2016 12:05:00",13.6,307,1
"08/07/2016 12:10:00",13.6,307,1
"08/07/2016 12:15:00",13.6,307,1
"08/07/2016 12:20:00",13.6,307,1
"08/07/2016 12:25:00",13.6,205,1
"08/07/2016 12:30:00",14.8,45,1
"08/07/2016 12:35:00",19.5,9.5,1
"08/07/2016 12:40:00",19.5,9.5,1
