DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
15P1019b,104659b,NA,Transmission,MiniPAT,TATLIMITS,,,,,,,,,,10,12,15,17,18,19,20,21.5,23,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019b,104659b,NA,Transmission,MiniPAT,TAT,08:10:00 07-Aug-2016,,,,,,,11,100,0,11.1,4.2,8.4,6.3,11.6,12.1,46.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019b,104659b,NA,Transmission,MiniPAT,TAT,00:00:00 08-Aug-2016,,,,,,,11,100,0,4.5,0.7,0,0,0,3.8,85.4,5.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019b,104659b,NA,Transmission,MiniPAT,TAT,00:00:00 09-Aug-2016,,,,,,,11,100,0,0.3,0,0,0,0,0,99.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019b,104659b,NA,Transmission,MiniPAT,TAT,00:00:00 10-Aug-2016,,,,,,,11,100,0,0.7,0,0,0,0.3,33,66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019b,104659b,NA,Transmission,MiniPAT,TAT,00:00:00 11-Aug-2016,,,,,,,11,100,0,3.5,0.3,0.3,0,5.2,90.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019b,104659b,NA,Transmission,MiniPAT,TAT,00:00:00 12-Aug-2016,,,,,,,11,100,0,3.1,0.3,0,0,2.1,72.9,21.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019b,104659b,NA,Transmission,MiniPAT,TAT,00:00:00 13-Aug-2016,,,,,,,11,100,0,3.1,0.7,0,0,0,61.1,26,8.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019b,104659b,NA,Transmission,MiniPAT,TAT,00:00:00 14-Aug-2016,,,,,,,11,100,0,1,0,0,0,1,39.2,51.7,6.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15P1019b,104659b,NA,Transmission,MiniPAT,TAT,00:00:00 15-Aug-2016,,,,,,,11,100,0,1.4,0,0,1.7,3.5,20.1,67,6.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
