DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
67851,67851,0.5,Argos,Mk10,TATLIMITS,,,,,,,,,,-3,0,3,6,9,12,15,18,21,24,27,30,164.75,164.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,08:10:00 01-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0.6,2.2,49.6,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 01-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0.4,1.3,19.2,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 02-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0.4,1.3,1.7,86.7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 02-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0.4,0.8,3.8,83.7,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 03-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0.8,1.3,3.8,94.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 03-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0.8,1.3,3.3,94.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 04-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,1.7,2.5,4.2,91.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 04-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,11.3,5.8,7.9,70.8,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 05-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,1.3,2.5,2.9,85.4,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 06-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,1.4,6.7,17.9,68.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 06-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,3.9,2.8,5.3,67.1,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 07-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0.8,2.5,14.2,82.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 08-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0.4,2.9,10.8,85.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 08-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,3.8,18.8,77.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 09-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,7.1,6.7,86.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 09-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0.4,8.3,7.5,83.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 10-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,10.9,16.7,72.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 10-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0.4,0.8,10.4,88.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 11-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,5,20.8,74.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 11-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,7.5,14.2,78.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 12-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0,2.1,97.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 12-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0.8,2.1,97.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 13-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0.4,0.4,0.8,98.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 13-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0,0.8,99.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 17-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0,0,50.4,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 18-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 18-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 19-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 19-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 20-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 20-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,00:00:00 21-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAT,12:00:00 21-Feb-2012,,,,,,,11,100,0,0,0,0,0,0,0,0,0,70.2,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TADLIMITS,,,,,,,,,,0,10,20,50,100,150,200,300,400,600,800,1000,1200,2007.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,08:10:00 01-Feb-2012,,,,,,,6,100,12.5,67.5,17.5,2.2,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 01-Feb-2012,,,,,,,6,100,19.1,77.2,2.5,0.8,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 02-Feb-2012,,,,,,,6,100,17.5,68.3,11.7,1.4,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 02-Feb-2012,,,,,,,6,100,9.2,83.3,5.8,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 03-Feb-2012,,,,,,,6,100,9.1,78.4,9.1,1.7,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 03-Feb-2012,,,,,,,6,100,16.7,77.9,3.3,1.3,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 04-Feb-2012,,,,,,,6,100,8.8,80,5.8,2.9,2.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 04-Feb-2012,,,,,,,6,100,13.1,65.2,4.5,10.6,6.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 05-Feb-2012,,,,,,,6,100,18.3,72.9,5,2.1,1.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 06-Feb-2012,,,,,,,6,100,5.8,71.3,14.6,5.8,2.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 06-Feb-2012,,,,,,,6,100,15.8,72.1,4.6,2.9,4.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 07-Feb-2012,,,,,,,6,100,8.7,77.2,9.5,3.3,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 08-Feb-2012,,,,,,,6,100,17.3,64.9,11.7,5.6,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 08-Feb-2012,,,,,,,6,100,5,49.3,33.4,12,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 09-Feb-2012,,,,,,,6,100,2.8,61.8,21.4,13.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 09-Feb-2012,,,,,,,6,100,24.6,35,23.3,16.7,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 10-Feb-2012,,,,,,,6,100,1.7,30,31.9,36.1,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 10-Feb-2012,,,,,,,6,100,10.9,32,39.3,17.5,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 11-Feb-2012,,,,,,,6,100,15.8,54.2,21.7,8.1,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 11-Feb-2012,,,,,,,6,100,24.5,53.8,11.4,10.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 12-Feb-2012,,,,,,,6,100,9.7,48.2,14.2,27.6,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 12-Feb-2012,,,,,,,6,100,14,29.6,29.4,26.8,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 13-Feb-2012,,,,,,,6,100,17.3,62,14,6.4,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,12:00:00 13-Feb-2012,,,,,,,6,100,6.7,19.7,35.6,37.8,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67851,67851,0.5,Argos,Mk10,TAD,00:00:00 14-Feb-2012,,,,,,,6,100,87.6,2.1,2.1,7.9,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
