NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B4GALT3	19	17.592233657836914	0.24826226	Yes	
row_1	GCNT2	180	9.119529724121094	0.35918808	Yes	
row_2	GLA	448	6.240815162658691	0.41645873	Yes	
row_3	B3GNT5	471	6.0470194816589355	0.49996385	Yes	
row_4	ST3GAL6	721	4.61990213394165	0.5362831	Yes	
row_5	ST3GAL2	794	4.269681453704834	0.588562	Yes	
row_6	HEXB	2028	1.3888156414031982	0.4624214	No	
row_7	ST3GAL3	2115	1.267778754234314	0.47029686	No	
row_8	HEXA	4056	-0.4341111183166504	0.24689272	No	
row_9	ST6GALNAC3	4360	-0.7038968205451965	0.22105813	No	
row_10	B3GNT2	4976	-1.327354907989502	0.16717839	No	
row_11	B4GALT1	5153	-1.5284267663955688	0.16811456	No	
row_12	SLC33A1	6759	-4.326112747192383	0.03977693	No	
row_13	ST3GAL5	6767	-4.337530136108398	0.10071431	No	
row_14	ST3GAL1	7517	-7.022242069244385	0.11207094	No	
