NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL2L1	616	4.975264549255371	-0.052079972	No	
row_1	SERPINE1	796	4.263357639312744	-0.055251293	No	
row_2	CD82	1038	3.4097530841827393	-0.069414414	No	
row_3	CCND1	1273	2.786804437637329	-0.08539043	No	
row_4	BID	1311	2.696225881576538	-0.07834043	No	
row_5	DDB2	1447	2.3700027465820312	-0.0843213	No	
row_6	CCNG1	1535	2.192667007446289	-0.08535094	No	
row_7	ATM	1638	1.9975415468215942	-0.08899153	No	
row_8	PERP	1651	1.9739041328430176	-0.08203728	No	
row_9	CDK6	1733	1.8242847919464111	-0.08391789	No	
row_10	GADD45G	2588	0.7318179607391357	-0.18229638	No	
row_11	THBS1	2748	0.5757911801338196	-0.19874667	No	
row_12	SIVA1	2777	0.5549820065498352	-0.19971786	No	
row_13	IGF1	3140	0.16179190576076508	-0.2420494	No	
row_14	MDM4	3269	0.032560624182224274	-0.2571221	No	
row_15	SFN	3305	0.0	-0.26128134	No	
row_16	STEAP3	3340	0.0	-0.26532173	No	
row_17	RCHY1	3374	0.0	-0.2692433	No	
row_18	TP53	3570	0.0	-0.29241621	No	
row_19	CYCS	3711	-0.10222695022821426	-0.30861917	No	
row_20	GORAB	3774	-0.1645166426897049	-0.31528848	No	
row_21	TNFRSF10B	3951	-0.33658480644226074	-0.33477455	No	
row_22	FAS	4168	-0.5314426422119141	-0.35818675	No	
row_23	PTEN	4242	-0.6074910163879395	-0.3642826	No	
row_24	GADD45B	4553	-0.8767900466918945	-0.39739913	No	
row_25	BCL2	5047	-1.4229031801223755	-0.44994402	No	
row_26	SESN1	5107	-1.4885802268981934	-0.4506355	No	
row_27	CDKN1A	5194	-1.5840022563934326	-0.4541304	No	
row_28	TSC2	6094	-2.9064247608184814	-0.54862416	No	
row_29	AIFM2	6235	-3.137591600418091	-0.5519403	Yes	
row_30	CCND3	6271	-3.2084388732910156	-0.5424781	Yes	
row_31	IGFBP3	6384	-3.4106285572052	-0.5413077	Yes	
row_32	SESN2	6399	-3.4414615631103516	-0.52836055	Yes	
row_33	ATR	6452	-3.567681312561035	-0.5193933	Yes	
row_34	PIDD1	6490	-3.6519861221313477	-0.5082856	Yes	
row_35	EI24	6783	-4.377880573272705	-0.5243991	Yes	
row_36	SIAH1	6824	-4.491212368011475	-0.5100849	Yes	
row_37	GADD45A	7125	-5.372457027435303	-0.5229266	Yes	
row_38	SHISA5	7501	-6.964810371398926	-0.5379206	Yes	
row_39	CASP3	7506	-6.976395130157471	-0.50877744	Yes	
row_40	CDK1	7557	-7.135551452636719	-0.48442498	Yes	
row_41	PMAIP1	8071	-10.751991271972656	-0.49973965	Yes	
row_42	PPM1D	8081	-10.845844268798828	-0.4547628	Yes	
row_43	CCND2	8163	-11.926553726196289	-0.4137539	Yes	
row_44	BAX	8268	-13.59175968170166	-0.36840853	Yes	
row_45	CDK4	8273	-13.89411735534668	-0.30989596	Yes	
row_46	CCNG2	8351	-16.053926467895508	-0.25088882	Yes	
row_47	SESN3	8417	-19.052621841430664	-0.17772464	Yes	
row_48	MDM2	8438	-21.28362464904785	-0.089741044	Yes	
row_49	ZMAT3	8441	-21.837507247924805	0.002733103	Yes	
