NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QB	2026	1.3907992839813232	-0.22500108	No	
row_1	C3	2327	1.0236088037490845	-0.24932158	No	
row_2	HLA-DQB1	2355	0.9917575120925903	-0.24161203	No	
row_3	C1QA	2401	0.9454464316368103	-0.23654701	No	
row_4	HLA-DQA1	2451	0.8830139636993408	-0.23264335	No	
row_5	HLA-DRB1	2636	0.6792206764221191	-0.2469943	No	
row_6	HLA-DPB1	2821	0.49770984053611755	-0.26334238	No	
row_7	SNRPD1	2939	0.3737049996852875	-0.27310798	No	
row_8	HIST1H2AC	3001	0.3061535656452179	-0.27697465	No	
row_9	H3F3A	3013	0.2961878180503845	-0.27502048	No	
row_10	ACTN4	3021	0.2899216115474701	-0.27266085	No	
row_11	H2AFX	3484	0.0	-0.32745862	No	
row_12	HLA-DRA	3871	-0.2541653513908386	-0.37044552	No	
row_13	HLA-DPA1	4025	-0.4031383693218231	-0.3841572	No	
row_14	H2AFY	4222	-0.5844350457191467	-0.4009744	No	
row_15	H3F3B	4286	-0.6498647928237915	-0.40129656	No	
row_16	C1R	4688	-1.0153552293777466	-0.43768746	No	
row_17	ACTN1	4731	-1.0409417152404785	-0.43121588	No	
row_18	C1S	4859	-1.194881558418274	-0.4331324	No	
row_19	H2AFJ	4877	-1.218482494354248	-0.4217422	No	
row_20	H2AFZ	4947	-1.2852630615234375	-0.4157849	No	
row_21	IFNG	5057	-1.4317963123321533	-0.41295975	No	
row_22	HIST2H2AC	5160	-1.5343266725540161	-0.4081762	No	
row_23	HLA-DMA	5265	-1.6838171482086182	-0.4019851	No	
row_24	H2AFV	5284	-1.710309386253357	-0.38530204	No	
row_25	C1QC	5288	-1.7151530981063843	-0.36678654	No	
row_26	HLA-DMB	6891	-4.667299270629883	-0.5054467	Yes	
row_27	HIST1H4C	7193	-5.592025279998779	-0.47962084	Yes	
row_28	FCGR3A	7232	-5.709222316741943	-0.42131114	Yes	
row_29	HIST3H2A	7540	-7.109838962554932	-0.3794969	Yes	
row_30	SNRPB	7620	-7.534695148468018	-0.30596507	Yes	
row_31	H2AFY2	7977	-9.837897300720215	-0.2399467	Yes	
row_32	HIST1H2BB	8136	-11.474939346313477	-0.13243169	Yes	
row_33	SNRPD3	8336	-15.561348915100098	0.015181884	Yes	
