NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
P53_SIGNALING_PATHWAY	P53_SIGNALING_PATHWAY	Details ...	50	-0.5674899	-1.6298585	0.002415459	0.6347148	0.458	965	tags=24%, list=11%, signal=27%	
SYSTEMIC_LUPUS_ERYTHEMATOSUS	SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	34	-0.5567996	-1.5052817	0.021573603	1.0	0.946	1575	tags=24%, list=19%, signal=29%	
SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		22	-0.6036025	-1.4810668	0.036096256	1.0	0.978	1479	tags=32%, list=17%, signal=38%	
PYRUVATE_METABOLISM	PYRUVATE_METABOLISM		24	-0.5680721	-1.4305595	0.034571063	1.0	0.999	1938	tags=46%, list=23%, signal=59%	
NICOTINATE_AND_NICOTINAMIDE_METABOLISM	NICOTINATE_AND_NICOTINAMIDE_METABOLISM		16	-0.6060199	-1.4248873	0.061898213	1.0	0.999	1353	tags=31%, list=16%, signal=37%	
FANCONI_ANEMIA_PATHWAY	FANCONI_ANEMIA_PATHWAY		19	-0.5853623	-1.3964877	0.057298772	1.0	1.0	335	tags=16%, list=4%, signal=16%	
RENIN_SECRETION	RENIN_SECRETION		39	-0.5099896	-1.380096	0.061124694	1.0	1.0	1083	tags=26%, list=13%, signal=29%	
AMYOTROPHIC_LATERAL_SCLEROSIS_(ALS)	AMYOTROPHIC_LATERAL_SCLEROSIS_(ALS)		28	-0.5257547	-1.3648021	0.08035714	1.0	1.0	1138	tags=29%, list=13%, signal=33%	
REGULATION_OF_LIPOLYSIS_IN_ADIPOCYTES	REGULATION_OF_LIPOLYSIS_IN_ADIPOCYTES		34	-0.50269866	-1.3412787	0.08560794	1.0	1.0	2506	tags=50%, list=30%, signal=71%	
GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM		19	-0.5441373	-1.3409852	0.11503268	1.0	1.0	1669	tags=42%, list=20%, signal=52%	
LYSOSOME	LYSOSOME		86	-0.4386425	-1.3297428	0.0545657	1.0	1.0	2420	tags=43%, list=29%, signal=60%	
FERROPTOSIS	FERROPTOSIS		29	-0.51009786	-1.3179345	0.10858586	1.0	1.0	3013	tags=55%, list=36%, signal=85%	
TYPE_II_DIABETES_MELLITUS	TYPE_II_DIABETES_MELLITUS		24	-0.516039	-1.2962294	0.13842173	1.0	1.0	341	tags=13%, list=4%, signal=13%	
NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY		57	-0.44520304	-1.2876406	0.0996483	1.0	1.0	2228	tags=35%, list=26%, signal=47%	
PYRIMIDINE_METABOLISM	PYRIMIDINE_METABOLISM		28	-0.48644954	-1.2760087	0.14643799	1.0	1.0	2249	tags=39%, list=27%, signal=53%	
VASCULAR_SMOOTH_MUSCLE_CONTRACTION	VASCULAR_SMOOTH_MUSCLE_CONTRACTION		72	-0.42110327	-1.273953	0.08883827	1.0	1.0	2588	tags=39%, list=31%, signal=56%	
PROLACTIN_SIGNALING_PATHWAY	PROLACTIN_SIGNALING_PATHWAY		43	-0.45520842	-1.257075	0.13254438	1.0	1.0	303	tags=14%, list=4%, signal=14%	
CYSTEINE_AND_METHIONINE_METABOLISM	CYSTEINE_AND_METHIONINE_METABOLISM		26	-0.4870366	-1.2394509	0.16842106	1.0	1.0	476	tags=19%, list=6%, signal=20%	
SPLICEOSOME	SPLICEOSOME		110	-0.38810635	-1.2133019	0.13052858	1.0	1.0	1150	tags=15%, list=14%, signal=18%	
BACTERIAL_INVASION_OF_EPITHELIAL_CELLS	BACTERIAL_INVASION_OF_EPITHELIAL_CELLS		54	-0.42057097	-1.2101674	0.18474375	1.0	1.0	1369	tags=20%, list=16%, signal=24%	
INFLUENZA_A	INFLUENZA_A		96	-0.387264	-1.1936386	0.1685022	1.0	1.0	1367	tags=19%, list=16%, signal=22%	
INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION		16	-0.5274929	-1.1881744	0.252349	1.0	1.0	1575	tags=19%, list=19%, signal=23%	
PEROXISOME	PEROXISOME		37	-0.43442863	-1.1792551	0.22564735	1.0	1.0	2662	tags=43%, list=31%, signal=63%	
MEASLES	MEASLES		74	-0.39115563	-1.1760166	0.19955407	1.0	1.0	1098	tags=16%, list=13%, signal=18%	
CELL_CYCLE	CELL_CYCLE		72	-0.38441566	-1.163542	0.22566372	1.0	1.0	910	tags=14%, list=11%, signal=15%	
BILE_SECRETION	BILE_SECRETION		25	-0.4566176	-1.1608665	0.25097024	1.0	1.0	1416	tags=32%, list=17%, signal=38%	
GLUTATHIONE_METABOLISM	GLUTATHIONE_METABOLISM		28	-0.4433693	-1.1568261	0.25581396	1.0	1.0	873	tags=18%, list=10%, signal=20%	
