NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GLYCOSPHINGOLIPID_BIOSYNTHESIS	GLYCOSPHINGOLIPID_BIOSYNTHESIS	Details ...	15	0.588562	1.6171801	0.0111524165	0.23779646	0.305	794	tags=40%, list=9%, signal=44%	
GLYCOLYSIS_/_GLUCONEOGENESIS	GLYCOLYSIS_/_GLUCONEOGENESIS	Details ...	29	0.41541374	1.3410455	0.08695652	0.84179443	0.92	275	tags=14%, list=3%, signal=14%	
FRUCTOSE_AND_MANNOSE_METABOLISM	FRUCTOSE_AND_MANNOSE_METABOLISM		15	0.48633975	1.3386456	0.11340206	0.57276493	0.926	1186	tags=47%, list=14%, signal=54%	
CENTRAL_CARBON_METABOLISM_IN_CANCER	CENTRAL_CARBON_METABOLISM_IN_CANCER		39	0.37033656	1.2995899	0.08866995	0.54654574	0.97	1228	tags=33%, list=15%, signal=39%	
CARDIAC_MUSCLE_CONTRACTION	CARDIAC_MUSCLE_CONTRACTION		38	0.35039073	1.171561	0.22105263	0.9512858	0.999	1749	tags=26%, list=21%, signal=33%	
HIF-1_SIGNALING_PATHWAY	HIF-1_SIGNALING_PATHWAY		69	0.30488566	1.1574718	0.1484375	0.85745597	0.999	1220	tags=22%, list=14%, signal=25%	
PANCREATIC_CANCER	PANCREATIC_CANCER		56	0.30899036	1.1350106	0.19565217	0.8285626	0.999	904	tags=25%, list=11%, signal=28%	
OLFACTORY_TRANSDUCTION	OLFACTORY_TRANSDUCTION		22	0.37012216	1.1037536	0.28346458	0.86134493	1.0	1411	tags=27%, list=17%, signal=33%	
GLYCOSYLPHOSPHATIDYLINOSITOL_(GPI)-ANCHOR_BIOSYNTHESIS	GLYCOSYLPHOSPHATIDYLINOSITOL_(GPI)-ANCHOR_BIOSYNTHESIS		16	0.37407076	1.0431706	0.35955057	1.0	1.0	148	tags=13%, list=2%, signal=13%	
INOSITOL_PHOSPHATE_METABOLISM	INOSITOL_PHOSPHATE_METABOLISM		48	0.2879298	1.0373515	0.3806818	0.9766759	1.0	743	tags=15%, list=9%, signal=16%	
N-GLYCAN_BIOSYNTHESIS	N-GLYCAN_BIOSYNTHESIS		29	0.30600816	1.011363	0.43601894	1.0	1.0	648	tags=14%, list=8%, signal=15%	
ARACHIDONIC_ACID_METABOLISM	ARACHIDONIC_ACID_METABOLISM		19	0.337148	0.9790463	0.5059289	1.0	1.0	392	tags=21%, list=5%, signal=22%	
SPHINGOLIPID_METABOLISM	SPHINGOLIPID_METABOLISM		23	0.31614435	0.97868055	0.49321267	0.9887148	1.0	1123	tags=26%, list=13%, signal=30%	
PROSTATE_CANCER	PROSTATE_CANCER		68	0.25113937	0.9536627	0.5811966	1.0	1.0	685	tags=15%, list=8%, signal=16%	
CYTOSOLIC_DNA-SENSING_PATHWAY	CYTOSOLIC_DNA-SENSING_PATHWAY		32	0.29120693	0.95101976	0.5412371	0.95990944	1.0	1522	tags=31%, list=18%, signal=38%	
CIRCADIAN_RHYTHM	CIRCADIAN_RHYTHM		21	0.3149523	0.92875934	0.5523012	0.981169	1.0	1353	tags=29%, list=16%, signal=34%	
RNA_POLYMERASE	RNA_POLYMERASE		22	0.29945737	0.9195809	0.6106557	0.9554795	1.0	1281	tags=32%, list=15%, signal=37%	
GLUCAGON_SIGNALING_PATHWAY	GLUCAGON_SIGNALING_PATHWAY		59	0.23802114	0.8965624	0.7107438	0.973922	1.0	259	tags=8%, list=3%, signal=9%	
HEPATITIS_B	HEPATITIS_B		97	0.21342254	0.89460397	0.74698794	0.9278777	1.0	1856	tags=34%, list=22%, signal=43%	
HIPPO_SIGNALING_PATHWAY	HIPPO_SIGNALING_PATHWAY		82	0.21298249	0.8342903	0.8791209	1.0	1.0	854	tags=13%, list=10%, signal=15%	
PARATHYROID_HORMONE_SYNTHESIS,_SECRETION_AND_ACTION	PARATHYROID_HORMONE_SYNTHESIS,_SECRETION_AND_ACTION		69	0.21231325	0.8251785	0.875	1.0	1.0	683	tags=10%, list=8%, signal=11%	
TGF-BETA_SIGNALING_PATHWAY	TGF-BETA_SIGNALING_PATHWAY		53	0.21991946	0.80975664	0.88535035	0.9883987	1.0	1278	tags=23%, list=15%, signal=27%	
COCAINE_ADDICTION	COCAINE_ADDICTION		20	0.26873803	0.75572306	0.8663793	1.0	1.0	167	tags=10%, list=2%, signal=10%	
HYPERTROPHIC_CARDIOMYOPATHY_(HCM)	HYPERTROPHIC_CARDIOMYOPATHY_(HCM)		37	0.2217371	0.75541204	0.8913044	0.98255026	1.0	1215	tags=19%, list=14%, signal=22%	
GASTRIC_CANCER	GASTRIC_CANCER		61	0.19613431	0.7476084	0.9621212	0.9508514	1.0	1022	tags=16%, list=12%, signal=19%	
CHAGAS_DISEASE_(AMERICAN_TRYPANOSOMIASIS)	CHAGAS_DISEASE_(AMERICAN_TRYPANOSOMIASIS)		65	0.17490408	0.64811176	1.0	0.9754561	1.0	1404	tags=22%, list=17%, signal=26%	
