NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DQB1	1207	0.5363641977310181	-0.121742375	No	
row_1	HLA-DRA	1818	0.23160944879055023	-0.18482387	No	
row_2	HLA-DPA1	2764	-0.013722932897508144	-0.296144	No	
row_3	HLA-DQA1	2941	-0.05176931619644165	-0.31493774	No	
row_4	HLA-DPB1	3145	-0.11486342549324036	-0.3344417	No	
row_5	HLA-DMB	3225	-0.14065301418304443	-0.3382516	No	
row_6	HLA-DMA	3351	-0.18661372363567352	-0.34569576	No	
row_7	HLA-DRB1	3875	-0.3525955379009247	-0.39371237	No	
row_8	HLA-F	6058	-1.5850313901901245	-0.58955127	Yes	
row_9	HLA-C	6244	-1.696479320526123	-0.54461205	Yes	
row_10	HLA-A	6564	-1.9164689779281616	-0.5068674	Yes	
row_11	HLA-E	6816	-2.1153411865234375	-0.45323834	Yes	
row_12	HLA-B	6861	-2.155452013015747	-0.37352616	Yes	
row_13	FAS	7220	-2.473903179168701	-0.3184362	Yes	
row_14	IFNG	7916	-3.273235559463501	-0.27174523	Yes	
row_15	PRF1	8127	-3.6631879806518555	-0.1522809	Yes	
row_16	GZMB	8426	-4.8747029304504395	0.0044980715	Yes	
