NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC27A5	664	0.9431638717651367	-0.06547612	No	
row_1	DBI	1264	0.4965708553791046	-0.12953816	No	
row_2	SLC27A1	1846	0.21354734897613525	-0.19545564	No	
row_3	ACSL3	2055	0.12297535687685013	-0.21839827	No	
row_4	ACADM	2299	0.0343962088227272	-0.2467423	No	
row_5	CPT1A	3137	-0.11073202639818192	-0.3444809	No	
row_6	HMGCS2	3378	-0.19384680688381195	-0.3702206	No	
row_7	PPARD	3739	-0.2920215129852295	-0.4088125	No	
row_8	UBC	3807	-0.3234609365463257	-0.41220012	No	
row_9	SCP2	4043	-0.43236613273620605	-0.4339833	No	
row_10	PLIN2	4379	-0.5320555567741394	-0.46622452	No	
row_11	ACSL4	4523	-0.5946897268295288	-0.47480404	No	
row_12	FADS2	5072	-0.8478912115097046	-0.5278616	No	
row_13	NR1H3	5312	-1.0047712326049805	-0.5420478	No	
row_14	SLC27A4	5731	-1.2763077020645142	-0.57364136	No	
row_15	FABP5	6013	-1.5583481788635254	-0.5850044	Yes	
row_16	PPARA	6050	-1.5835230350494385	-0.56694615	Yes	
row_17	LPL	6163	-1.618386149406433	-0.55741274	Yes	
row_18	PDPK1	6372	-1.7737003564834595	-0.55707854	Yes	
row_19	ACAA1	6600	-1.9559742212295532	-0.55642825	Yes	
row_20	CD36	6771	-2.0857534408569336	-0.54718554	Yes	
row_21	SORBS1	6835	-2.1327719688415527	-0.52458555	Yes	
row_22	ACSL1	6948	-2.2296037673950195	-0.5064334	Yes	
row_23	ANGPTL4	7222	-2.474696159362793	-0.503926	Yes	
row_24	RXRA	7264	-2.521320104598999	-0.47323704	Yes	
row_25	ILK	7499	-2.8075623512268066	-0.46140897	Yes	
row_26	PPARG	7672	-2.9818570613861084	-0.4397676	Yes	
row_27	ACOX1	7811	-3.127932071685791	-0.41203275	Yes	
row_28	FABP4	8073	-3.559027671813965	-0.3928115	Yes	
row_29	ME1	8076	-3.572953939437866	-0.34266663	Yes	
row_30	PLIN5	8200	-3.8443734645843506	-0.30304968	Yes	
row_31	ADIPOQ	8292	-4.087690830230713	-0.2562053	Yes	
row_32	SCD	8329	-4.192698001861572	-0.20135511	Yes	
row_33	AQP7	8412	-4.682056427001953	-0.14506185	Yes	
row_34	PLIN1	8449	-5.334136962890625	-0.07411627	Yes	
row_35	PLIN4	8450	-5.3739013671875	0.0016610052	Yes	
