NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
ABC_TRANSPORTERS	44	18		
AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS	99	69		
AMPK_SIGNALING_PATHWAY	119	78		
ACUTE_MYELOID_LEUKEMIA	65	49		
ADHERENS_JUNCTION	71	57		
ADIPOCYTOKINE_SIGNALING_PATHWAY	68	43		
ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	144	82		
AFRICAN_TRYPANOSOMIASIS	36		Rejected!	
ALANINE,_ASPARTATE_AND_GLUTAMATE_METABOLISM	34		Rejected!	
ALCOHOLISM	179	70		
ALDOSTERONE_SYNTHESIS_AND_SECRETION	97	53		
ALDOSTERONE-REGULATED_SODIUM_REABSORPTION	36	20		
ALLOGRAFT_REJECTION	37	17		
ALZHEIMER_DISEASE	170	128		
AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	47	24		
AMINOACYL-TRNA_BIOSYNTHESIS	65	24		
AMOEBIASIS	95	51		
AMPHETAMINE_ADDICTION	67	32		
AMYOTROPHIC_LATERAL_SCLEROSIS_(ALS)	50	28		
ANTIGEN_PROCESSING_AND_PRESENTATION	76	42		
APELIN_SIGNALING_PATHWAY	136	86		
APOPTOSIS	142	92		
ARACHIDONIC_ACID_METABOLISM	62	19		
ARGININE_AND_PROLINE_METABOLISM	48	18		
ARGININE_BIOSYNTHESIS	20		Rejected!	
ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_(ARVC)	71	37		
ASCORBATE_AND_ALDARATE_METABOLISM	26		Rejected!	
ASTHMA	30		Rejected!	
AUTOIMMUNE_THYROID_DISEASE	52	16		
AUTOPHAGY	127	97		
AXON_GUIDANCE	180	99		
B_CELL_RECEPTOR_SIGNALING_PATHWAY	70	46		
BACTERIAL_INVASION_OF_EPITHELIAL_CELLS	73	54		
BASAL_CELL_CARCINOMA	62	17		
BASAL_TRANSCRIPTION_FACTORS	44	29		
BASE_EXCISION_REPAIR	32	16		
BILE_SECRETION	71	25		
BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	26		Rejected!	
BLADDER_CANCER	40	30		
BREAST_CANCER	146	69		
BUTANOATE_METABOLISM	27		Rejected!	
C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY	103	66		
CAFFEINE_METABOLISM	4		Rejected!	
CALCIUM_SIGNALING_PATHWAY	187	78		
CARBOHYDRATE_DIGESTION_AND_ABSORPTION	43		Rejected!	
CARDIAC_MUSCLE_CONTRACTION	77	38		
CELL_ADHESION_MOLECULES_(CAMS)	144	60		
CELL_CYCLE	123	72		
CELLULAR_SENESCENCE	159	103		
CENTRAL_CARBON_METABOLISM_IN_CANCER	64	39		
CHAGAS_DISEASE_(AMERICAN_TRYPANOSOMIASIS)	102	65		
CHEMICAL_CARCINOGENESIS	81	19		
CHEMOKINE_SIGNALING_PATHWAY	189	104		
CHOLESTEROL_METABOLISM	49	25		
CHOLINE_METABOLISM_IN_CANCER	98	63		
CHOLINERGIC_SYNAPSE	111	58		
CHRONIC_MYELOID_LEUKEMIA	75	60		
CIRCADIAN_ENTRAINMENT	96	48		
CIRCADIAN_RHYTHM	30	21		
CITRATE_CYCLE_(TCA_CYCLE)	29	23		
COCAINE_ADDICTION	48	20		
COLLECTING_DUCT_ACID_SECRETION	26		Rejected!	
COLORECTAL_CANCER	85	58		
COMPLEMENT_AND_COAGULATION_CASCADES	78	28		
CORTISOL_SYNTHESIS_AND_SECRETION	64	34		
CUSHING_SYNDROME	154	71		
CYSTEINE_AND_METHIONINE_METABOLISM	46	26		
CYTOKINE-CYTOKINE_RECEPTOR_INTERACTION	293	67		
CYTOSOLIC_DNA-SENSING_PATHWAY	62	32		
D-GLUTAMINE_AND_D-GLUTAMATE_METABOLISM	4		Rejected!	
DNA_REPLICATION	35	17		
DILATED_CARDIOMYOPATHY_(DCM)	90	42		
DOPAMINERGIC_SYNAPSE	130	73		
DRUG_METABOLISM	107	34		
ECM-RECEPTOR_INTERACTION	81	42		
ENDOCRINE_AND_OTHER_FACTOR-REGULATED_CALCIUM_REABSORPTION	47	29		
ENDOCYTOSIS	243	179		
ENDOMETRIAL_CANCER	57	42		
EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	67	48		
EPSTEIN-BARR_VIRUS_INFECTION	200	128		
ERBB_SIGNALING_PATHWAY	84	60		
ESTROGEN_SIGNALING_PATHWAY	136	79		
ETHER_LIPID_METABOLISM	46	16		
FANCONI_ANEMIA_PATHWAY	53	19		
FAT_DIGESTION_AND_ABSORPTION	40		Rejected!	
FATTY_ACID_BIOSYNTHESIS	12		Rejected!	
FATTY_ACID_DEGRADATION	43	22		
FATTY_ACID_ELONGATION	26		Rejected!	
FC_EPSILON_RI_SIGNALING_PATHWAY	67	40		
FC_GAMMA_R-MEDIATED_PHAGOCYTOSIS	90	62		
FERROPTOSIS	39	29		
FLUID_SHEAR_STRESS_AND_ATHEROSCLEROSIS	138	86		
FOCAL_ADHESION	198	133		
FOLATE_BIOSYNTHESIS	25		Rejected!	
FOXO_SIGNALING_PATHWAY	131	86		
FRUCTOSE_AND_MANNOSE_METABOLISM	32	15		
GABAERGIC_SYNAPSE	88	37		
GALACTOSE_METABOLISM	30		Rejected!	
GAP_JUNCTION	87	54		
GASTRIC_ACID_SECRETION	74	35		
GASTRIC_CANCER	148	61		
GLIOMA	74	51		
GLUCAGON_SIGNALING_PATHWAY	102	59		
GLUTAMATERGIC_SYNAPSE	113	49		
GLUTATHIONE_METABOLISM	55	28		
GLYCEROLIPID_METABOLISM	60	31		
GLYCEROPHOSPHOLIPID_METABOLISM	96	51		
GLYCINE,_SERINE_AND_THREONINE_METABOLISM	39		Rejected!	
GLYCOLYSIS_/_GLUCONEOGENESIS	67	29		
GLYCOSAMINOGLYCAN_BIOSYNTHESIS	52	26		
GLYCOSAMINOGLYCAN_DEGRADATION	18		Rejected!	
GLYCOSPHINGOLIPID_BIOSYNTHESIS	44	15		
GLYCOSYLPHOSPHATIDYLINOSITOL_(GPI)-ANCHOR_BIOSYNTHESIS	24	16		
GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	29	19		
GNRH_SIGNALING_PATHWAY	92	55		
GRAFT-VERSUS-HOST_DISEASE	40	19		
HIF-1_SIGNALING_PATHWAY	99	69		
