NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PPAR_SIGNALING_PATHWAY	PPAR_SIGNALING_PATHWAY	Details ...	36	-0.6069786	-1.4996	0.0020325202	0.6707881	0.48	2453	tags=58%, list=29%, signal=82%	
ALLOGRAFT_REJECTION	ALLOGRAFT_REJECTION	Details ...	17	-0.65199834	-1.4789017	0.012752391	0.44568145	0.58	2408	tags=53%, list=28%, signal=74%	
AUTOIMMUNE_THYROID_DISEASE	AUTOIMMUNE_THYROID_DISEASE		16	-0.6424164	-1.4484711	0.030237582	0.47151873	0.748	2408	tags=50%, list=28%, signal=70%	
GRAFT-VERSUS-HOST_DISEASE	GRAFT-VERSUS-HOST_DISEASE		19	-0.62466073	-1.4404662	0.013874066	0.399691	0.787	2408	tags=53%, list=28%, signal=73%	
REGULATION_OF_LIPOLYSIS_IN_ADIPOCYTES	REGULATION_OF_LIPOLYSIS_IN_ADIPOCYTES		34	-0.5728323	-1.4220984	0.006103764	0.42764357	0.877	993	tags=38%, list=12%, signal=43%	
P53_SIGNALING_PATHWAY	P53_SIGNALING_PATHWAY		50	-0.5436065	-1.3908328	0.006066734	0.5568811	0.963	1862	tags=38%, list=22%, signal=48%	
ARGININE_AND_PROLINE_METABOLISM	ARGININE_AND_PROLINE_METABOLISM		18	-0.6044338	-1.3833134	0.046511628	0.52876866	0.976	1463	tags=33%, list=17%, signal=40%	
MALARIA	MALARIA		18	-0.60259444	-1.3684181	0.043944266	0.55819714	0.994	2014	tags=61%, list=24%, signal=80%	
NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY		57	-0.5301212	-1.3579587	0.01004016	0.565876	0.996	2341	tags=47%, list=28%, signal=65%	
RENIN_SECRETION	RENIN_SECRETION		39	-0.5317645	-1.3573345	0.027245207	0.5142501	0.996	791	tags=28%, list=9%, signal=31%	
PROTEASOME	PROTEASOME		42	-0.5381378	-1.3457718	0.029204432	0.5481629	0.998	3089	tags=55%, list=36%, signal=86%	
GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM		19	-0.5648371	-1.315053	0.08025343	0.73851943	1.0	2019	tags=58%, list=24%, signal=76%	
PRION_DISEASES	PRION_DISEASES		20	-0.56624854	-1.3148893	0.074152544	0.68326855	1.0	1366	tags=35%, list=16%, signal=42%	
MORPHINE_ADDICTION	MORPHINE_ADDICTION		43	-0.51175046	-1.298656	0.04761905	0.76749015	1.0	1347	tags=35%, list=16%, signal=41%	
