OTU,Gi
NC_012983.1,0.435402168
NC_014213.1,0.64586292
NC_014214.1,0.666688099
NC_014211.1,0.719896976
NC_002737.2,0.385117842
NC_014363.1,0.646975285
NC_018066.1,0.395089913
NC_014168.1,0.667912895
NC_018067.1,0.433153708
NC_008261.1,0.283791514
NC_017095.1,0.388753409
NC_003450.3,0.538102515
NC_019898.1,0.473374804
NC_014008.1,0.536017795
NC_009012.1,0.389865899
NC_012982.1,0.452301207
NC_019938.1,0.60334516
NC_019937.1,0.538509755
NC_019939.1,0.618402282
NC_010067.1,0.513767388
NC_014364.1,0.489651416
NC_019975.1,0.548419507
NC_017033.1,0.633957993
NC_019976.1,0.613120436
NC_014210.1,0.728292404
NC_014212.1,0.623636284
NC_015761.1,0.513296884
NC_018014.1,0.602812471
NC_019897.1,0.605696207
NC_000913.3,0.507907099
NC_018068.1,0.42142616
NC_019792.1,0.622355185
NC_018515.1,0.417840772
NC_019964.1,0.643360353
NC_021184.1,0.45490965
NC_019936.1,0.625217128
NC_019974.1,0.649358021
NC_019904.1,0.447536929
