Feature,12C_rep_1_fraction_10,12C_rep_1_fraction_1,12C_rep_1_fraction_2,12C_rep_1_fraction_3,12C_rep_1_fraction_4,12C_rep_1_fraction_5,12C_rep_1_fraction_6,12C_rep_1_fraction_7,12C_rep_1_fraction_8,12C_rep_1_fraction_9,12C_rep_2_fraction_10,12C_rep_2_fraction_1,12C_rep_2_fraction_2,12C_rep_2_fraction_3,12C_rep_2_fraction_4,12C_rep_2_fraction_5,12C_rep_2_fraction_6,12C_rep_2_fraction_7,12C_rep_2_fraction_8,12C_rep_2_fraction_9,12C_rep_3_fraction_10,12C_rep_3_fraction_1,12C_rep_3_fraction_2,12C_rep_3_fraction_3,12C_rep_3_fraction_4,12C_rep_3_fraction_5,12C_rep_3_fraction_6,12C_rep_3_fraction_7,12C_rep_3_fraction_9,12C_rep_3_fraction_8,13C_rep_1_fraction_10,13C_rep_1_fraction_1,13C_rep_1_fraction_2,13C_rep_1_fraction_3,13C_rep_1_fraction_4,13C_rep_1_fraction_5,13C_rep_1_fraction_6,13C_rep_1_fraction_7,13C_rep_1_fraction_8,13C_rep_1_fraction_9,13C_rep_2_fraction_10,13C_rep_2_fraction_1,13C_rep_2_fraction_2,13C_rep_2_fraction_3,13C_rep_2_fraction_4,13C_rep_2_fraction_5,13C_rep_2_fraction_6,13C_rep_2_fraction_7,13C_rep_2_fraction_8,13C_rep_2_fraction_9,13C_rep_3_fraction_10,13C_rep_3_fraction_1,13C_rep_3_fraction_2,13C_rep_3_fraction_3,13C_rep_3_fraction_4,13C_rep_3_fraction_5,13C_rep_3_fraction_6,13C_rep_3_fraction_7,13C_rep_3_fraction_8,13C_rep_3_fraction_9
NC_000913.3,53.887782,53.764747,3.757456,12.071341,82.509372,9.607632,0.078596,51.197228,53.781826,53.852354,53.866831,53.791129,3.750364,12.038582,82.462329,9.653143,0.081589,51.221466,53.795197,53.899101,53.820407,53.829453,3.793859,12.089039,82.506476,9.653859,0.087217,51.162094,53.840123,53.824149,52.733563,53.070525,53.061318,53.179993,16.461698,8.575504,52.958486,80.311572,1.265379,1.449312,52.749601,53.051819,53.14359,53.233865,17.714552,8.582271,53.318968,80.060431,1.156821,1.365023,52.682554,53.084967,53.086399,53.102501,26.690649,8.2646,53.279117,79.83772,1.249243,1.416813
NC_002737.2,25.762306,25.527545,322.68787,195.880043,1.04208,0.009782,0.043855,24.465656,25.736463,25.719674,25.652914,25.607835,322.439088,195.474023,1.05553,0.01076,0.043203,24.416503,25.689106,25.799558,25.65218,25.566835,322.48979,195.589834,1.05121,0.009945,0.038964,24.426608,25.664,25.663264,23.957251,24.102836,24.087837,24.064361,225.382641,330.86996,34.468535,0.117544,0.014347,0.666951,23.996541,24.071208,24.165928,24.122725,235.947399,327.009928,34.621538,0.166779,0.018422,0.607119,24.022625,24.115061,24.135767,24.071616,198.27983,329.029692,34.498695,0.174441,0.018748,0.660511
NC_003450.3,0.93208,0.910544,0.037141,0.016973,1.064492,1.336341,0.001643,0.870574,0.915381,0.916202,0.91894,0.927061,0.039696,0.016973,1.051168,1.328493,0.001551,0.873495,0.925236,0.936643,0.924415,0.934179,0.039331,0.017795,1.063032,1.327489,0.00146,0.876506,0.922681,0.942757,0.90735,0.936461,0.941297,0.932172,0.277325,0.007939,0.328519,1.855674,0.107864,0.025369,0.913191,0.918027,0.927974,0.91748,0.253324,0.009034,0.316655,1.866625,0.099651,0.025095,0.918848,0.925236,0.922772,0.913829,0.275043,0.005658,0.318663,1.87429,0.108411,0.026555
NC_008261.1,0.028376,0.865935,20.638428,0.007697,0.000185,0,0,0.028422,0.030416,0.0319,0.028469,0.866491,20.616729,0.008717,0.000185,0,0.000093,0.027356,0.028005,0.030694,0.033013,0.860928,20.523996,0.010711,0.000093,0,0,0.030648,0.030231,0.029953,0.02476,0.027449,0.027634,0.109146,44.227879,0.429397,0.00102,0,0,0.000649,0.026707,0.028098,0.028376,0.163487,40.377352,0.440572,0.000835,0,0,0.00102,0.02309,0.024852,0.027588,0.139794,43.43103,0.432689,0.000927,0,0,0.000464
NC_009012.1,6.439255,6.449156,73.303403,48.756552,0.320207,0.002986,0.010137,6.126669,6.512172,6.469507,6.429786,6.431395,73.453723,48.679955,0.316199,0.001807,0.009115,6.119677,6.486087,6.485772,6.446913,6.437683,73.480833,48.725481,0.320599,0.001807,0.009901,6.13484,6.463378,6.436464,6.040784,6.079445,6.054614,6.067972,51.52221,73.358189,9.678094,0.052569,0.004636,0.165997,6.009196,6.045145,6.053514,6.064436,39.778921,72.8227,9.623676,0.049426,0.003929,0.150792,5.99073,6.082704,6.023849,6.072331,50.270761,73.582277,9.644502,0.044318,0.0044,0.16085
NC_010067.1,72.752803,72.624934,19.723538,24.318057,101.469092,36.795386,0.112114,69.299469,72.786733,72.728905,72.810665,72.642583,19.712281,24.322592,101.48773,36.803887,0.109325,69.203673,72.699831,72.709147,72.70127,72.527261,19.689569,24.354554,101.634474,36.924469,0.113263,69.060995,72.818838,72.760047,71.552266,72.089109,72.102533,71.930673,29.148041,23.532309,60.016658,116.953572,3.463797,1.974671,71.534051,72.079657,72.021434,71.983756,36.140259,23.667169,59.376255,117.752332,3.457102,1.831312,71.544455,72.034687,71.979286,71.965995,39.787422,23.559551,60.0801,117.147322,3.531965,1.931545
NC_012982.1,33.974784,33.951624,1.441299,51.014306,47.10186,0.156959,0.04929,32.331736,34.040679,34.060386,34.002837,33.958572,1.426529,51.078191,47.108283,0.152153,0.052524,32.51688,34.002488,34.028793,33.965258,34.043825,1.445931,51.044151,47.013767,0.153988,0.050077,32.399117,34.014198,34.080399,32.630055,32.662129,32.778537,32.727761,9.716532,16.525821,83.262887,6.226504,0.022285,0.893645,32.553798,32.797764,32.815505,32.624462,8.779321,16.756541,83.455148,6.134434,0.023684,0.852789,32.544933,32.815767,32.719896,32.705694,9.517143,17.207755,83.207873,6.270681,0.023684,0.883857
NC_012983.1,33.741419,33.562704,1.368958,131.795271,27.622213,0.021446,0.039317,32.697723,33.562704,33.158808,33.698528,34.055958,1.304621,132.989088,28.562254,0.010723,0.05004,31.157198,33.9666,32.951498,32.905032,33.198125,1.379681,131.248402,28.487194,0.007149,0.046466,31.914951,33.444752,33.180254,31.771978,31.378805,31.439568,32.211618,9.672064,41.883681,85.790418,0.89715,0.014297,0.979359,31.779127,31.775553,31.782701,32.590494,8.392463,54.089926,84.603749,1.626308,0.028594,0.850684,32.061497,32.458245,31.947119,31.879207,9.500497,35.964636,83.838849,0.686266,0.02502,0.87213
NC_014008.1,18.415798,18.346151,0.773847,0.008857,24.367598,16.482268,0.028422,17.524517,18.463826,18.490155,18.446958,18.34136,0.77127,0.010387,24.36321,16.499096,0.027778,17.517714,18.482063,18.46443,18.466845,18.38657,0.782301,0.009743,24.373637,16.390801,0.02802,17.558052,18.454285,18.381659,18.323042,18.459035,18.449212,18.457063,5.483998,0.092997,6.166619,37.997639,1.043658,0.513697,18.317889,18.455331,18.417569,18.42087,4.971428,0.091306,6.083163,38.037495,1.122887,0.47835,18.298807,18.524375,18.481499,18.458109,5.36274,0.133336,5.746402,38.21117,1.09688,0.49389
NC_014168.1,25.546256,25.561941,1.075426,0.013486,0.008225,38.350946,307.109615,24.293982,25.500679,25.509624,25.61512,25.471987,1.073992,0.01339,0.006791,38.280456,307.316207,24.300104,25.499964,25.34655,25.575618,25.510963,1.070453,0.012816,0.006408,38.363667,307.234813,24.260267,25.568158,25.46247,28.054819,28.098433,28.099294,28.128943,8.391272,0.065277,0.007747,3.076261,137.289357,243.302796,28.034351,28.14922,28.140038,28.140995,7.570547,0.057291,0.010999,3.139052,136.765759,249.333372,27.880459,28.030715,28.164379,28.137598,8.175688,0.061882,0.007652,2.959909,137.074213,244.694087
