Sample,Dilution
12C_rep_1_fraction_1,0.00001
12C_rep_1_fraction_2,0.001
12C_rep_1_fraction_3,0.001
12C_rep_1_fraction_4,0.001
12C_rep_1_fraction_5,0.001
12C_rep_1_fraction_6,0.001
12C_rep_1_fraction_7,0.00001
12C_rep_1_fraction_8,0.00001
12C_rep_1_fraction_9,0.00001
12C_rep_1_fraction_10,0.00001
12C_rep_2_fraction_1,0.00001
12C_rep_2_fraction_2,0.001
12C_rep_2_fraction_3,0.001
12C_rep_2_fraction_4,0.001
12C_rep_2_fraction_5,0.001
12C_rep_2_fraction_6,0.001
12C_rep_2_fraction_7,0.00001
12C_rep_2_fraction_8,0.00001
12C_rep_2_fraction_9,0.00001
12C_rep_2_fraction_10,0.00001
12C_rep_3_fraction_1,0.00001
12C_rep_3_fraction_2,0.001
12C_rep_3_fraction_3,0.001
12C_rep_3_fraction_4,0.001
12C_rep_3_fraction_5,0.001
12C_rep_3_fraction_6,0.001
12C_rep_3_fraction_7,0.00001
12C_rep_3_fraction_8,0.00001
12C_rep_3_fraction_9,0.00001
12C_rep_3_fraction_10,0.00001
13C_rep_1_fraction_1,0.0001
13C_rep_1_fraction_2,0.0001
13C_rep_1_fraction_3,0.0001
13C_rep_1_fraction_4,0.0001
13C_rep_1_fraction_5,0.001
13C_rep_1_fraction_6,0.001
13C_rep_1_fraction_7,0.001
13C_rep_1_fraction_8,0.001
13C_rep_1_fraction_9,0.001
13C_rep_1_fraction_10,0.0001
13C_rep_2_fraction_1,0.0001
13C_rep_2_fraction_2,0.0001
13C_rep_2_fraction_3,0.0001
13C_rep_2_fraction_4,0.0001
13C_rep_2_fraction_5,0.001
13C_rep_2_fraction_6,0.001
13C_rep_2_fraction_7,0.001
13C_rep_2_fraction_8,0.001
13C_rep_2_fraction_9,0.001
13C_rep_2_fraction_10,0.0001
13C_rep_3_fraction_1,0.0001
13C_rep_3_fraction_2,0.0001
13C_rep_3_fraction_3,0.0001
13C_rep_3_fraction_4,0.0001
13C_rep_3_fraction_5,0.001
13C_rep_3_fraction_6,0.001
13C_rep_3_fraction_7,0.001
13C_rep_3_fraction_8,0.001
13C_rep_3_fraction_9,0.001
13C_rep_3_fraction_10,0.0001
