Feature,Bin
"NC_000911.1 Synechocystis sp. PCC 6803, complete sequence",bins.1
"NC_007604.1 Synechococcus elongatus PCC 7942, complete genome",bins.1
"NC_010628.1 Nostoc punctiforme PCC 73102, complete sequence",bins.1
"NC_019683.1 Leptolyngbya sp. PCC 7376, complete sequence",bins.1
GC_24_2,bins.2
GC_24_3,bins.2
GC_68_1,bins.2
GC_68_2,bins.2
GC_68_3,bins.2
GC_74_1,bins.2
GC_74_2,bins.2
M1_G,bins.2
M11_G,bins.2
M13_G,bins.2
M15_G,bins.2
M16_G,bins.2
M3_G,bins.2
M5_G,bins.2
M7_G,bins.2
M8_G,bins.2
M9_G,bins.2
MG_03,bins.2
MG_04,bins.2
MG_06,bins.2
MG_07,bins.2
MG_08,bins.2
MG_15,bins.2
MG_19,bins.2
MG_22,bins.2
MG_23,bins.2
MG_24,bins.2
MG_28,bins.2
MG_29,bins.2
MG_30,bins.2
MG_31,bins.2
MG_32,bins.2
MG_33,bins.2
MG_36,bins.2
MG_37,bins.2
MG_38,bins.2
MG_39,bins.2
MG_40,bins.2
MG_41,bins.2
MG_42,bins.2
MG_43,bins.2
MG_44,bins.2
MG_45,bins.2
MG_46,bins.2
MG_47,bins.2
MG_49,bins.2
MG_50,bins.2
MG_51,bins.2
MG_52,bins.2
MG_53,bins.2
MG_54,bins.2
MG_55,bins.2
MG_56,bins.2
MG_57,bins.2
MG_58,bins.2
MG_59,bins.2
MG_60,bins.2
MG_61,bins.2
MG_62,bins.2
MG_63,bins.2
MG_64,bins.2
MG_65,bins.2
MG_68,bins.2
MG_69,bins.2
MG_70,bins.2
MG_71,bins.2
MH_01,bins.2
MH_02,bins.2
MH_03,bins.2
MH_04,bins.2
MH_05,bins.2
MH_06,bins.2
MH_07,bins.2
MH_09,bins.2
MH_10,bins.2
MH_11,bins.2
MH_12,bins.2
MH_14,bins.2
MH_15,bins.2
MH_16,bins.2
MH_17,bins.2
MH_18,bins.2
MH_19,bins.2
