Replicate,Fraction,Buoyant_density,Isotope,DNA_concentration(ng/uL),Sample
1,1,1.681,12C,3.61E-04,12C_rep_1_fraction_1
1,2,1.692,12C,0.008515025,12C_rep_1_fraction_2
1,3,1.703,12C,0.71258641,12C_rep_1_fraction_3
1,4,1.714,12C,3.08795062,12C_rep_1_fraction_4
1,5,1.725,12C,0.952863675,12C_rep_1_fraction_5
1,6,1.736,12C,0.236264285,12C_rep_1_fraction_6
1,7,1.747,12C,3.79E-04,12C_rep_1_fraction_7
1,8,1.758,12C,3.60E-04,12C_rep_1_fraction_8
1,9,1.769,12C,3.60E-04,12C_rep_1_fraction_9
1,10,1.78,12C,3.60E-04,12C_rep_1_fraction_10
2,1,1.681,12C,3.61E-04,12C_rep_2_fraction_1
2,2,1.692,12C,0.008515025,12C_rep_2_fraction_2
2,3,1.703,12C,0.71258641,12C_rep_2_fraction_3
2,4,1.714,12C,3.08795062,12C_rep_2_fraction_4
2,5,1.725,12C,0.952863675,12C_rep_2_fraction_5
2,6,1.736,12C,0.236264285,12C_rep_2_fraction_6
2,7,1.747,12C,3.79E-04,12C_rep_2_fraction_7
2,8,1.758,12C,3.60E-04,12C_rep_2_fraction_8
2,9,1.769,12C,3.60E-04,12C_rep_2_fraction_9
2,10,1.78,12C,3.60E-04,12C_rep_2_fraction_10
3,1,1.681,12C,3.61E-04,12C_rep_3_fraction_1
3,2,1.692,12C,0.008515025,12C_rep_3_fraction_2
3,3,1.703,12C,0.71258641,12C_rep_3_fraction_3
3,4,1.714,12C,3.08795062,12C_rep_3_fraction_4
3,5,1.725,12C,0.952863675,12C_rep_3_fraction_5
3,6,1.736,12C,0.236264285,12C_rep_3_fraction_6
3,7,1.747,12C,3.79E-04,12C_rep_3_fraction_7
3,8,1.758,12C,3.60E-04,12C_rep_3_fraction_8
3,9,1.769,12C,3.60E-04,12C_rep_3_fraction_9
3,10,1.78,12C,3.60E-04,12C_rep_3_fraction_10
1,1,1.681,13C,5.05E-04,13C_rep_1_fraction_1
1,2,1.692,13C,5.05E-04,13C_rep_1_fraction_2
1,3,1.703,13C,5.05E-04,13C_rep_1_fraction_3
1,4,1.714,13C,0.00170497,13C_rep_1_fraction_4
1,5,1.725,13C,0.233081535,13C_rep_1_fraction_5
1,6,1.736,13C,1.973376435,13C_rep_1_fraction_6
1,7,1.747,13C,205.24703,13C_rep_1_fraction_7
1,8,1.758,13C,0.71897406,13C_rep_1_fraction_8
1,9,1.769,13C,0.01837099,13C_rep_1_fraction_9
1,10,1.78,13C,5.08E-04,13C_rep_1_fraction_10
2,1,1.681,13C,5.05E-04,13C_rep_2_fraction_1
2,2,1.692,13C,5.04E-04,13C_rep_2_fraction_2
2,3,1.703,13C,5.05E-04,13C_rep_2_fraction_3
2,4,1.714,13C,0.001877045,13C_rep_2_fraction_4
2,5,1.725,13C,0.23504734,13C_rep_2_fraction_5
2,6,1.736,13C,1.97129444,13C_rep_2_fraction_6
2,7,1.747,13C,2.05138918,13C_rep_2_fraction_7
2,8,1.758,13C,0.718812895,13C_rep_2_fraction_8
2,9,1.769,13C,0.019557495,13C_rep_2_fraction_9
2,10,1.78,13C,5.08E-04,13C_rep_2_fraction_10
3,1,1.681,13C,5.05E-04,13C_rep_3_fraction_1
3,2,1.692,13C,5.05E-04,13C_rep_3_fraction_2
3,3,1.703,13C,5.05E-04,13C_rep_3_fraction_3
3,4,1.714,13C,0.00173597,13C_rep_3_fraction_4
3,5,1.725,13C,0.23291794,13C_rep_3_fraction_5
3,6,1.736,13C,1.97881479,13C_rep_3_fraction_6
3,7,1.747,13C,2.048141865,13C_rep_3_fraction_7
3,8,1.758,13C,0.71758576,13C_rep_3_fraction_8
3,9,1.769,13C,0.018780495,13C_rep_3_fraction_9
3,10,1.78,13C,5.08E-04,13C_rep_3_fraction_10
