Feature,S1,S2,S3,S4
NC_000964.3,1.074794,1.086256,6.455925,7.12331
NC_014374.1,9.255234,9.313254,1.009355,0.021493
NC_017527.1,1.263977,1.256719,0.139019,0.002832
NC_016637.1,1.234092,1.511133,0.125928,0
NZ_HF570956.1,2.56706,2.536286,0.280388,0.005993
GC_24_2,0,0,0,0
GC_24_3,0,0,0,0
GC_68_1,3.362348,3.05668,3.05668,5.502024
GC_68_2,0,0,0,0
GC_68_3,0.906,1.51,1.208,0.302
GC_74_1,34.228686,27.41324,33.017051,26.807422
GC_74_2,11.778,16.308,12.08,12.986
M11_G,370.202432,375.71003,381.493009,384.338602
M13_G,239.470421,231.823947,225.60672,234.61098
M15_G,66.882183,66.882183,63.950144,63.474679
M16_G,0,0,0,0
M1_G,0,0,0,0
M3_G,0,0,0,0
M5_G,65.54833,55.994728,59.44464,54.269772
M7_G,7.839528,5.701475,5.879646,4.097935
M8_G,1.87772,2.034197,0.93886,2.034197
M9_G,32.172628,31.115863,32.642302,33.111975
MG_03,0,0,0,0
MG_04,0,0,0,0
MG_06,2.695283,2.096331,2.481371,1.967984
MG_07,1.163776,1.648683,0.872832,1.454721
MG_08,0,0,0,0
MG_15,16.123729,18.075212,14.812076,16.955508
MG_19,1056.713472,1048.225095,1044.21371,1047.47296
MG_22,33.575853,32.114445,35.219937,32.516332
MG_23,134.543166,137.659703,135.531337,132.642839
MG_24,263.910651,265.30918,259.632798,261.442659
MG_28,531.315413,535.210068,516.862958,518.505283
MG_29,0,0,0,0
MG_30,16.45254,16.351604,16.351604,16.048797
MG_31,32.386195,31.165993,32.945455,35.99596
MG_32,1049.657173,1050.548802,1033.660299,1034.289684
MG_33,7.84691,9.331461,9.755618,10.285815
MG_36,273.53692,266.309091,272.360297,271.407792
MG_37,0,0,0,0
MG_38,1.291602,0.939347,1.761275,1.174184
MG_39,517.941797,521.067969,522.365625,508.740234
MG_40,9.922494,8.777591,7.505476,7.378265
MG_41,122.355194,118.899208,124.016725,120.095511
MG_42,30.173239,29.437306,30.240142,30.909171
MG_43,54.082299,58.247816,60.191724,61.441379
MG_44,3.054713,3.471264,3.054713,4.165517
MG_45,514.248849,519.993215,517.907681,528.957354
MG_46,4.122245,4.635457,4.320908,4.51957
MG_47,0,0,0,0
MG_49,0.740559,0.444335,1.036783,0.888671
MG_50,2.889598,3.852797,4.593719,4.890088
MG_51,12.674611,13.378756,13.769948,14.552332
MG_52,0,0,0,0
MG_53,7.393906,7.722524,6.900979,7.065288
MG_54,24.007675,26.160088,23.676535,21.689693
MG_55,199.326783,211.790006,207.720382,208.907355
MG_56,0,0,0,0
MG_57,0,0,0,0
MG_58,6.970624,5.793765,8.328537,7.966427
MG_59,14.181818,9.454545,10.363636,11.090909
MG_60,1.285106,1.468693,0.917933,1.468693
MG_61,42.898806,48.40352,45.08171,45.08171
MG_62,2.519897,2.326059,2.326059,2.326059
MG_63,79.384565,87.751319,92.233509,84.165567
MG_64,0.398417,1.394459,0.597625,0.796834
MG_65,2.640215,3.046402,3.046402,3.249496
MG_68,111.326011,113.449033,115.704745,109.202988
MG_69,0,0,0,0
MG_70,0,0,0,0
MG_71,895.082485,868.019348,880.320774,885.087576
MH_01,17.126846,18.342953,18.342953,16.569463
MH_02,127.387248,128.552685,139.598993,130.478188
MH_03,0,0,0,0
MH_04,0,0,0,0
MH_05,0,0,0,0
MH_06,1.722819,1.31745,2.533557,3.242953
MH_07,64.960403,61.818792,63.744295,64.808389
MH_09,1034.400671,1032.57651,1047.017785,1040.12651
MH_10,0,0,0,0
MH_11,0,0,0,0
MH_12,1057.202685,1054.111745,1057.506711,1063.131208
MH_14,1.722819,2.330872,1.520134,1.722819
MH_15,523.483557,533.212416,542.991946,541.117114
MH_16,7.296644,8.816779,9.222148,11.857047
MH_17,271.34396,259.892282,268.101007,269.925168
MH_18,0,0,0,0
MH_19,272.357383,258.220134,263.489933,259.132215
MH_20,0,0,0,0
MH_21,0,0,0,0
MH_22,61.514765,67.291275,63.08557,66.581879
