Feature,Concentration
S1092_MG_006_A,0.007813
S1109_MG_023_A,0.007813
S1114_MG_028_A,0.007813
S1117_MG_031_A,0.007813
S1125_MG_039_A,0.007813
S1133_MG_047_A,0.007813
S1093_MG_007_A,0.015625
S1104_MG_018_A,0.015625
S1116_MG_030_A,0.015625
S1124_MG_038_A,0.015625
S1132_MG_046_A,0.015625
S1111_MG_025_A,0.03125
S1112_MG_026_A,0.03125
S1115_MG_029_A,0.03125
S1123_MG_037_A,0.03125
S1131_MG_045_A,0.03125
S1094_MG_008_A,0.0625
S1097_MG_011_A,0.0625
S1105_MG_019_A,0.0625
S1113_MG_027_A,0.0625
S1122_MG_036_A,0.0625
S1130_MG_044_A,0.0625
S1064_MR_005_A,0.0625
S1072_MR_013_A,0.0625
S1073_MR_014_A,0.0625
S1078_MR_019_A,0.0625
S1099_MG_013_A,0.125
S1102_MG_016_A,0.125
S1106_MG_020_A,0.125
S1121_MG_035_A,0.125
S1129_MG_043_A,0.125
S1060_MR_001_A,0.125
S1067_MR_008_A,0.125
S1070_MR_011_A,0.125
S1076_MR_017_A,0.125
S1095_MG_009_A,0.25
S1100_MG_014_A,0.25
S1103_MG_017_A,0.25
S1107_MG_021_A,0.25
S1120_MG_034_A,0.25
S1128_MG_042_A,0.25
S1066_MR_007_A,0.25
S1068_MR_009_A,0.25
S1077_MR_018_A,0.25
S1079_MR_020_A,0.25
S1096_MG_010_A,0.5
S1098_MG_012_A,0.5
S1101_MG_015_A,0.5
S1108_MG_022_A,0.5
S1119_MG_033_A,0.5
S1127_MG_041_A,0.5
S1061_MR_002_A,0.5
S1063_MR_004_A,0.5
S1065_MR_006_A,0.5
S1069_MR_010_A,0.5
S1080_ML_001_A,1
S1081_ML_002_A,1
S1082_ML_003_A,1
S1083_ML_004_A,1
S1091_MG_005_A,1
S1084_ML_005_A,1
S1110_MG_024_A,1
S1085_ML_006_A,1
S1086_ML_007_A,1
S1118_MG_032_A,1
S1126_MG_040_A,1
S1134_MG_048_A,1
S1137_UQ_002_A,1
S1054_GC_001_A,1
S1055_GC_002_A,1
S1056_GC_003_A,1
S1057_GC_004_A,1
S1058_GC_005_A,1
S1059_GC_006_A,1
S1135_IF_003_A,1
S1062_MR_003_A,1
S1071_MR_012_A,1
S1074_MR_015_A,1
S1075_MR_016_A,1
S1136_UQ_001_A,1
