"ID"  "time"  "longitude" "latitude"
0 0 4.88142 43.91449
115 2 4.883084  43.9161
115 3 4.882069  43.91361
115 4 4.882751  43.91392
113 2 4.883259  43.91428
113 3 4.882013  43.91452
113 4 4.882782  43.91259
104 4 4.883513  43.91591
104 5 4.882231  43.91316
104 6 4.8834  43.91409
116 4 4.883121  43.91422
116 5 4.881328  43.91463
116 6 4.882724  43.91386
109 7 4.882609  43.91514
109 8 4.884306  43.91441
111 7 4.884487  43.91461
111 8 4.881114  43.91547
105 9 4.882645  43.91655
108 9 4.882002  43.91329
108 10  4.883095  43.91451
106 15  4.881737  43.91584
112 12  4.883045  43.91562
112 15  4.882206 43.91487
